season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2021,62700,하주석,한화,HH,2,유격수,113,111,923 2/3,14,0,131,231,40,0.963,0,0,0,
2021,78288,최재훈,한화,HH,3,포수,108,100,842,1,3,702,62,11,0.999,3,63,25,28.4
2021,69737,노시환,한화,HH,4,3루수,96,94,811,20,0,98,176,27,0.932,0,0,0,
2021,51725,힐리,한화,HH,5,1루수,62,59,527,5,0,479,42,42,0.99,0,0,0,
2021,63700,장운호,한화,HH,6,우익수,59,34,349,0,0,85,3,2,1.0,0,0,0,
2021,50705,강재민,한화,HH,7,투수,58,0,63 1/3,0,0,5,6,2,1.0,0,0,0,
2021,65769,김범수,한화,HH,8,투수,56,2,70 2/3,0,0,2,7,2,1.0,0,0,0,
2021,63961,윤호솔,한화,HH,9,투수,55,0,48 2/3,1,0,0,0,0,0.0,0,0,0,
2021,74857,정우람,한화,HH,10,투수,50,0,44 2/3,0,0,1,5,0,1.0,0,0,0,
2021,63765,김종수,한화,HH,11,투수,49,0,46 2/3,0,0,2,4,0,1.0,0,0,0,
2021,63464,윤대경,한화,HH,12,투수,43,9,77 2/3,0,0,4,2,1,1.0,0,0,0,
2021,65707,주현상,한화,HH,12,투수,43,0,50 1/3,1,0,2,10,2,0.923,0,0,0,
2021,50707,최인호,한화,HH,12,좌익수,43,39,325 2/3,0,0,75,1,1,1.0,0,0,0,
2021,63704,노수광,한화,HH,15,중견수,41,37,311,0,0,96,3,0,1.0,0,0,0,
2021,61208,정진호,한화,HH,15,좌익수,41,38,302 2/3,2,0,77,3,1,0.976,0,0,0,
2021,64266,이성곤,한화,HH,17,1루수,40,35,288,4,0,258,15,23,0.986,0,0,0,
2021,50704,임종찬,한화,HH,17,우익수,40,38,329,1,0,70,0,0,0.986,0,0,0,
2021,68700,이원석,한화,HH,19,중견수,38,31,295,1,0,71,1,1,0.986,0,0,0,
2021,51714,페레즈,한화,HH,20,1루수,35,20,199,5,0,159,18,14,0.973,0,0,0,
2021,69703,오동욱,한화,HH,21,투수,34,0,25,0,0,2,2,1,1.0,0,0,0,
2021,51722,카펜터,한화,HH,23,투수,31,30,170,3,1,6,16,1,0.88,0,0,0,
2021,66704,김태연,한화,HH,24,3루수,30,26,228,5,0,29,58,6,0.946,0,0,0,
2021,65764,김민우,한화,HH,25,투수,29,28,155 1/3,1,1,15,17,0,0.97,0,0,0,
2021,69766,유로결,한화,HH,25,중견수,29,25,223,0,0,70,1,1,1.0,0,0,0,
2021,50815,킹험,한화,HH,27,투수,25,25,144,1,0,13,15,1,0.966,0,0,0,
2021,78643,백용환,한화,HH,28,포수,23,18,157 2/3,1,0,143,11,0,0.994,1,22,3,12.0
2021,66702,이시원,한화,HH,30,중견수,22,15,140 2/3,1,0,50,1,0,0.981,0,0,0,
2021,65703,이도윤,한화,HH,31,유격수,21,6,81,3,0,11,16,4,0.9,0,0,0,
2021,61554,김민하,한화,HH,32,우익수,20,12,118,1,0,28,1,0,0.967,0,0,0,
2021,67737,김진영,한화,HH,32,투수,20,0,18 1/3,0,0,1,2,0,1.0,0,0,0,
2021,51761,배동현,한화,HH,32,투수,20,4,38,0,0,1,3,0,1.0,0,0,0,
2021,60140,신정락,한화,HH,32,투수,20,0,20,0,0,2,3,0,1.0,0,0,0,
2021,60343,이해창,한화,HH,32,포수,20,16,149,1,2,112,16,1,0.992,1,13,3,18.8
2021,67711,김기탁,한화,HH,37,투수,19,0,12 1/3,0,0,0,0,0,,0,0,0,
2021,77318,장시환,한화,HH,37,투수,19,16,69,2,0,4,7,1,0.846,0,0,0,
2021,51706,장지승,한화,HH,39,우익수,18,16,129,1,0,28,0,0,0.966,0,0,0,
2021,64760,황영국,한화,HH,39,투수,18,0,14 2/3,0,0,1,0,0,1.0,0,0,0,
2021,50709,박정현,한화,HH,43,유격수,17,11,110,1,0,18,27,3,0.978,0,0,0,
2021,61156,송윤준,한화,HH,43,투수,17,0,12 2/3,0,0,0,0,0,,0,0,0,
2021,63749,이충호,한화,HH,43,투수,17,0,16 1/3,1,0,0,2,1,0.667,0,0,0,
2021,69706,허관회,한화,HH,43,포수,17,9,94,1,0,74,3,0,0.987,2,10,1,9.1
2021,66710,강상원,한화,HH,47,좌익수,16,0,40,0,0,10,0,0,1.0,0,0,0,
