season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2015,79748,구본범,한화,HH,1,0.0,3,0,0,0,0,,1,0,0,2,0,1,0,0,2.0,0,0,0,0,6,28,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0.0,0.0,9.3,28.0,9.0,18.0,0.5,0.333,0.0,0.333
2015,70329,마일영,한화,HH,1,0.0,2,0,0,0,0,,1/3,0,0,1,1,0,1,0,3.0,0,0,0,0,5,22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,0.0,11.0,66.0,0.0,27.0,0.0,0.4,0.0,0.4
2015,98521,임경완,한화,HH,1,,1,0,0,0,0,,0,0,0,2,0,0,1,1,,0,0,0,0,2,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0,12.0,,,,0.0,1.0,,1.0
2015,64768,조이현,한화,HH,1,0.0,1,0,0,0,0,,1,0,0,0,0,0,0,0,0.0,0,0,0,0,3,13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,13.0,13.0,0.0,0.0,,0.0,0.0,0.0
2015,64718,최설우,한화,HH,1,0.0,1,0,0,0,0,,1 1/3,2,0,2,0,1,2,0,3.0,0,0,0,0,8,33,0.333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,2.0,0.4,33.0,24.8,6.75,13.5,0.5,0.5,0.5,1.0
2015,73750,윤규진,한화,HH,6,2.66,40,3,2,10,3,0.6,50 2/3,39,3,21,0,48,15,15,1.18,0,0,0,2,205,848,0.217,6,0,4,0,3,2,0,0,0,3,24,15,0,5,41,52,0.79,0.279,21.2,16.7,8.53,3.73,2.29,0.299,0.3,0.599
2015,65742,로저스,한화,HH,7,2.97,10,6,2,0,0,0.75,75 2/3,62,2,20,4,60,26,25,1.08,4,3,6,0,296,1130,0.229,8,2,0,1,0,1,1,10,6,0,4,0,0,8,102,48,2.13,0.286,113.0,14.9,7.14,2.38,3.0,0.291,0.295,0.586
2015,99737,박정진,한화,HH,8,3.09,76,6,1,1,15,0.857,96,84,8,39,5,92,37,33,1.28,0,0,0,1,411,1644,0.231,12,1,4,0,3,7,0,0,0,6,4,12,0,6,75,112,0.67,0.289,21.6,17.1,8.63,3.66,2.36,0.314,0.336,0.65
2015,60764,김용주,한화,HH,9,3.38,2,1,0,0,0,1.0,8,4,0,6,0,3,3,3,1.25,0,0,0,0,33,113,0.16,1,0,2,0,0,0,0,2,1,0,0,0,0,1,11,7,1.57,0.182,56.5,14.1,3.38,6.75,0.5,0.323,0.2,0.523
2015,62611,임준섭,한화,HH,10,3.72,22,1,0,0,2,1.0,19 1/3,26,1,13,0,18,12,8,2.02,0,0,0,0,95,379,0.325,4,2,2,0,2,1,0,0,0,1,2,1,0,2,19,17,1.12,0.41,17.2,19.6,8.38,6.05,1.38,0.419,0.463,0.882
2015,62919,김기현,한화,HH,11,4.35,54,1,0,0,3,1.0,41 1/3,36,5,30,3,32,20,20,1.6,0,0,0,0,187,726,0.245,6,1,5,2,1,5,0,0,0,1,3,2,0,2,36,45,0.8,0.277,13.4,17.6,6.97,6.53,1.07,0.379,0.401,0.78
2015,77452,이동걸,한화,HH,12,4.47,32,2,0,0,0,1.0,44 1/3,58,8,28,4,25,28,22,1.94,0,0,0,0,219,772,0.324,13,0,3,5,3,5,0,0,0,2,9,0,0,4,43,58,0.74,0.331,24.1,17.4,5.08,5.68,0.89,0.417,0.531,0.948
2015,62597,유먼,한화,HH,13,4.52,17,4,6,0,0,0.4,91 2/3,96,9,38,4,56,52,46,1.46,0,0,6,0,406,1533,0.278,16,0,16,3,1,3,1,17,4,0,0,0,0,9,95,101,0.94,0.307,90.2,16.7,5.5,3.73,1.47,0.354,0.403,0.757
2015,62451,탈보트,한화,HH,14,4.72,30,10,11,0,0,0.476,156 1/3,153,11,85,13,120,93,82,1.52,1,0,15,0,695,2807,0.262,26,1,11,3,4,11,4,30,10,0,1,0,0,15,208,105,1.98,0.312,93.6,18.0,6.91,4.89,1.41,0.367,0.367,0.734
2015,78760,정대훈,한화,HH,15,4.75,51,1,1,0,2,0.5,36,44,4,14,5,12,21,19,1.61,0,0,0,1,162,604,0.319,8,1,1,4,3,1,0,0,0,1,11,3,0,8,48,38,1.26,0.317,11.8,16.8,3.0,3.5,0.86,0.391,0.478,0.869
2015,79760,박성호,한화,HH,16,4.79,16,0,0,0,1,,20 2/3,24,2,11,1,12,14,11,1.69,0,0,0,0,96,389,0.289,4,0,1,0,1,1,0,0,0,0,5,0,0,3,14,33,0.42,0.319,24.3,18.8,5.23,4.79,1.09,0.379,0.41,0.789
2015,72447,권혁,한화,HH,17,4.98,78,9,13,17,6,0.409,112,124,15,53,5,88,68,62,1.58,0,0,0,8,506,2098,0.281,21,1,2,4,7,5,1,0,0,9,43,31,2,4,95,139,0.68,0.318,26.9,18.7,7.07,4.26,1.66,0.361,0.434,0.795
2015,73738,안영명,한화,HH,18,5.1,35,10,6,0,1,0.625,125 1/3,137,15,60,11,82,77,71,1.57,0,0,4,0,568,2226,0.285,23,1,10,6,1,4,0,27,10,0,1,1,0,11,148,120,1.23,0.313,63.6,17.8,5.89,4.31,1.37,0.373,0.43,0.803
2015,65764,김민우,한화,HH,19,5.14,36,1,3,0,0,0.25,70,67,5,38,10,50,41,40,1.5,0,0,1,0,314,1298,0.261,13,0,7,2,3,5,0,8,1,0,12,0,0,10,70,72,0.97,0.304,36.1,18.5,6.43,4.89,1.32,0.375,0.37,0.745
2015,74731,송창식,한화,HH,20,6.44,64,8,7,0,11,0.533,109,115,29,64,7,87,82,78,1.64,0,0,2,0,503,2049,0.271,20,0,7,1,5,8,1,10,3,5,4,7,0,4,90,133,0.68,0.278,32.0,18.8,7.18,5.28,1.36,0.375,0.524,0.899
2015,78730,윤기호,한화,HH,21,6.75,3,0,0,0,0,,2 2/3,2,1,1,0,0,2,2,1.13,0,0,0,0,10,31,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0.4,0.125,10.3,11.6,0.0,3.38,0.0,0.3,0.556,0.856
2015,64769,정광운,한화,HH,21,6.75,2,0,0,0,0,,1 1/3,2,0,1,0,1,1,1,2.25,0,0,0,0,7,27,0.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0.0,0.4,13.5,20.3,6.75,6.75,1.0,0.429,0.4,0.829
