season_year,team_name,record_type,rank_no,avg,era,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,w,l,sv,hld,wpct,ip,er,whip,cg,sho,qs,bsv,tbf,np,wp,bk,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate,sba,sb_rate,oob
2019,키움,team_hitter,1,0.282,,144,5658,4991,780,1405,251,38,112,2068,741,36,48,514,13,69,943,122,0.414,0.354,0.768,144,0.3,0.276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,NC,team_hitter,2,0.278,,144,5631,4968,674,1383,249,26,128,2068,639,64,60,456,14,83,880,126,0.416,0.345,0.761,144,0.266,0.179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,두산,team_hitter,3,0.278,,144,5670,4913,736,1364,235,31,84,1913,691,39,83,563,16,72,799,117,0.389,0.355,0.744,144,0.277,0.202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,KT,team_hitter,4,0.277,,144,5582,4965,650,1375,187,20,103,1911,615,45,45,475,15,52,975,113,0.385,0.344,0.729,144,0.27,0.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,LG,team_hitter,5,0.267,,144,5536,4928,641,1316,233,15,94,1861,604,49,48,434,17,77,962,117,0.378,0.333,0.711,144,0.265,0.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,KIA,team_hitter,6,0.264,,144,5505,4874,605,1286,248,19,76,1800,567,31,45,497,13,58,919,108,0.369,0.336,0.705,144,0.256,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,SSG,team_hitter,7,0.262,,144,5542,4919,655,1290,218,14,117,1887,622,35,38,462,20,87,966,92,0.384,0.334,0.718,144,0.278,0.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,한화,team_hitter,8,0.256,,144,5482,4882,607,1250,223,16,88,1769,562,44,45,441,12,70,1090,112,0.362,0.324,0.686,143,0.255,0.187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,삼성,team_hitter,9,0.256,,144,5533,4866,622,1245,230,26,122,1893,598,58,53,478,15,78,976,107,0.389,0.329,0.718,143,0.254,0.204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,롯데,team_hitter,10,0.25,,144,5488,4919,578,1231,214,22,90,1759,545,35,40,429,12,65,1085,108,0.358,0.316,0.674,144,0.25,0.193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,두산,team_hitter,1,0.293,,144,5776,5046,816,1477,263,20,125,2155,778,38,73,551,20,68,796,132,0.427,0.365,0.792,142,0.291,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,NC,team_hitter,2,0.291,,144,5833,5102,888,1483,258,28,187,2358,845,46,51,529,21,104,997,106,0.462,0.366,0.828,144,0.33,0.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,KT,team_hitter,3,0.284,,144,5762,5047,813,1432,238,21,163,2201,767,64,45,554,20,52,1097,104,0.436,0.358,0.794,144,0.289,0.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,LG,team_hitter,4,0.277,,144,5681,4999,802,1384,253,29,149,2142,760,49,49,509,21,75,969,115,0.428,0.349,0.777,144,0.31,0.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,롯데,team_hitter,5,0.276,,144,5669,4958,750,1366,252,6,131,2023,711,39,48,569,18,55,875,148,0.408,0.353,0.761,144,0.283,0.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,KIA,team_hitter,6,0.274,,144,5642,4937,724,1355,224,13,130,1995,692,63,38,535,10,69,957,114,0.404,0.351,0.755,144,0.284,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,키움,team_hitter,7,0.269,,144,5721,4945,759,1332,254,25,127,2017,713,43,52,608,16,73,1030,107,0.408,0.355,0.763,144,0.281,0.211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,삼성,team_hitter,8,0.268,,144,5574,4923,699,1317,211,12,129,1939,658,50,53,486,10,62,990,117,0.394,0.338,0.732,144,0.272,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,SSG,team_hitter,9,0.25,,144,5502,4839,634,1212,177,17,143,1852,595,49,34,511,18,69,981,112,0.383,0.329,0.712,144,0.254,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,한화,team_hitter,10,0.245,,144,5483,4862,551,1189,195,12,79,1645,523,45,25,462,9,89,1163,119,0.338,0.32,0.658,144,0.245,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,롯데,team_hitter,1,0.278,,144,5726,5009,727,1393,266,10,107,2000,697,38,46,579,19,54,969,114,0.399,0.356,0.755,144,0.286,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,두산,team_hitter,2,0.268,,144,5645,4900,738,1314,235,17,110,1913,698,46,53,560,13,86,943,137,0.39,0.35,0.74,143,0.284,0.255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,삼성,team_hitter,3,0.267,,144,5552,4836,712,1292,204,18,133,1931,669,48,68,545,21,55,902,98,0.399,0.344,0.743,144,0.269,0.212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,KT,team_hitter,4,0.265,,144,5627,4810,719,1276,219,11,106,1835,673,69,44,645,27,58,1047,105,0.381,0.356,0.737,142,0.271,0.227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,SSG,team_hitter,5,0.261,,144,5736,4899,755,1278,204,13,185,2063,712,55,52,637,23,93,1056,106,0.421,0.353,0.774,143,0.261,0.259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,NC,team_hitter,6,0.261,,144,5532,4808,702,1254,203,17,170,2001,670,59,43,511,14,111,1093,94,0.416,0.343,0.759,143,0.26,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,키움,team_hitter,7,0.259,,144,5653,4874,722,1262,244,28,91,1835,671,35,56,595,17,93,1053,93,0.376,0.347,0.723,143,0.277,0.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,LG,team_hitter,8,0.25,,144,5533,4750,654,1188,210,11,110,1750,621,52,45,592,16,94,926,102,0.368,0.342,0.71,143,0.252,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,KIA,team_hitter,9,0.248,,144,5577,4831,568,1198,183,21,66,1621,546,41,37,595,16,73,921,119,0.336,0.337,0.673,143,0.263,0.203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,한화,team_hitter,10,0.237,,144,5495,4685,599,1111,213,17,80,1598,554,54,49,633,14,74,1286,110,0.341,0.334,0.675,143,0.248,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,KIA,team_hitter,1,0.272,,144,5703,5000,720,1361,250,19,113,1988,677,61,36,542,21,63,983,111,0.398,0.349,0.747,144,0.273,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,삼성,team_hitter,2,0.27,,144,5647,5023,663,1358,241,19,103,1946,627,83,41,446,28,54,1029,119,0.387,0.334,0.721,144,0.281,0.273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,LG,team_hitter,3,0.269,,144,5627,4927,715,1325,208,33,118,1953,674,49,46,501,18,103,924,109,0.396,0.346,0.742,144,0.274,0.236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,롯데,team_hitter,4,0.267,,144,5534,4948,605,1320,227,16,106,1897,570,73,42,417,19,54,991,127,0.383,0.328,0.711,144,0.259,0.268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,NC,team_hitter,5,0.257,,144,5585,4899,646,1260,230,15,105,1835,613,50,47,501,24,88,981,112,0.375,0.334,0.709,143,0.265,0.233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,두산,team_hitter,6,0.255,,144,5510,4891,638,1249,210,12,101,1786,592,53,45,450,16,71,1007,116,0.365,0.324,0.689,144,0.266,0.246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
