season_year,player_id,player_name,team_name,team_code,rank_no,g,sba,sb,cs,sb_rate,oob,pko
2018,71432,박한이,삼성,SS,6,114,8,5,3,62.5,2,0
2018,64610,강한울,삼성,SS,8,83,7,3,4,42.9,2,0
2018,62409,박찬도,삼성,SS,8,54,6,3,3,50.0,0,0
2018,72456,손주인,삼성,SS,8,98,3,3,0,100.0,1,0
2018,75566,이원석,삼성,SS,11,128,3,2,1,66.7,5,0
2018,61197,최영진,삼성,SS,11,61,6,2,4,33.3,2,1
2018,79465,배영섭,삼성,SS,13,69,1,1,0,100.0,0,0
2018,74540,강민호,삼성,SS,14,129,0,0,0,,4,0
2018,65412,권정웅,삼성,SS,14,6,0,0,0,,0,0
2018,64793,김민수,삼성,SS,14,8,0,0,0,,0,0
2018,67449,김성윤,삼성,SS,14,1,0,0,0,,0,0
2018,60288,김응민,삼성,SS,14,1,0,0,0,,0,0
2018,64499,김재현,삼성,SS,14,5,0,0,0,,0,0
2018,64407,김호재,삼성,SS,14,10,0,0,0,,1,0
2018,60456,백상원,삼성,SS,14,4,0,0,0,,0,0
2018,64410,백승민,삼성,SS,14,14,0,0,0,,0,0
2018,64469,송준석,삼성,SS,14,4,0,0,0,,0,0
2018,66406,안주형,삼성,SS,14,15,0,0,0,,2,0
2018,64266,이성곤,삼성,SS,14,9,0,0,0,,0,0
2018,79456,이지영,삼성,SS,14,90,0,0,0,,0,0
2018,77927,장필준,삼성,SS,14,1,0,0,0,,0,0
2018,61104,정병곤,삼성,SS,14,6,0,0,0,,0,0
2018,79440,정인욱,삼성,SS,14,1,0,0,0,,0,0
2018,72466,조동찬,삼성,SS,14,28,0,0,0,,0,0
2018,77466,최원제,삼성,SS,14,8,0,0,0,,0,0
2018,62907,박민우,NC,NC,1,115,22,17,5,77.3,4,1
2018,62947,나성범,NC,NC,2,144,17,15,2,88.2,3,2
2018,60566,이상호,NC,NC,3,114,18,13,5,72.2,3,1
2018,62934,김성욱,NC,NC,4,111,13,11,2,84.6,4,0
2018,66917,김찬형,NC,NC,5,63,5,4,1,80.0,0,1
2018,62931,노진혁,NC,NC,5,125,7,4,3,57.1,6,0
2018,67935,스크럭스,NC,NC,7,142,5,3,2,60.0,7,1
2018,66968,이재율,NC,NC,7,33,4,3,1,75.0,0,1
2018,78813,모창민,NC,NC,9,81,5,2,3,40.0,3,0
2018,73213,손시헌,NC,NC,9,67,2,2,0,100.0,0,0
2018,63963,권희동,NC,NC,11,104,4,1,3,25.0,4,0
2018,64984,김태진,NC,NC,11,20,3,1,2,33.3,1,0
2018,74465,박석민,NC,NC,11,103,1,1,0,100.0,3,0
2018,62921,박헌욱,NC,NC,11,10,1,1,0,100.0,0,0
2018,62016,윤병호,NC,NC,11,14,1,1,0,100.0,0,0
2018,63260,이우성,NC,NC,11,71,3,1,2,33.3,2,0
2018,73339,이종욱,NC,NC,11,43,2,1,1,50.0,1,0
2018,76720,정범모,NC,NC,11,103,1,1,0,100.0,2,0
2018,73306,지석훈,NC,NC,11,67,1,1,0,100.0,1,0
2018,62917,강구성,NC,NC,20,4,0,0,0,,0,0
2018,64906,강민국,NC,NC,20,6,0,0,0,,0,0
2018,79358,강윤구,NC,NC,20,3,0,0,0,,0,0
2018,62925,강진성,NC,NC,20,45,0,0,0,,1,0
2018,79364,김종민,NC,NC,20,6,0,0,0,,0,0
2018,75867,김진성,NC,NC,20,2,0,0,0,,0,0
2018,68906,김철호,NC,NC,20,1,0,0,0,,0,0
2018,68912,김형준,NC,NC,20,60,0,0,0,,0,1
2018,66965,도태훈,NC,NC,20,26,0,0,0,,1,0
2018,64944,박대온,NC,NC,20,27,0,0,0,,1,0
2018,63991,박진우,NC,NC,20,1,0,0,0,,0,0
2018,64995,배재환,NC,NC,20,1,0,0,0,,0,0
2018,67944,신진호,NC,NC,20,20,0,0,0,,1,0
2018,68904,오영수,NC,NC,20,11,1,0,1,0.0,0,0
2018,76757,유원상,NC,NC,20,1,0,0,0,,0,0
2018,62537,윤수강,NC,NC,20,44,0,0,0,,0,0
2018,62929,이민호,NC,NC,20,5,0,0,0,,0,0
2018,62025,이원재,NC,NC,20,77,2,0,2,0.0,1,0
2018,68901,이인혁,NC,NC,20,2,0,0,0,,0,0
2018,78352,임창민,NC,NC,20,1,0,0,0,,0,0
2018,66960,정수민,NC,NC,20,1,0,0,0,,0,0
2018,66992,조원빈,NC,NC,20,2,0,0,0,,0,0
2018,71552,최준석,NC,NC,20,93,0,0,0,,0,0
2018,67025,로하스,KT,KT,1,144,31,18,13,58.1,5,2
2018,76313,황재균,KT,KT,2,142,21,14,7,66.7,8,0
2018,60558,오태곤,KT,KT,3,128,21,13,8,61.9,4,0
2018,64006,심우준,KT,KT,4,135,22,11,11,50.0,2,0
2018,73113,박경수,KT,KT,5,135,5,4,1,80.0,6,0
2018,74215,윤석민,KT,KT,5,132,5,4,1,80.0,3,0
2018,68050,강백호,KT,KT,7,138,8,3,5,37.5,9,2
2018,63450,정현,KT,KT,7,65,3,3,0,100.0,3,1
2018,64012,송민섭,KT,KT,9,47,3,2,1,66.7,0,0
2018,99810,이진영,KT,KT,9,110,3,2,1,66.7,6,0
2018,78753,김지열,KT,KT,11,38,2,1,1,50.0,0,0
2018,70553,박기혁,KT,KT,11,98,1,1,0,100.0,2,0
2018,61743,오준혁,KT,KT,11,30,2,1,1,50.0,0,0
2018,74339,유한준,KT,KT,11,121,2,1,1,50.0,1,2
2018,78548,장성우,KT,KT,11,127,2,1,1,50.0,9,0
2018,67005,홍현빈,KT,KT,11,14,1,1,0,100.0,0,0
2018,68069,고명성,KT,KT,17,5,0,0,0,,0,0
2018,78248,고창성,KT,KT,17,1,0,0,0,,0,0
2018,77462,김동욱,KT,KT,17,11,0,0,0,,0,0
2018,99563,김사율,KT,KT,17,1,0,0,0,,0,0
2018,63448,김영환,KT,KT,17,4,0,0,0,,0,0
