season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2018,66145,김대현,LG,LG,21,7.54,25,2,10,0,0,0.167,105,145,15,48,9,64,95,88,1.84,0,0,3,0,496,1984,0.334,25,5,3,2,0,7,2,21,2,0,0,0,0,14,104,123,0.85,0.364,79.4,18.9,5.49,4.11,1.33,0.41,0.518,0.928
2018,71118,이동현,LG,LG,22,7.93,36,2,1,0,4,0.667,36 1/3,49,6,7,3,23,35,32,1.54,0,0,0,0,167,568,0.322,10,0,3,2,0,0,0,0,0,2,7,4,0,2,43,39,1.1,0.344,15.8,15.6,5.7,1.73,3.29,0.36,0.507,0.867
2018,67143,손주영,LG,LG,23,8.49,4,0,2,0,0,0.0,11 2/3,13,0,14,2,7,11,11,2.31,0,0,0,0,62,272,0.283,3,0,0,0,0,1,0,3,0,0,0,0,0,2,14,12,1.17,0.333,68.0,23.3,5.4,10.8,0.5,0.468,0.348,0.816
2018,60845,문광은,LG,LG,24,12.15,6,0,1,0,0,0.0,6 2/3,11,3,5,0,5,9,9,2.4,0,0,0,0,35,132,0.379,1,0,0,1,0,0,0,0,0,0,0,0,0,1,8,6,1.33,0.364,22.0,19.8,6.75,6.75,1.0,0.457,0.724,1.181
2018,64155,임지섭,LG,LG,25,25.07,2,0,2,0,0,0.0,4 2/3,11,3,7,0,4,13,13,3.86,0,0,0,0,32,134,0.44,2,0,0,0,0,3,0,2,0,0,0,0,0,0,5,5,1.0,0.444,67.0,28.7,7.71,13.5,0.57,0.563,0.88,1.443
2018,62918,김태형,LG,LG,26,36.0,1,0,0,0,0,,1,2,0,4,0,0,4,4,6.0,0,0,0,0,8,37,0.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0.0,0.5,37.0,37.0,0.0,36.0,0.0,0.75,0.75,1.5
2018,61145,이우찬,LG,LG,27,54.0,3,0,0,0,0,,2/3,3,0,3,1,0,4,4,9.0,0,0,0,0,9,32,0.6,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1.0,0.6,10.7,48.0,0.0,40.5,0.0,0.778,1.0,1.778
2018,63765,김종수,한화,HH,1,1.8,3,0,0,0,0,,5,3,1,0,0,1,1,1,0.6,0,0,0,0,18,72,0.176,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,11,0.27,0.125,24.0,14.4,1.8,0.0,,0.167,0.353,0.52
2018,67703,박상원,한화,HH,2,2.1,69,4,2,0,9,0.667,60,59,3,21,4,62,17,14,1.33,0,0,0,0,256,1033,0.26,13,0,1,3,1,3,0,0,0,4,19,10,0,6,55,54,1.02,0.339,15.0,17.2,9.3,3.15,2.95,0.329,0.357,0.686
2018,73801,송은범,한화,HH,3,2.5,68,7,4,1,10,0.636,79 1/3,77,2,33,5,61,29,22,1.39,0,0,0,3,341,1289,0.257,9,1,1,2,2,8,0,0,0,7,7,19,0,11,120,44,2.73,0.314,19.0,16.2,6.92,3.74,1.85,0.338,0.313,0.651
2018,60768,이태양,한화,HH,4,2.84,63,4,2,0,12,0.667,79 1/3,66,10,23,4,85,30,25,1.12,0,0,0,1,325,1306,0.224,11,1,2,2,2,4,0,0,0,4,13,14,0,6,64,81,0.79,0.279,20.7,16.5,9.64,2.61,3.7,0.288,0.371,0.659
2018,74857,정우람,한화,HH,5,3.4,55,5,3,35,0,0.625,53,49,6,12,2,56,22,20,1.15,0,0,0,4,220,888,0.245,9,0,1,5,1,1,0,0,0,5,54,39,1,2,26,74,0.35,0.301,16.1,16.8,9.51,2.04,4.67,0.288,0.38,0.668
2018,67762,김성훈,한화,HH,6,3.58,10,0,2,0,0,0.0,27 2/3,25,2,11,3,28,12,11,1.3,0,0,1,0,118,481,0.245,5,0,1,1,0,3,0,5,0,0,3,0,0,3,25,25,1.0,0.315,48.1,17.4,9.11,3.58,2.55,0.333,0.353,0.686
2018,62611,임준섭,한화,HH,7,4.32,10,1,0,0,0,1.0,8 1/3,8,1,6,1,6,4,4,1.68,0,0,0,0,34,144,0.308,2,0,0,1,0,0,0,0,0,1,1,0,0,5,9,4,2.25,0.35,14.4,17.3,6.48,6.48,1.0,0.441,0.5,0.941
