season_year,player_id,player_name,team_name,team_code,rank_no,avg,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,xbh,go_count,ao_count,go_ao,gw_rbi,bb_k,p_pa,isop,xr,gpa
2018,72466,조동찬,삼성,SS,21,0.222,28,59,54,5,12,1,0,1,16,2,1,0,4,0,0,14,2,0.296,0.276,0.572,0,0.056,0.385,2,16,12,1.33,0,0.29,3.31,0.074,3.9,0.198
2018,64266,이성곤,삼성,SS,22,0.188,9,19,16,1,3,0,0,0,3,0,0,0,3,0,0,7,1,0.188,0.316,0.504,0,0.0,0.0,0,2,4,0.5,0,0.43,3.84,0.0,0.9,0.189
2018,64793,김민수,삼성,SS,23,0.167,8,6,6,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0.167,0.167,0.334,0,0.0,0.5,0,1,2,0.5,0,0.0,3.83,0.0,-0.3,0.117
2018,64407,김호재,삼성,SS,23,0.167,10,7,6,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0.167,0.167,0.334,0,0.0,0.0,0,2,1,2.0,0,0.0,3.86,0.0,0.1,0.117
2018,61104,정병곤,삼성,SS,25,0.067,6,16,15,1,1,0,0,0,1,2,0,1,0,0,0,5,1,0.067,0.063,0.13,0,0.5,0.0,0,4,6,0.67,0,0.0,3.81,0.0,-0.8,0.045
2018,65412,권정웅,삼성,SS,26,0.0,6,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,4,4,1.0,0,,2.75,0.0,-0.7,0.0
2018,67449,김성윤,삼성,SS,26,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,0,1,0.0,0,0.0,6.0,0.0,-0.2,0.0
2018,60288,김응민,삼성,SS,26,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1,0,,0,,1.0,0.0,-0.1,0.0
2018,64499,김재현,삼성,SS,26,0.0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,,0,0.0,4.0,0.0,-0.1,0.0
2018,77927,장필준,삼성,SS,26,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2018,79440,정인욱,삼성,SS,26,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0.0,0.0,0,0,0,,0,,,,0.0,0.0
2018,64984,김태진,NC,NC,1,0.355,20,35,31,5,11,0,0,1,14,3,1,0,3,0,0,5,0,0.452,0.412,0.864,2,1.0,0.25,1,8,7,1.14,0,0.6,3.4,0.097,5.2,0.298
2018,62907,박민우,NC,NC,2,0.324,115,460,411,68,133,22,5,5,180,33,3,4,32,3,10,51,4,0.438,0.383,0.821,34,0.362,0.667,32,134,97,1.38,2,0.63,3.85,0.114,68.9,0.282
2018,62947,나성범,NC,NC,3,0.318,144,620,556,110,177,36,3,23,288,91,0,5,44,4,15,131,11,0.518,0.381,0.899,53,0.319,0.0,62,146,107,1.36,12,0.34,3.74,0.2,104.0,0.301
2018,62025,이원재,NC,NC,4,0.304,77,150,138,12,42,10,0,5,67,19,0,2,10,0,0,33,3,0.486,0.347,0.833,7,0.333,0.39,15,35,30,1.17,2,0.3,4.19,0.181,21.4,0.278
2018,62931,노진혁,NC,NC,5,0.283,125,458,420,52,119,21,4,11,181,42,1,2,33,0,2,92,8,0.431,0.337,0.768,35,0.272,0.25,36,108,103,1.05,4,0.36,3.8,0.148,58.3,0.259
2018,63963,권희동,NC,NC,6,0.283,104,391,343,43,97,19,1,8,142,57,5,4,35,2,4,58,5,0.414,0.352,0.766,27,0.25,0.1,28,82,110,0.75,7,0.6,3.95,0.131,50.3,0.262
2018,78813,모창민,NC,NC,7,0.279,81,314,287,38,80,10,1,17,143,62,0,4,21,0,2,51,10,0.498,0.328,0.826,23,0.338,1.0,28,78,82,0.95,3,0.41,3.67,0.22,44.7,0.272
2018,62921,박헌욱,NC,NC,8,0.273,10,23,22,1,6,2,0,1,11,3,0,0,1,0,0,5,1,0.5,0.304,0.804,1,0.667,0.0,3,6,5,1.2,0,0.2,3.26,0.227,3.1,0.262
2018,62934,김성욱,NC,NC,9,0.26,111,358,323,49,84,13,2,13,140,45,2,3,29,0,1,64,10,0.433,0.32,0.753,18,0.232,0.0,28,89,89,1.0,5,0.45,4.08,0.173,45.2,0.252
2018,67935,스크럭스,NC,NC,10,0.257,142,571,501,75,129,35,0,26,242,97,0,3,55,2,12,144,14,0.483,0.343,0.826,29,0.303,0.0,61,102,129,0.79,5,0.38,3.89,0.226,80.4,0.275
2018,71552,최준석,NC,NC,11,0.255,93,179,153,7,39,3,0,4,54,24,0,2,24,0,0,41,6,0.353,0.352,0.705,4,0.3,0.205,7,44,31,1.42,4,0.59,4.63,0.098,20.0,0.247
2018,74465,박석민,NC,NC,12,0.255,103,375,318,40,81,14,1,16,145,55,0,3,39,4,15,80,11,0.456,0.36,0.816,22,0.232,0.286,31,83,77,1.08,1,0.49,4.15,0.201,52.4,0.276
2018,60566,이상호,NC,NC,13,0.251,114,204,187,32,47,2,0,0,49,8,7,0,8,0,2,15,8,0.262,0.289,0.551,10,0.2,0.4,2,79,46,1.72,2,0.53,3.42,0.011,12.7,0.196
2018,64906,강민국,NC,NC,14,0.25,6,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0,0.0,0.0,0,3,0,,0,,2.5,0.0,0.2,0.175
2018,62925,강진성,NC,NC,15,0.235,45,75,68,5,16,3,0,0,19,1,2,1,4,0,0,17,3,0.279,0.274,0.553,1,0.077,0.357,3,18,18,1.0,0,0.24,3.79,0.044,4.5,0.193
2018,66917,김찬형,NC,NC,16,0.232,63,160,142,24,33,5,0,1,41,9,1,1,8,0,8,28,1,0.289,0.308,0.597,9,0.167,0.5,6,39,43,0.91,1,0.29,3.48,0.056,14.4,0.211
