season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2026,63248,함덕주,LG,LG,21,7.43,17,1,1,1,2,0.5,13 1/3,21,3,6,0,7,11,11,2.03,0,0,0,1,67,302,0.344,1,0,0,0,0,0,0,0,0,1,2,4,0,0,12,21,0.57,0.353,17.8,22.7,4.73,4.05,1.17,0.403,0.508,0.911
2026,65109,백승현,LG,LG,22,9.0,3,0,0,0,0,,3,3,1,1,0,6,3,3,1.33,0,0,0,0,13,58,0.25,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,,0.4,19.3,19.3,18.0,3.0,6.0,0.308,0.5,0.808
2026,69168,이상영,LG,LG,23,13.5,1,0,1,0,0,0.0,3 1/3,9,0,2,0,0,5,5,3.3,0,0,0,0,18,58,0.563,2,0,0,0,0,0,0,1,0,0,0,0,0,2,5,2,2.5,0.563,58.0,17.4,0.0,5.4,0.0,0.611,0.688,1.299
2026,56709,박준영,한화,HH,1,0.0,1,1,0,0,0,1.0,5,3,0,3,0,2,0,0,1.2,0,0,0,0,20,79,0.176,1,0,0,0,0,0,0,1,1,0,0,0,0,1,5,7,0.71,0.2,79.0,15.8,3.6,5.4,0.67,0.3,0.235,0.535
2026,69205,이교훈,한화,HH,1,0.0,1,0,0,0,0,,1/3,1,0,1,0,1,2,0,6.0,0,0,0,0,3,11,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,11.0,33.0,27.0,27.0,1.0,0.667,0.5,1.167
2026,65616,이민우,한화,HH,3,2.4,12,0,1,0,2,0.0,15,13,1,4,3,5,4,4,1.13,0,0,0,0,64,233,0.245,2,0,0,4,0,0,0,0,0,0,2,1,0,1,21,18,1.17,0.235,19.4,15.5,3.0,2.4,1.25,0.313,0.34,0.653
2026,56719,왕옌청,한화,HH,4,2.64,8,3,2,0,0,0.6,44 1/3,44,3,18,2,34,21,13,1.4,0,0,3,0,191,735,0.259,6,0,1,0,0,3,0,8,3,0,0,0,0,5,60,32,1.88,0.308,91.9,16.6,6.9,3.65,1.89,0.337,0.347,0.684
2026,65117,이상규,한화,HH,5,3.18,9,0,0,0,1,,11 1/3,9,1,6,1,7,7,4,1.32,0,0,0,0,52,170,0.214,0,0,3,0,0,1,0,0,0,0,1,1,0,0,10,16,0.63,0.235,18.9,15.0,5.56,4.76,1.17,0.327,0.286,0.613
2026,55764,권민규,한화,HH,6,3.38,8,1,0,0,0,1.0,8,10,1,4,0,5,3,3,1.75,0,0,0,0,36,145,0.323,2,0,0,1,0,0,0,0,0,1,2,0,0,2,8,9,0.89,0.346,18.1,18.1,5.63,4.5,1.25,0.389,0.484,0.873
2026,69213,윤산흠,한화,HH,7,3.45,14,1,0,0,1,1.0,15 2/3,12,1,7,1,10,8,6,1.21,0,0,0,0,67,273,0.211,4,0,1,1,0,0,0,0,0,1,0,3,0,4,22,14,1.57,0.234,19.5,17.4,5.74,4.02,1.43,0.303,0.333,0.636
2026,76715,류현진,한화,HH,8,3.51,7,4,2,0,0,0.667,41,36,4,7,1,41,19,16,1.05,0,0,3,0,165,632,0.235,10,0,2,2,1,1,0,7,4,0,0,0,0,2,31,47,0.66,0.291,90.3,15.4,9.0,1.54,5.86,0.27,0.379,0.649
2026,56724,화이트,한화,HH,9,3.86,1,0,1,0,0,0.0,2 1/3,4,0,1,0,2,1,1,2.14,0,0,0,0,13,57,0.333,1,0,0,0,0,1,0,1,0,0,0,0,0,0,5,1,5.0,0.4,57.0,24.4,7.71,3.86,2.0,0.385,0.417,0.802
2026,54768,조동욱,한화,HH,10,4.11,19,0,1,0,5,0.0,15 1/3,15,0,7,1,14,7,7,1.43,0,0,0,0,65,223,0.268,1,0,1,0,0,1,0,0,0,0,1,2,0,1,11,16,0.69,0.357,11.7,14.5,8.22,4.11,2.0,0.359,0.286,0.645
2026,56760,쿠싱,한화,HH,11,4.82,14,1,2,3,0,0.333,18 2/3,17,3,6,0,25,10,10,1.23,0,0,0,1,80,306,0.233,2,0,1,0,0,0,0,1,0,1,13,4,0,1,16,15,1.07,0.311,21.9,16.4,12.05,2.89,4.17,0.291,0.384,0.675
2026,56712,에르난데스,한화,HH,12,4.86,8,3,3,0,0,0.5,37,41,2,15,1,27,22,20,1.51,0,0,2,0,161,628,0.287,6,0,2,0,0,1,0,8,3,0,0,0,0,5,29,46,0.63,0.342,78.5,17.0,6.57,3.65,1.8,0.358,0.371,0.729
2026,63765,김종수,한화,HH,13,4.97,16,0,1,0,3,0.0,12 2/3,13,2,5,2,13,7,7,1.42,0,0,0,1,57,206,0.265,0,2,0,1,0,0,0,0,0,0,0,3,0,2,14,10,1.4,0.314,12.9,16.3,9.24,3.55,2.6,0.351,0.469,0.82
2026,52701,문동주,한화,HH,14,5.18,6,1,1,0,0,0.5,24 1/3,27,3,11,3,18,16,14,1.56,0,0,1,0,110,442,0.281,6,1,0,0,0,2,0,6,1,0,0,0,0,3,29,22,1.32,0.32,73.7,18.2,6.66,4.07,1.64,0.373,0.458,0.831
2026,52731,박준영,한화,HH,15,5.27,11,0,0,0,0,,13 2/3,12,1,15,2,12,9,8,1.98,0,0,0,0,65,273,0.267,2,2,1,2,0,0,0,1,0,0,5,1,0,3,12,11,1.09,0.324,24.8,20.0,7.9,9.88,0.8,0.453,0.467,0.92
2026,54729,황준서,한화,HH,16,6.57,6,0,2,0,0,0.0,12 1/3,11,1,12,0,14,10,9,1.86,0,0,0,0,60,254,0.25,1,0,3,1,0,0,0,3,0,0,1,0,0,1,8,12,0.67,0.333,42.3,20.6,10.22,8.76,1.17,0.404,0.341,0.745
2026,56769,강건우,한화,HH,17,7.15,8,0,0,0,0,,11 1/3,20,2,9,1,10,10,9,2.56,0,0,0,0,65,231,0.364,0,0,0,0,0,0,0,1,0,0,2,0,0,1,8,17,0.47,0.419,28.9,20.4,7.94,7.15,1.11,0.462,0.473,0.935
2026,55743,정우주,한화,HH,18,7.2,19,0,0,0,5,,15,18,0,17,4,21,12,12,2.33,0,0,0,1,81,355,0.305,3,0,0,1,0,5,0,1,0,0,1,5,0,2,9,12,0.75,0.462,18.7,23.7,12.6,10.2,1.24,0.481,0.356,0.837
2026,50705,강재민,한화,HH,19,7.71,2,0,0,0,0,,2 1/3,2,0,3,2,1,2,2,2.14,0,0,0,0,14,51,0.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.2,0.25,25.5,21.9,3.86,11.57,0.33,0.5,0.222,0.722
2026,53706,박재규,한화,HH,20,9.0,2,0,0,0,0,,1,1,0,1,0,0,1,1,2.0,0,0,0,0,5,23,0.333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,,0.333,11.5,23.0,0.0,9.0,0.0,0.5,0.333,0.833
2026,54702,원종혁,한화,HH,21,10.5,9,1,0,0,0,1.0,6,13,1,7,0,3,8,7,3.33,0,0,0,0,38,144,0.433,2,0,1,0,0,0,0,0,0,1,4,0,0,0,3,11,0.27,0.462,16.0,24.0,4.5,10.5,0.43,0.541,0.6,1.141
2026,67703,박상원,한화,HH,22,12.0,16,0,2,0,3,0.0,12,21,2,7,1,14,16,16,2.33,0,0,0,1,64,247,0.382,4,0,0,1,0,0,0,0,0,0,0,4,0,0,10,11,0.91,0.475,15.4,20.6,10.5,5.25,2.0,0.453,0.564,1.017
2026,53754,김서현,한화,HH,23,12.38,12,1,2,1,0,0.333,8,9,1,15,4,5,12,11,3.0,0,0,0,1,52,210,0.281,1,0,1,0,0,1,0,0,0,1,5,2,0,0,11,7,1.57,0.308,17.5,26.3,5.63,16.88,0.33,0.549,0.406,0.955
2026,50710,김범준,한화,HH,24,13.5,1,0,0,0,0,,2/3,2,0,0,0,0,1,1,3.0,0,0,0,0,4,14,0.667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,0.667,14.0,21.0,0.0,0.0,,0.667,1.333,2.0
2026,65707,주현상,한화,HH,25,15.43,3,0,0,0,0,,2 1/3,7,1,2,0,1,9,4,3.86,0,0,0,0,17,61,0.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0.4,0.462,20.3,26.1,3.86,7.71,0.5,0.529,0.786,1.315
2026,54705,김도빈,한화,HH,26,24.75,6,0,1,0,1,0.0,4,3,0,10,2,6,11,11,3.25,0,0,0,0,27,121,0.214,2,1,0,1,0,3,0,0,0,0,1,0,0,0,4,2,2.0,0.333,20.2,30.3,13.5,22.5,0.6,0.556,0.5,1.056
2026,65056,엄상백,한화,HH,27,27.0,1,0,0,0,0,,1/3,2,0,0,1,0,1,1,6.0,0,0,0,0,4,13,0.667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.667,13.0,39.0,0.0,0.0,,0.75,1.333,2.083
2026,66858,정동윤,SSG,SK,1,0.0,1,0,0,0,0,,1,0,0,0,0,1,0,0,0.0,0,0,0,0,3,11,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.0,0.0,11.0,11.0,9.0,0.0,,0.0,0.0,0.0
2026,51897,조병현,SSG,SK,2,0.59,14,1,0,5,0,1.0,15 1/3,7,0,9,0,15,1,1,1.04,0,0,0,1,61,271,0.135,0,0,0,0,0,1,0,0,0,1,10,6,1,1,7,23,0.3,0.189,19.4,17.7,8.8,5.28,1.67,0.262,0.135,0.397
2026,62869,문승원,SSG,SK,3,0.81,16,1,0,0,2,1.0,22 1/3,10,0,8,3,13,5,2,0.81,0,0,0,0,89,370,0.132,2,0,1,1,1,0,0,0,0,1,2,2,0,0,30,24,1.25,0.156,23.1,16.6,5.24,3.22,1.63,0.239,0.158,0.397
2026,52844,김도현,SSG,SK,4,2.45,3,0,0,0,0,,3 2/3,1,0,6,0,1,1,1,1.91,0,0,0,0,17,69,0.091,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,4,1.25,0.1,23.0,18.8,2.45,14.73,0.17,0.412,0.091,0.503
2026,73211,노경은,SSG,SK,5,3.12,18,1,2,0,4,0.333,17 1/3,17,1,7,1,15,7,6,1.38,0,0,0,2,78,303,0.254,3,0,2,1,2,1,0,0,0,1,2,4,0,1,19,17,1.12,0.308,16.8,17.5,7.79,3.63,2.14,0.329,0.343,0.672
2026,68856,최민준,SSG,SK,6,3.23,7,1,2,0,0,0.333,30 2/3,27,4,17,3,26,16,11,1.43,0,0,0,0,136,535,0.237,3,0,0,2,0,2,1,7,1,0,0,0,0,5,36,27,1.33,0.267,76.4,17.4,7.63,4.99,1.53,0.346,0.368,0.714
2026,51867,김건우,SSG,SK,7,3.51,8,5,0,0,0,1.0,41,33,5,19,2,31,16,16,1.27,0,0,2,0,170,707,0.224,6,0,0,2,0,1,0,8,5,0,0,0,0,7,36,49,0.73,0.248,88.4,17.2,6.8,4.17,1.63,0.318,0.367,0.685
2026,68092,한두솔,SSG,SK,8,3.52,14,0,0,0,0,,15 1/3,20,1,3,4,10,7,6,1.5,0,0,0,0,74,239,0.313,2,0,1,2,0,0,0,0,0,0,8,0,0,0,15,21,0.71,0.345,17.1,15.6,5.87,1.76,3.33,0.37,0.391,0.761
2026,55855,화이트,SSG,SK,9,4.11,6,1,1,0,0,0.5,30 2/3,37,1,15,2,29,15,14,1.7,0,0,3,0,142,557,0.298,5,0,0,1,0,2,0,6,1,0,0,0,0,3,34,25,1.36,0.379,92.8,18.2,8.51,4.4,1.93,0.38,0.363,0.743
2026,69839,백승건,SSG,SK,10,4.32,5,0,0,0,0,,8 1/3,9,0,4,0,7,5,4,1.56,0,0,0,0,39,172,0.29,4,1,1,3,0,0,0,1,0,0,1,1,0,0,6,12,0.5,0.333,34.4,20.6,7.56,4.32,1.75,0.342,0.484,0.826
2026,53892,이로운,SSG,SK,10,4.32,18,3,0,0,4,1.0,16 2/3,14,1,10,0,16,8,8,1.44,0,0,0,0,73,332,0.222,3,0,0,0,3,1,0,0,0,3,0,4,0,1,10,23,0.43,0.283,18.4,19.9,8.64,5.4,1.6,0.329,0.317,0.646
2026,56841,베니지아노,SSG,SK,12,5.19,7,1,2,0,0,0.333,34 2/3,43,3,11,3,26,23,20,1.56,0,0,0,0,159,627,0.309,7,0,6,0,0,1,0,7,1,0,0,0,0,3,40,30,1.33,0.364,89.6,18.1,6.75,2.86,2.36,0.373,0.424,0.797
