season_year,player_id,player_name,team_name,team_code,rank_no,avg,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,xbh,go_count,ao_count,go_ao,gw_rbi,bb_k,p_pa,isop,xr,gpa
2026,50996,박시원,NC,NC,17,0.2,4,13,10,3,2,0,0,0,2,1,0,1,2,0,0,2,0,0.2,0.308,0.508,1,0.0,0.0,0,1,6,0.17,0,1.0,4.23,0.0,1.3,0.189
2026,56949,고준휘,NC,NC,18,0.174,13,27,23,2,4,1,0,1,8,5,0,0,2,0,2,5,1,0.348,0.296,0.644,1,0.111,0.0,2,8,6,1.33,0,0.4,3.81,0.174,2.3,0.22
2026,56909,신재인,NC,NC,19,0.149,23,57,47,3,7,1,0,2,14,5,0,0,10,0,0,9,0,0.298,0.298,0.596,0,0.071,0.333,3,11,20,0.55,0,1.11,4.53,0.149,5.3,0.209
2026,51903,김정호,NC,NC,20,0.125,9,8,8,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0.125,0.125,0.25,0,0.0,0.0,0,2,1,2.0,0,0.0,3.75,0.0,-0.2,0.088
2026,66965,도태훈,NC,NC,20,0.125,20,41,32,5,4,2,0,0,6,2,0,0,6,0,3,7,1,0.188,0.317,0.505,0,0.167,0.0,2,15,6,2.5,0,0.86,4.0,0.063,2.6,0.19
2026,63963,권희동,NC,NC,22,0.077,7,17,13,2,1,0,0,0,1,1,0,0,4,0,0,4,0,0.077,0.294,0.371,0,0.5,0.0,0,4,4,1.0,0,1.0,5.47,0.0,0.9,0.152
2026,53989,신성호,NC,NC,23,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,1,0,,0,,3.0,0.0,-0.1,0.0
2026,51991,오장한,NC,NC,23,0.0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,,0,0.0,3.0,0.0,-0.2,0.0
2026,51996,오태양,NC,NC,23,0.0,7,6,5,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0.0,0.167,0.167,0,0.0,0.0,0,1,1,1.0,0,0.33,4.33,0.0,-0.1,0.075
2026,50903,한재환,NC,NC,23,0.0,3,4,4,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,0.0,0,0.0,0.0,0,2,1,2.0,0,0.0,2.5,0.0,-1.1,0.0
