season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2026,63765,김종수,한화,HH,15,투수,25,0,18,0,1,0,3,0,1.0,0,0,0,
2026,67703,박상원,한화,HH,16,투수,24,0,20,0,0,1,2,0,1.0,0,0,0,
2026,62700,하주석,한화,HH,16,2루수,24,21,170,4,0,46,45,15,0.958,0,0,0,
2026,65616,이민우,한화,HH,18,투수,23,0,26 2/3,1,0,2,0,0,0.667,0,0,0,
2026,69213,윤산흠,한화,HH,20,투수,22,0,22,0,1,3,4,0,1.0,0,0,0,
2026,65117,이상규,한화,HH,21,투수,21,0,25 2/3,2,0,1,6,0,0.778,0,0,0,
2026,52731,박준영,한화,HH,22,투수,20,1,23 2/3,0,0,0,1,0,1.0,0,0,0,
2026,66657,이진영,한화,HH,23,중견수,17,13,99,0,0,26,1,0,1.0,0,0,0,
2026,56760,쿠싱,한화,HH,24,투수,16,1,20 2/3,1,0,1,0,0,0.5,0,0,0,
2026,56719,왕옌청,한화,HH,26,투수,13,13,67,1,0,6,6,0,0.923,0,0,0,
2026,53754,김서현,한화,HH,27,투수,12,0,8,0,0,0,2,0,1.0,0,0,0,
2026,76715,류현진,한화,HH,28,투수,11,11,63 2/3,0,0,3,13,1,1.0,0,0,0,
2026,56712,에르난데스,한화,HH,28,투수,11,11,54 1/3,1,0,2,5,0,0.875,0,0,0,
2026,56769,강건우,한화,HH,30,투수,9,1,11 1/3,0,0,0,0,0,,0,0,0,
2026,55764,권민규,한화,HH,30,투수,9,0,9 1/3,0,0,0,0,0,,0,0,0,
2026,54702,원종혁,한화,HH,30,투수,9,0,6,0,1,3,2,0,1.0,0,0,0,
2026,54729,황준서,한화,HH,30,투수,9,4,19,0,0,0,4,0,1.0,0,0,0,
2026,54705,김도빈,한화,HH,36,투수,6,0,4,0,0,0,0,0,,0,0,0,
2026,52701,문동주,한화,HH,36,투수,6,6,24 1/3,0,0,0,1,0,1.0,0,0,0,
2026,56709,박준영,한화,HH,36,투수,6,3,17 2/3,0,0,0,1,0,1.0,0,0,0,
2026,50707,최인호,한화,HH,36,우익수,6,0,14,0,0,4,0,0,1.0,0,0,0,
2026,56724,화이트,한화,HH,40,투수,5,5,26 2/3,2,1,1,6,0,0.778,0,0,0,
2026,50709,박정현,한화,HH,43,3루수,4,0,7,0,0,0,0,0,,0,0,0,
2026,50705,강재민,한화,HH,46,투수,3,0,2 2/3,0,0,0,1,0,1.0,0,0,0,
2026,65707,주현상,한화,HH,46,투수,3,0,2 1/3,0,0,0,0,0,,0,0,0,
2026,53706,박재규,한화,HH,49,투수,2,0,1,0,0,0,2,0,1.0,0,0,0,
