season_year,player_id,player_name,team_name,team_code,rank_no,era,g,w,l,sv,hld,wpct,ip,h,hr,bb,hbp,so,r,er,whip,cg,sho,qs,bsv,tbf,np,avg,double_hit,triple_hit,sac,sf,ibb,wp,bk,gs,wgs,wgr,gf,svo,ts,gdp,go_count,ao_count,go_ao,babip,p_g,p_ip,k9,bb9,k_bb,obp,slg,ops
2026,55146,치리노스,LG,LG,21,6.68,8,2,3,0,0,0.4,33 2/3,47,4,14,4,28,26,25,1.81,0,0,0,0,164,648,0.331,8,0,3,1,0,1,0,8,2,0,0,0,0,5,43,25,1.72,0.387,81.0,19.2,7.49,3.74,2.0,0.404,0.472,0.876
2026,51163,조건희,LG,LG,22,9.0,2,0,0,0,0,,2,4,1,2,0,1,2,2,3.0,0,0,0,0,12,47,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0.67,0.375,23.5,23.5,4.5,9.0,0.5,0.5,0.7,1.2
2026,63145,배재준,LG,LG,23,10.64,13,1,1,0,2,0.5,11,18,2,10,1,12,13,13,2.55,0,0,0,1,59,244,0.383,2,0,0,1,0,2,0,0,0,1,1,4,0,2,7,11,0.64,0.471,18.8,22.2,9.82,8.18,1.2,0.492,0.553,1.045
2026,68159,성동현,LG,LG,24,11.12,5,0,0,0,0,,5 2/3,10,2,4,1,5,8,7,2.47,0,0,0,0,33,126,0.357,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,7,0.86,0.381,25.2,22.2,7.94,6.35,1.25,0.455,0.571,1.026
2026,65109,백승현,LG,LG,25,11.81,6,0,0,0,0,,5 1/3,6,2,4,0,6,7,7,1.88,0,0,0,0,25,108,0.286,0,0,0,0,0,2,0,0,0,0,1,0,0,1,5,4,1.25,0.308,18.0,20.3,10.13,6.75,1.5,0.4,0.571,0.971
2026,69168,이상영,LG,LG,26,13.5,1,0,1,0,0,0.0,3 1/3,9,0,2,0,0,5,5,3.3,0,0,0,0,18,58,0.563,2,0,0,0,0,0,0,1,0,0,0,0,0,2,5,2,2.5,0.563,58.0,17.4,0.0,5.4,0.0,0.611,0.688,1.299
2026,69205,이교훈,한화,HH,1,0.0,1,0,0,0,0,,1/3,1,0,1,0,1,2,0,6.0,0,0,0,0,3,11,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1.0,11.0,33.0,27.0,27.0,1.0,0.667,0.5,1.167
2026,65616,이민우,한화,HH,2,2.16,21,0,2,4,4,0.0,25,22,1,8,3,10,6,6,1.2,0,0,0,0,106,402,0.244,2,0,1,4,0,0,0,0,0,0,6,6,1,1,33,29,1.14,0.253,19.1,16.1,3.6,2.88,1.25,0.314,0.3,0.614
2026,65117,이상규,한화,HH,3,2.55,20,1,0,0,4,1.0,24 2/3,19,2,9,2,18,11,7,1.14,0,0,0,0,105,378,0.209,0,0,3,0,0,2,0,0,0,1,2,5,0,1,29,25,1.16,0.239,18.9,15.3,6.57,3.28,2.0,0.294,0.275,0.569
2026,76715,류현진,한화,HH,4,2.97,11,7,2,0,0,0.778,63 2/3,55,4,9,2,51,27,21,1.01,0,0,5,0,255,976,0.232,13,1,5,2,1,1,0,11,7,0,0,0,0,4,66,67,0.99,0.277,88.7,15.3,7.21,1.27,5.67,0.264,0.346,0.61
2026,56724,화이트,한화,HH,5,3.04,5,2,2,0,0,0.5,26 2/3,22,2,5,1,18,9,9,1.01,0,0,3,0,108,411,0.22,5,2,1,1,0,1,0,5,2,0,0,0,0,2,33,28,1.18,0.247,82.2,15.4,6.08,1.69,3.6,0.262,0.37,0.632
2026,56719,왕옌청,한화,HH,6,3.13,12,5,2,0,0,0.714,63 1/3,65,4,24,4,54,30,22,1.41,0,0,4,0,275,1073,0.264,9,0,1,0,0,3,0,12,5,0,0,0,0,7,82,45,1.82,0.324,89.4,16.9,7.67,3.41,2.25,0.339,0.35,0.689
2026,54768,조동욱,한화,HH,7,4.03,28,1,1,0,6,0.5,22 1/3,24,0,10,2,20,10,10,1.52,0,0,0,1,99,340,0.289,2,1,4,0,0,1,0,0,0,1,2,3,0,2,16,23,0.7,0.381,12.1,15.2,8.06,4.03,2.0,0.379,0.337,0.716
2026,56712,에르난데스,한화,HH,8,4.47,10,3,3,0,0,0.5,48 1/3,51,3,21,1,36,26,24,1.49,0,0,3,0,208,827,0.277,9,0,2,0,0,1,0,10,3,0,0,0,0,7,39,58,0.67,0.331,82.7,17.1,6.7,3.91,1.71,0.354,0.375,0.729
2026,56709,박준영,한화,HH,9,4.6,5,1,1,0,1,0.5,15 2/3,16,5,6,1,10,8,8,1.4,0,0,0,0,68,275,0.267,4,0,0,1,0,1,0,3,1,0,0,0,0,2,15,20,0.75,0.239,55.0,17.6,5.74,3.45,1.67,0.338,0.583,0.921
2026,52731,박준영,한화,HH,10,4.64,18,1,0,0,0,1.0,21 1/3,18,2,18,3,21,12,11,1.69,0,0,0,1,97,414,0.247,4,3,1,2,0,0,0,1,0,1,8,2,0,4,18,18,1.0,0.308,23.0,19.4,8.86,7.59,1.17,0.406,0.466,0.872
2026,56760,쿠싱,한화,HH,11,4.79,16,1,2,4,0,0.333,20 2/3,20,3,6,0,26,11,11,1.26,0,0,0,1,88,334,0.247,2,0,1,0,0,0,0,1,0,1,15,5,0,2,20,15,1.33,0.327,20.9,16.2,11.32,2.61,4.33,0.299,0.383,0.682
2026,55764,권민규,한화,HH,12,4.82,9,1,0,0,0,1.0,9 1/3,13,1,4,0,7,5,5,1.82,0,0,0,0,43,173,0.342,2,1,0,1,0,0,0,0,0,1,3,0,0,2,8,11,0.73,0.387,19.2,18.5,6.75,3.86,1.75,0.395,0.526,0.921
2026,63765,김종수,한화,HH,13,5.0,25,0,1,0,4,0.0,18,23,3,11,2,16,11,10,1.89,0,0,0,1,88,321,0.315,0,2,0,2,0,0,0,0,0,0,2,4,0,2,19,17,1.12,0.357,12.8,17.8,8.0,5.5,1.45,0.409,0.493,0.902
2026,52701,문동주,한화,HH,14,5.18,6,1,1,0,0,0.5,24 1/3,27,3,11,3,18,16,14,1.56,0,0,1,0,110,442,0.281,6,1,0,0,0,2,0,6,1,0,0,0,0,3,29,22,1.32,0.32,73.7,18.2,6.66,4.07,1.64,0.373,0.458,0.831
2026,54729,황준서,한화,HH,15,6.35,8,1,2,0,0,0.333,17,16,2,13,1,19,13,12,1.71,0,0,0,0,80,334,0.258,1,0,3,1,0,0,0,3,0,1,1,0,0,2,14,14,1.0,0.333,41.8,19.6,10.06,6.88,1.46,0.39,0.371,0.761
2026,69213,윤산흠,한화,HH,16,6.63,20,1,1,0,2,0.5,19,18,3,11,1,15,17,14,1.53,0,0,0,1,87,360,0.247,4,0,1,1,0,0,0,0,0,1,1,4,0,4,27,14,1.93,0.268,18.0,18.9,7.11,5.21,1.36,0.349,0.425,0.774
2026,50705,강재민,한화,HH,17,6.75,3,0,0,0,0,,2 2/3,4,0,3,2,1,2,2,2.63,0,0,0,0,17,60,0.364,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5,0.2,0.4,20.0,22.5,3.38,10.13,0.33,0.563,0.364,0.927
2026,55743,정우주,한화,HH,17,6.75,25,0,2,0,5,0.0,25 1/3,28,3,21,5,34,22,19,1.93,0,0,0,1,128,577,0.28,6,0,0,2,0,5,0,3,0,0,1,5,0,2,12,28,0.43,0.385,23.1,22.8,12.08,7.46,1.62,0.422,0.43,0.852
2026,67703,박상원,한화,HH,19,7.58,23,0,2,1,6,0.0,19,25,2,8,1,21,16,16,1.74,0,0,0,1,90,348,0.313,5,0,0,1,0,0,0,0,0,0,2,9,0,0,20,15,1.33,0.397,15.1,18.3,9.95,3.79,2.63,0.378,0.45,0.828
2026,56769,강건우,한화,HH,20,7.94,9,0,0,0,0,,11 1/3,20,2,11,1,10,11,10,2.74,0,0,0,0,67,242,0.364,0,0,0,0,0,0,0,1,0,0,2,0,0,1,8,17,0.47,0.419,26.9,21.4,7.94,8.74,0.91,0.478,0.473,0.951
