season_year,player_name,team_name,babip,bb_rate,k_rate,bb_k,iso,ab_per_hr,rc,rc27,wrc,spd,wsb,woba,wraa,war
2021,오재원,두산,0.218,7.6,22.8,0.33,0.041,,3.5,1.48,0.58,2.81,0.39,0.211,-9.13,-0.68
2021,이도윤,한화,0.244,5.9,26.5,0.22,0.0,,2.31,1.11,-0.39,3.76,-0.73,0.197,-8.75,-0.72
2021,박정현,한화,0.276,7.5,26.7,0.28,0.038,,7.3,2.17,3.6,3.79,0.19,0.236,-11.16,-0.74
2021,보어,LG,0.2,9.4,25.6,0.37,0.11,33.33,8.4,2.58,5.97,1.53,-0.01,0.259,-8.42,-0.74
2021,변상권,키움,0.311,5.3,23.4,0.23,0.082,,14.6,3.13,10.37,6.52,-0.02,0.27,-10.66,-0.76
2021,예진원,키움,0.198,9.1,21.2,0.43,0.096,114.0,7.68,2.01,4.59,5.2,-0.47,0.241,-11.64,-0.9
2021,이원석,한화,0.264,6.2,33.1,0.19,0.053,114.0,7.13,1.87,2.41,6.66,-0.14,0.224,-13.58,-0.96
2021,유장혁,한화,0.217,7.1,34.8,0.2,0.081,98.0,5.25,1.57,0.96,4.52,-0.07,0.213,-12.81,-0.96
2021,임종찬,한화,0.235,8.2,33.6,0.24,0.061,131.0,6.66,1.55,1.8,2.5,-0.47,0.217,-16.16,-1.47
2021,김태균,한화,,,,,,,,,,,0.0,,,
2021,안주형,삼성,,,,,,,,,,,0.0,,,
2021,박관진,키움,,,,,,,,,,,0.0,,,
