season_year,player_id,player_name,team_name,team_code,rank_no,avg,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,xbh,go_count,ao_count,go_ao,gw_rbi,bb_k,p_pa,isop,xr,gpa
2025,55164,박관우,LG,LG,12,0.264,39,58,53,12,14,2,0,2,22,13,0,1,3,0,1,11,1,0.415,0.31,0.725,0,0.294,0.368,4,13,16,0.81,0,0.27,3.5,0.151,7.1,0.243
2025,79109,오지환,LG,LG,13,0.253,127,472,419,57,106,24,1,16,180,62,7,6,37,0,3,115,4,0.43,0.314,0.744,27,0.283,0.333,41,90,114,0.79,6,0.32,4.19,0.177,58.8,0.249
2025,79365,박동원,LG,LG,14,0.253,139,523,451,57,114,25,0,22,205,76,3,5,62,4,2,124,10,0.455,0.342,0.797,27,0.235,0.143,47,110,108,1.02,8,0.5,3.89,0.202,72.2,0.268
2025,50054,천성호,LG,LG,15,0.237,83,199,173,24,41,9,2,1,57,17,4,0,17,0,5,29,2,0.329,0.323,0.652,8,0.25,0.154,12,58,45,1.29,3,0.59,3.67,0.092,19.5,0.228
2025,52154,이주헌,LG,LG,16,0.219,76,156,128,22,28,3,0,4,43,9,2,0,18,0,8,30,2,0.336,0.351,0.687,5,0.111,0.25,7,31,39,0.79,1,0.6,3.78,0.117,17.4,0.242
2025,68110,송찬의,LG,LG,17,0.211,66,166,147,18,31,9,1,3,51,20,1,1,9,0,8,49,4,0.347,0.291,0.638,7,0.237,0.273,13,29,39,0.74,3,0.18,3.9,0.136,14.4,0.218
2025,51100,이영빈,LG,LG,18,0.208,44,75,72,12,15,1,1,3,27,9,1,1,1,0,0,35,1,0.375,0.216,0.591,1,0.238,0.0,5,9,14,0.64,0,0.03,4.45,0.167,6.2,0.191
2025,52105,김성우,LG,LG,19,0.2,7,5,5,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0.2,0.2,0.4,0,0.333,0.0,0,2,1,2.0,0,0.0,2.8,0.0,0.1,0.14
2025,66162,김주성,LG,LG,19,0.2,16,17,15,3,3,0,0,1,6,1,0,0,1,0,1,2,0,0.4,0.294,0.694,0,0.0,0.25,1,4,6,0.67,0,0.5,3.94,0.2,1.4,0.232
2025,54156,손용준,LG,LG,19,0.2,9,16,15,3,3,0,0,0,3,1,0,0,0,0,1,5,2,0.2,0.25,0.45,0,0.25,0.0,0,7,0,,1,0.0,3.19,0.0,0.2,0.163
