season_year,player_name,team_name,hr9,lob_rate,fip,kfip,fip_war,ra9_war,k_rate,bb_rate,avg_against,obp_against,slg_against,ops_against
2021,정진호(투),한화,0.0,100.0,5.13,5.85,-0.01,0.05,0.0,16.7,0.2,0.333,0.2,0.533
2021,윤산흠,한화,0.0,81.8,6.0,6.66,-0.01,0.04,10.5,10.5,0.467,0.579,0.467,1.046
2021,안인산,NC,0.0,61.5,5.13,5.28,-0.01,-0.02,26.5,20.6,0.136,0.382,0.182,0.564
2021,박승주,키움,0.0,66.7,4.95,5.52,-0.01,0.04,5.6,16.7,0.2,0.333,0.267,0.6
2021,강동호,롯데,0.0,66.7,6.33,7.04,-0.01,-0.01,14.3,14.3,0.2,0.429,0.4,0.829
2021,박선우,롯데,0.0,100.0,5.33,5.98,-0.01,0.08,11.1,0.0,0.143,0.333,0.143,0.476
2021,윤성빈,롯데,0.0,100.0,6.33,7.29,-0.01,0.04,0.0,20.0,0.0,0.2,0.0,0.2
2021,윤명준,두산,0.59,67.3,4.49,4.67,-0.02,0.5,12.5,9.6,0.303,0.381,0.389,0.77
2021,박재민,롯데,3.38,0.0,8.96,9.25,-0.02,-0.07,15.4,15.4,0.273,0.385,0.636,1.021
2021,김진욱,롯데,0.59,69.0,5.44,5.61,-0.02,0.02,19.8,21.6,0.247,0.42,0.353,0.773
2021,남호,두산,0.0,50.0,5.21,5.59,-0.03,-0.09,15.4,23.1,0.3,0.462,0.4,0.862
2021,이상규,LG,1.5,52.1,5.67,5.82,-0.03,-0.11,13.8,6.9,0.308,0.379,0.5,0.879
2021,김창훈,롯데,1.12,51.1,5.71,5.91,-0.03,-0.15,14.6,14.6,0.371,0.463,0.571,1.035
2021,추재현(투),롯데,0.0,100.0,9.33,10.9,-0.03,0.04,0.0,50.0,0.0,0.5,0.0,0.5
2021,김대우,삼성,1.24,61.2,5.0,5.13,-0.04,-0.23,11.5,6.4,0.315,0.363,0.495,0.859
2021,김태형,LG,0.0,0.0,10.33,11.77,-0.04,-0.09,16.7,33.3,0.0,0.6,0.0,0.6
2021,문용익,삼성,1.23,75.5,4.88,4.83,-0.04,0.43,19.4,10.2,0.247,0.333,0.388,0.722
2021,홍민기,롯데,0.0,50.0,21.33,25.35,-0.04,-0.05,0.0,66.7,0.0,0.667,0.0,0.667
2021,윤호솔,한화,1.29,70.1,5.45,5.51,-0.04,0.68,19.6,14.0,0.233,0.349,0.449,0.798
2021,노성호,삼성,0.95,67.6,5.07,5.07,-0.04,0.19,23.2,17.1,0.152,0.309,0.258,0.566
2021,고영창,KIA,0.0,54.8,4.36,4.81,-0.04,-0.73,5.6,9.3,0.316,0.393,0.379,0.771
2021,허윤동,삼성,2.45,46.5,6.88,6.98,-0.04,-0.25,13.6,4.5,0.4,0.455,0.65,1.105
2021,홍정우,삼성,1.72,87.0,5.06,4.96,-0.04,0.31,18.8,6.2,0.233,0.281,0.467,0.748
2021,현도훈,두산,1.04,43.7,7.26,7.66,-0.05,-0.4,19.6,28.3,0.29,0.478,0.419,0.898
2021,고봉재,두산,6.75,27.8,13.08,13.71,-0.05,-0.19,0.0,0.0,0.625,0.625,1.0,1.625
2021,서균,한화,0.0,50.0,6.93,8.17,-0.05,-0.13,0.0,0.0,0.333,0.444,0.333,0.778
2021,강동연,NC,1.57,53.9,6.2,6.46,-0.05,-0.1,12.8,12.8,0.269,0.358,0.462,0.82
2021,문성현,키움,0.0,77.8,6.93,7.6,-0.05,-0.01,16.7,33.3,0.25,0.5,0.417,0.917
2021,이용준,NC,0.0,42.9,9.33,10.62,-0.05,-0.14,8.3,33.3,0.375,0.583,0.375,0.958
2021,강경학(투),한화,0.0,33.3,16.83,20.12,-0.06,-0.15,0.0,25.0,0.6,0.75,0.8,1.55
2021,김건국,롯데,1.23,67.9,5.47,5.58,-0.06,-0.07,16.3,13.5,0.3,0.394,0.489,0.883
2021,이교훈,두산,2.16,49.3,5.97,5.88,-0.06,-0.35,18.6,7.0,0.351,0.395,0.595,0.99
2021,강지광,SSG,0.0,42.9,13.33,15.25,-0.06,-0.14,10.0,40.0,0.6,0.7,0.6,1.3
2021,이상동,KT,0.0,40.0,3.18,3.12,-0.06,-0.61,17.2,10.3,0.28,0.345,0.28,0.625
2021,김현준,KIA,1.83,65.4,5.88,5.83,-0.06,0.08,22.9,14.5,0.221,0.338,0.412,0.749
2021,정영일,SSG,4.5,76.9,9.83,10.37,-0.06,-0.05,0.0,0.0,0.444,0.444,0.889,1.333
2021,김진호,NC,0.0,40.0,10.33,11.64,-0.07,-0.19,14.3,42.9,0.5,0.714,0.5,1.214
2021,최동환,LG,0.0,50.0,5.8,6.54,-0.07,-0.1,7.1,14.3,0.273,0.429,0.318,0.747
