season_year,player_id,team_name
2021,66108,LG
2021,60566,LG
2021,64101,LG
2021,76290,LG
2021,79192,LG
2021,79109,LG
2021,78168,LG
2021,61102,LG
2021,68106,LG
2021,50165,LG
2021,51100,LG
2021,79150,LG
2021,69102,LG
2021,68119,LG
2021,77564,LG
2021,78135,LG
2021,71184,LG
2021,61186,LG
2021,51144,LG
2021,66162,LG
2021,78217,LG
2021,65115,LG
2021,65132,LG
2021,69100,LG
2021,65207,LG
2021,50167,LG
2021,50150,LG
2021,67119,LG
2021,60181,LG
2021,51154,LG
2021,66113,LG
2021,63103,LG
2021,65117,LG
2021,69168,LG
2021,61145,LG
2021,69134,LG
2021,67164,LG
2021,64115,LG
2021,76650,LG
2021,65241,LG
2021,65157,LG
2021,62146,LG
2021,66704,한화
2021,68743,한화
2021,78288,한화
2021,62700,한화
2021,69737,한화
2021,51714,한화
2021,64266,한화
2021,51725,한화
2021,51762,한화
2021,63700,한화
2021,63704,한화
2021,61208,한화
2021,73136,한화
2021,61554,한화
2021,50707,한화
2021,69705,한화
2021,50709,한화
2021,69706,한화
2021,66702,한화
2021,51706,한화
2021,68700,한화
2021,65703,한화
2021,60343,한화
2021,50704,한화
2021,69766,한화
2021,78643,한화
2021,51764,한화
2021,64704,한화
2021,66710,한화
2021,65503,한화
2021,69702,한화
2021,50705,한화
2021,67711,한화
2021,63765,한화
2021,71752,한화
2021,66707,한화
2021,61156,한화
2021,51767,한화
2021,60140,한화
2021,63464,한화
2021,63961,한화
2021,62611,한화
2021,79764,한화
2021,74857,한화
2021,67893,SSG
2021,66052,SSG
2021,76802,SSG
2021,76812,SSG
2021,62895,SSG
2021,75847,SSG
2021,62884,SSG
2021,60558,SSG
2021,61353,SSG
2021,65869,SSG
2021,51817,SSG
2021,50854,SSG
2021,66864,SSG
2021,76267,SSG
2021,67807,SSG
2021,71837,SSG
2021,63440,SSG
2021,75151,SSG
2021,66917,SSG
2021,67872,SSG
2021,61743,SSG
2021,69825,SSG
2021,51868,SSG
2021,69810,SSG
2021,76430,SSG
2021,79847,SSG
2021,65343,SSG
2021,64893,SSG
2021,64896,SSG
2021,61895,SSG
2021,62937,SSG
2021,64890,SSG
2021,51895,SSG
2021,71842,SSG
2021,66960,SSG
2021,51809,SSG
2021,69813,SSG
2021,63435,삼성
2021,62404,삼성
2021,62415,삼성
2021,74540,삼성
2021,51463,삼성
2021,75334,삼성
2021,61404,삼성
2021,61197,삼성
2021,50458,삼성
2021,64793,삼성
2021,64610,삼성
2021,51417,삼성
2021,66838,삼성
2021,79402,삼성
2021,64469,삼성
2021,75566,삼성
2021,64407,삼성
2021,78756,삼성
2021,69453,삼성
2021,69418,삼성
2021,67449,삼성
2021,69442,삼성
2021,65412,삼성
2021,68403,삼성
2021,60288,삼성
2021,62920,삼성
2021,67419,삼성
2021,64410,삼성
2021,66406,삼성
2021,75421,삼성
2021,63492,삼성
2021,68466,삼성
2021,76232,NC
2021,63905,NC
2021,76849,NC
2021,62931,NC
2021,69992,NC
2021,62947,NC
2021,50923,NC
2021,63963,NC
2021,62907,NC
2021,74465,NC
2021,78361,NC
2021,68909,NC
2021,62925,NC
2021,51907,NC
2021,62025,NC
2021,65905,NC
2021,61869,NC
2021,63450,NC
2021,78122,NC
2021,64944,NC
2021,76720,NC
2021,66928,NC
2021,65462,NC
2021,66968,NC
2021,66965,NC
2021,63920,NC
2021,73306,NC
2021,60339,NC
2021,67900,NC
2021,68900,NC
2021,75867,NC
2021,67956,NC
2021,69996,NC
2021,65949,NC
2021,78813,NC
2021,50996,NC
2021,69974,NC
2021,68902,NC
2021,50901,NC
2021,51991,NC
2021,51996,NC
2021,76118,NC
2021,77211,NC
2021,65964,NC
2021,63959,NC
2021,78352,NC
2021,62966,NC
2021,66963,NC
2021,62655,NC
2021,68050,KT
2021,62802,KT
2021,64004,KT
2021,74339,KT
2021,76313,KT
2021,64014,KT
2021,50054,KT
2021,77243,KT
2021,51004,KT
2021,64006,KT
2021,64166,KT
2021,51003,KT
2021,64906,KT
2021,64504,KT
2021,68730,KT
2021,64868,KT
2021,62556,KT
2021,78548,KT
2021,65040,KT
2021,64012,KT
2021,64007,KT
2021,51005,KT
2021,62558,KT
2021,73113,KT
2021,67005,KT
2021,63634,KT
2021,68069,KT
2021,64001,KT
2021,65048,KT
2021,65062,KT
2021,60559,KT
2021,64017,KT
2021,73738,KT
2021,76757,KT
2021,67008,KT
2021,65057,KT
2021,64047,KT
2021,78517,KT
2021,78513,롯데
2021,77532,롯데
2021,51528,롯데
2021,79608,롯데
2021,60523,롯데
2021,65506,롯데
2021,71564,롯데
2021,50506,롯데
2021,68518,롯데
2021,68525,롯데
2021,69508,롯데
2021,68362,롯데
2021,66749,롯데
2021,67504,롯데
2021,64717,롯데
2021,76100,롯데
2021,64022,롯데
2021,68504,롯데
2021,68507,롯데
2021,64501,롯데
2021,51551,롯데
2021,76249,롯데
2021,65515,롯데
2021,63895,롯데
2021,65514,롯데
2021,79358,롯데
2021,62528,롯데
2021,64596,롯데
2021,67539,롯데
2021,67454,롯데
2021,51594,롯데
2021,79293,롯데
2021,64565,롯데
2021,51560,롯데
2021,51574,롯데
2021,62893,KIA
2021,78603,KIA
2021,66606,KIA
2021,62234,KIA
2021,64984,KIA
2021,67610,KIA
2021,67644,KIA
2021,64646,KIA
2021,65610,KIA
2021,69652,KIA
2021,68614,KIA
2021,62265,KIA
2021,72443,KIA
2021,51640,KIA
2021,62864,KIA
2021,63722,KIA
2021,64560,KIA
2021,65653,KIA
2021,63260,KIA
2021,66657,KIA
2021,65464,KIA
2021,67609,KIA
2021,62908,KIA
2021,50657,KIA
2021,73209,KIA
2021,78629,KIA
2021,61700,KIA
2021,66614,KIA
2021,69636,KIA
2021,63950,KIA
2021,50662,KIA
2021,50204,두산
2021,79215,두산
2021,69209,두산
2021,66209,두산
2021,64213,두산
2021,79240,두산
2021,78224,두산
2021,64153,두산
2021,64468,두산
2021,79231,두산
2021,63257,두산
2021,51203,두산
2021,68205,두산
2021,63123,두산
2021,50202,두산
2021,63202,두산
2021,62244,두산
2021,68204,두산
2021,74206,두산
2021,64086,두산
2021,77248,두산
2021,79290,두산
2021,50203,두산
2021,77263,두산
2021,67246,두산
2021,68200,두산
2021,65269,두산
2021,69104,두산
2021,67259,두산
2021,51298,두산
2021,63292,두산
2021,67266,두산
2021,63559,두산
2021,66203,두산
2021,50208,두산
2021,62242,두산
2021,69205,두산
2021,64805,두산
2021,66291,두산
2021,61643,두산
2021,66207,두산
2021,67341,키움
2021,67304,키움
2021,74163,키움
2021,65362,키움
2021,65304,키움
2021,79456,키움
2021,51324,키움
2021,79365,키움
2021,65357,키움
2021,51309,키움
2021,65898,키움
2021,68305,키움
2021,75125,키움
2021,68346,키움
2021,62332,키움
2021,50304,키움
2021,64657,키움
2021,65586,키움
2021,69306,키움
2021,50312,키움
2021,69366,키움
2021,68330,키움
2021,65399,키움
2021,50365,키움
2021,51344,키움
2021,64340,키움
2021,50357,키움
2021,51302,키움
2021,50393,키움
2021,67828,키움
2021,51301,키움
2021,67391,키움
2021,65392,키움
2021,62360,키움
2021,60336,키움
2021,50397,키움
2021,66305,키움
2021,62353,키움
2021,61268,키움
2021,74359,키움
2021,69399,키움
2021,67603,키움
2021,51359,키움
2021,63342,키움
2021,69360,키움
2021,60337,LG
2021,65109,LG
2021,51136,LG
2021,69159,LG
2021,69113,LG
2021,69103,LG
2021,72523,LG
2021,61101,LG
2021,73801,LG
2021,63145,LG
2021,63248,LG
2021,50126,LG
2021,50157,LG
2021,76455,LG
2021,67116,LG
2021,67143,LG
2021,79140,LG
2021,66145,LG
2021,67122,LG
2021,64554,한화
2021,50758,한화
2021,50815,한화
2021,65707,한화
2021,67737,한화
2021,51722,한화
2021,65764,한화
2021,51761,한화
2021,51715,한화
2021,79440,한화
2021,65769,한화
2021,69703,한화
2021,64760,한화
2021,69213,한화
2021,77318,한화
2021,50720,한화
2021,69745,한화
2021,63749,한화
2021,50706,한화
2021,64759,한화
2021,68703,한화
2021,68797,한화
2021,65411,SSG
2021,66858,SSG
2021,60841,SSG
2021,62869,SSG
2021,51863,SSG
2021,51834,SSG
2021,75138,SSG
2021,51867,SSG
2021,64768,SSG
2021,60768,SSG
2021,68856,SSG
2021,51833,SSG
2021,50859,SSG
2021,68896,SSG
2021,51897,SSG
2021,62056,SSG
2021,63894,SSG
2021,76350,SSG
2021,64861,SSG
2021,50813,SSG
2021,79130,SSG
2021,77446,삼성
2021,69446,삼성
2021,50404,삼성
2021,73117,삼성
2021,65496,삼성
2021,69439,삼성
2021,68419,삼성
2021,63960,삼성
2021,67421,삼성
2021,61411,삼성
2021,51454,삼성
2021,51439,삼성
2021,51460,삼성
2021,61365,삼성
2021,61457,삼성
2021,68415,삼성
2021,77927,삼성
2021,50464,삼성
2021,65844,삼성
2021,60146,삼성
2021,50449,삼성
2021,64498,삼성
2021,63991,NC
2021,69940,NC
2021,51967,NC
2021,50992,NC
2021,65643,NC
2021,60263,NC
2021,50905,NC
2021,69962,NC
2021,63914,NC
2021,67962,NC
2021,68910,NC
2021,61295,NC
2021,51948,NC
2021,67954,NC
2021,51060,KT
2021,65060,KT
2021,75340,KT
2021,50040,KT
2021,65516,KT
2021,65056,KT
2021,69032,KT
2021,50030,KT
2021,69054,KT
2021,67048,KT
2021,75342,KT
2021,51058,KT
2021,66556,롯데
