순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,BABIP,P/G,P/IP,K/9,BB/9,K/BB,OBP,SLG,OPS,player_link,player_id,season_year,team_code
16,박시후,SSG,6.61,15,0,1,0,0,0.000,16 1/3,16,4,9,3,13,14,12,1.53,0,0,0,1,76,284,0.262,5,0,1,2,0,2,0,0,0,0,2,1,0,1,17,17,1.00,0.261,18.9,17.4,7.16,4.96,1.44,0.373,0.541,0.914,/Record/Player/PitcherDetail/Basic.aspx?playerId=50812,50812,2026,SK
17,타케다,SSG,8.10,10,1,6,0,0,0.143,43 1/3,60,4,23,1,37,40,39,1.92,0,0,1,0,212,815,0.323,10,0,1,1,0,5,0,10,1,0,0,0,0,2,49,41,1.20,0.384,81.5,18.8,7.68,4.78,1.61,0.398,0.441,0.839,/Record/Player/PitcherDetail/Basic.aspx?playerId=56823,56823,2026,SK
18,장지훈,SSG,8.31,12,0,0,0,0,-,17 1/3,21,3,6,2,9,16,16,1.56,0,0,0,0,80,281,0.292,4,0,0,0,1,0,0,0,0,0,3,0,0,1,21,21,1.00,0.300,23.4,16.2,4.67,3.12,1.50,0.363,0.472,0.835,/Record/Player/PitcherDetail/Basic.aspx?playerId=51895,51895,2026,SK
19,전영준,SSG,8.56,16,0,0,1,0,-,13 2/3,11,4,10,2,19,13,13,1.54,0,0,0,0,61,248,0.224,1,0,0,0,0,0,0,0,0,0,3,1,1,3,8,11,0.73,0.269,15.5,18.1,12.51,6.59,1.90,0.377,0.490,0.867,/Record/Player/PitcherDetail/Basic.aspx?playerId=52809,52809,2026,SK
20,이기순,SSG,8.68,8,1,1,0,0,0.500,9 1/3,13,0,12,3,7,9,9,2.68,0,0,0,0,55,222,0.325,4,0,0,0,0,1,0,1,0,1,4,0,0,0,8,12,0.67,0.394,27.8,23.8,6.75,11.57,0.58,0.509,0.425,0.934,/Record/Player/PitcherDetail/Basic.aspx?playerId=52868,52868,2026,SK
21,이준기,SSG,9.00,1,0,0,0,0,-,2,3,0,2,0,1,2,2,2.50,0,0,0,0,11,45,0.375,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,0.25,0.375,45.0,22.5,4.50,9.00,0.50,0.455,0.500,0.955,/Record/Player/PitcherDetail/Basic.aspx?playerId=51702,51702,2026,SK
22,긴지로,SSG,9.56,4,0,3,0,0,0.000,16,18,5,14,1,18,17,17,2.00,0,0,0,0,81,357,0.290,2,0,2,2,0,0,1,4,0,0,0,0,0,0,8,20,0.40,0.317,89.3,22.3,10.13,7.88,1.29,0.418,0.565,0.983,/Record/Player/PitcherDetail/Basic.aspx?playerId=56800,56800,2026,SK
23,김택형,SSG,40.50,1,0,0,0,0,-,2/3,1,1,2,0,1,3,3,4.50,0,0,0,0,5,25,0.333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.00,0.000,25.0,37.5,13.50,27.00,0.50,0.600,1.333,1.933,/Record/Player/PitcherDetail/Basic.aspx?playerId=65343,65343,2026,SK
1,양현,삼성,0.00,1,0,0,0,0,-,1/3,0,0,0,0,0,0,0,0.00,0,0,0,0,1,4,0.000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.00,0.000,4.0,12.0,0.00,0.00,-,0.000,0.000,0.000,/Record/Player/PitcherDetail/Basic.aspx?playerId=61268,61268,2026,SS
1,이재희,삼성,0.00,3,0,0,0,2,-,2 2/3,1,0,0,1,4,0,0,0.38,0,0,0,0,10,37,0.111,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0.00,0.200,12.3,13.9,13.50,0.00,-,0.200,0.111,0.311,/Record/Player/PitcherDetail/Basic.aspx?playerId=51460,51460,2026,SS
3,이승민,삼성,1.73,25,1,0,0,8,1.000,26,17,0,16,0,19,7,5,1.27,0,0,0,0,109,446,0.185,4,0,1,0,1,0,0,0,0,1,2,12,0,2,23,33,0.70,0.233,17.8,17.2,6.58,5.54,1.19,0.306,0.228,0.534,/Record/Player/PitcherDetail/Basic.aspx?playerId=50464,50464,2026,SS
4,후라도,삼성,2.17,11,3,1,0,0,0.750,70 2/3,67,7,11,3,49,21,17,1.10,0,0,10,0,289,1065,0.249,5,2,3,3,0,4,0,11,3,0,0,0,0,6,91,65,1.40,0.278,96.8,15.1,6.24,1.40,4.45,0.283,0.361,0.644,/Record/Player/PitcherDetail/Basic.aspx?playerId=53375,53375,2026,SS
5,배찬승,삼성,3.10,27,3,1,0,6,0.750,20 1/3,20,4,17,0,17,8,7,1.82,0,0,0,1,95,398,0.260,3,0,1,0,1,2,0,0,0,3,3,7,0,4,21,19,1.11,0.286,14.7,19.6,7.52,7.52,1.00,0.394,0.455,0.849,/Record/Player/PitcherDetail/Basic.aspx?playerId=55455,55455,2026,SS
6,김재윤,삼성,3.38,24,2,2,12,0,0.500,21 1/3,12,2,11,1,24,8,8,1.08,0,0,0,3,86,350,0.162,4,0,0,0,0,0,0,0,0,2,18,15,0,1,13,25,0.52,0.208,14.6,16.4,10.13,4.64,2.18,0.279,0.297,0.576,/Record/Player/PitcherDetail/Basic.aspx?playerId=65062,65062,2026,SS
7,양창섭,삼성,3.53,9,4,0,0,0,1.000,35 2/3,29,3,8,1,28,15,14,1.04,1,1,2,0,145,555,0.216,5,0,0,2,0,1,0,6,4,0,2,0,0,1,39,40,0.98,0.248,61.7,15.6,7.07,2.02,3.50,0.262,0.321,0.583,/Record/Player/PitcherDetail/Basic.aspx?playerId=68415,68415,2026,SS
8,원태인,삼성,3.57,8,2,3,0,0,0.400,45 1/3,43,2,12,3,38,18,18,1.21,0,0,4,0,190,751,0.249,8,1,2,0,0,0,0,8,2,0,0,0,0,2,49,43,1.14,0.308,93.9,16.6,7.54,2.38,3.17,0.309,0.341,0.650,/Record/Player/PitcherDetail/Basic.aspx?playerId=69446,69446,2026,SS
9,오러클린,삼성,3.99,11,4,2,0,0,0.667,56 1/3,47,4,24,8,52,27,25,1.26,0,0,6,0,242,965,0.233,12,0,4,4,0,2,0,11,4,0,0,0,0,4,55,52,1.06,0.287,87.7,17.1,8.31,3.83,2.17,0.332,0.351,0.683,/Record/Player/PitcherDetail/Basic.aspx?playerId=56464,56464,2026,SS
10,장찬희,삼성,4.24,13,3,2,0,0,0.600,34,33,4,17,2,23,17,16,1.47,0,0,1,0,154,583,0.258,8,1,2,5,1,0,0,4,1,2,1,0,0,1,35,42,0.83,0.274,44.8,17.1,6.09,4.50,1.35,0.342,0.430,0.772,/Record/Player/PitcherDetail/Basic.aspx?playerId=56460,56460,2026,SS
11,김태훈,삼성,4.32,9,1,1,0,1,0.500,8 1/3,5,1,3,1,4,7,4,0.96,0,0,0,0,34,123,0.179,2,0,2,0,0,0,0,0,0,1,1,3,0,1,11,8,1.38,0.174,13.7,14.8,4.32,3.24,1.33,0.281,0.357,0.638,/Record/Player/PitcherDetail/Basic.aspx?playerId=62360,62360,2026,SS
12,임기영,삼성,4.37,14,0,1,0,1,0.000,22 2/3,23,4,6,1,10,11,11,1.28,0,0,0,0,96,372,0.261,3,0,0,1,1,0,0,0,0,0,10,0,0,2,32,24,1.33,0.253,26.6,16.4,3.97,2.38,1.67,0.313,0.432,0.745,/Record/Player/PitcherDetail/Basic.aspx?playerId=62754,62754,2026,SS
13,최원태,삼성,4.72,9,2,2,0,0,0.500,47 2/3,51,3,22,1,46,27,25,1.53,0,0,4,0,208,821,0.282,7,1,2,2,0,2,0,9,2,0,0,0,0,8,45,41,1.10,0.358,91.2,17.2,8.69,4.15,2.09,0.359,0.381,0.740,/Record/Player/PitcherDetail/Basic.aspx?playerId=65320,65320,2026,SS
14,최지광,삼성,5.19,12,1,0,1,4,1.000,8 2/3,11,0,3,2,8,7,5,1.62,0,0,0,1,43,155,0.297,2,0,0,1,0,0,0,0,0,1,2,7,0,0,8,11,0.73,0.367,12.9,17.9,8.31,3.12,2.67,0.372,0.351,0.723,/Record/Player/PitcherDetail/Basic.aspx?playerId=67421,67421,2026,SS
15,미야지,삼성,5.40,23,0,1,0,3,0.000,18 1/3,16,3,15,4,12,11,11,1.69,0,0,0,1,88,335,0.235,4,0,1,0,0,3,0,0,0,0,3,6,0,2,17,23,0.74,0.245,14.6,18.3,5.89,7.36,0.80,0.402,0.426,0.828,/Record/Player/PitcherDetail/Basic.aspx?playerId=56415,56415,2026,SS
16,백정현,삼성,6.08,15,2,1,0,3,0.667,13 1/3,12,3,6,0,7,9,9,1.35,0,0,0,0,56,195,0.245,2,0,1,0,0,1,0,0,0,2,2,4,0,1,15,15,1.00,0.231,13.0,14.6,4.73,4.05,1.17,0.327,0.469,0.796,/Record/Player/PitcherDetail/Basic.aspx?playerId=77446,77446,2026,SS
17,이승현,삼성,6.32,21,3,1,1,3,0.750,15 2/3,24,2,7,0,12,13,11,1.98,0,0,0,2,75,300,0.358,3,1,1,0,1,1,0,0,0,3,5,7,0,1,13,18,0.72,0.415,14.3,19.1,6.89,4.02,1.71,0.419,0.522,0.941,/Record/Player/PitcherDetail/Basic.aspx?playerId=60146,60146,2026,SS
18,김무신,삼성,10.80,3,0,0,0,0,-,1 2/3,2,1,3,0,3,2,2,3.00,0,0,0,0,9,46,0.333,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.00,0.500,15.3,27.6,16.20,16.20,1.00,0.556,0.833,1.389,/Record/Player/PitcherDetail/Basic.aspx?playerId=68403,68403,2026,SS
19,육선엽,삼성,11.57,2,0,0,0,0,-,2 1/3,2,1,3,1,3,3,3,2.14,0,0,0,0,13,53,0.286,1,0,1,1,0,2,0,0,0,0,0,0,0,0,2,1,2.00,0.250,26.5,22.7,11.57,11.57,1.00,0.500,0.857,1.357,/Record/Player/PitcherDetail/Basic.aspx?playerId=54404,54404,2026,SS
20,이승현,삼성,14.81,3,0,2,0,0,0.000,10 1/3,19,2,12,1,6,17,17,3.00,0,0,0,0,62,229,0.404,5,0,1,1,0,1,0,3,0,0,0,0,0,0,12,11,1.09,0.425,76.3,22.2,5.23,10.45,0.50,0.525,0.638,1.163,/Record/Player/PitcherDetail/Basic.aspx?playerId=51454,51454,2026,SS
21,정재훈,삼성,20.25,2,0,0,0,0,-,1 1/3,3,1,0,1,1,3,3,2.25,0,0,0,0,7,16,0.500,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,-,0.500,8.0,12.0,6.75,0.00,-,0.571,1.000,1.571,/Record/Player/PitcherDetail/Basic.aspx?playerId=56469,56469,2026,SS
1,김준원,NC,0.00,4,0,0,0,0,-,5 2/3,4,0,2,2,7,2,0,1.06,0,0,0,0,25,105,0.190,0,0,0,0,0,0,0,0,0,0,3,0,0,1,6,4,1.50,0.286,26.3,18.5,11.12,3.18,3.50,0.320,0.190,0.510,/Record/Player/PitcherDetail/Basic.aspx?playerId=54910,54910,2026,NC
1,최요한,NC,0.00,1,0,0,0,0,-,1,0,0,1,0,2,0,0,1.00,0,0,0,0,4,25,0.000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-,0.000,25.0,25.0,18.00,9.00,2.00,0.250,0.000,0.250,/Record/Player/PitcherDetail/Basic.aspx?playerId=56967,56967,2026,NC
1,최우석,NC,0.00,1,0,0,0,0,-,1 1/3,1,0,1,0,0,0,0,1.50,0,0,0,0,6,23,0.200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,-,0.200,23.0,17.3,0.00,6.75,0.00,0.333,0.200,0.533,/Record/Player/PitcherDetail/Basic.aspx?playerId=54903,54903,2026,NC
4,박지한,NC,3.00,2,0,0,0,0,-,3,1,0,3,1,4,1,1,1.33,0,0,0,0,14,61,0.100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,2,1.50,0.167,30.5,20.3,12.00,9.00,1.33,0.357,0.100,0.457,/Record/Player/PitcherDetail/Basic.aspx?playerId=69994,69994,2026,NC
5,원종해,NC,3.24,11,0,0,0,1,-,8 1/3,5,0,3,3,5,3,3,0.96,0,0,0,0,36,143,0.167,0,1,0,0,0,1,0,0,0,0,3,1,0,1,13,7,1.86,0.200,13.0,17.2,5.40,3.24,1.67,0.306,0.233,0.539,/Record/Player/PitcherDetail/Basic.aspx?playerId=54906,54906,2026,NC
6,라일리,NC,3.33,5,2,0,0,0,1.000,27,25,5,5,0,32,11,10,1.11,0,0,1,0,111,470,0.236,2,0,0,0,0,1,0,5,2,0,0,0,0,1,26,23,1.13,0.290,94.0,17.4,10.67,1.67,6.40,0.270,0.396,0.666,/Record/Player/PitcherDetail/Basic.aspx?playerId=55903,55903,2026,NC
7,김태경,NC,3.44,8,0,0,0,0,-,18 1/3,14,2,7,1,17,7,7,1.15,0,0,1,0,73,304,0.226,3,0,2,1,0,2,0,2,0,0,2,0,0,3,20,12,1.67,0.273,38.0,16.6,8.35,3.44,2.43,0.310,0.371,0.681,/Record/Player/PitcherDetail/Basic.aspx?playerId=50992,50992,2026,NC
8,이준혁,NC,3.45,16,0,0,0,1,-,15 2/3,15,0,13,4,13,10,6,1.79,0,0,0,0,81,315,0.246,1,0,2,1,1,2,0,0,0,0,3,1,0,1,24,10,2.40,0.306,19.7,20.1,7.47,7.47,1.00,0.405,0.262,0.667,/Record/Player/PitcherDetail/Basic.aspx?playerId=52992,52992,2026,NC
9,임지민,NC,3.46,28,1,2,1,7,0.333,26,14,4,13,1,27,11,10,1.04,0,0,0,3,103,430,0.159,3,0,0,1,0,2,0,0,0,1,3,12,0,1,24,24,1.00,0.172,15.4,16.5,9.35,4.50,2.08,0.272,0.330,0.602,/Record/Player/PitcherDetail/Basic.aspx?playerId=52902,52902,2026,NC
10,전사민,NC,3.80,23,1,2,3,0,0.333,21 1/3,17,0,8,4,16,11,9,1.17,0,0,0,0,92,331,0.224,3,0,2,2,0,4,0,0,0,1,10,5,1,2,31,14,2.21,0.274,14.4,15.5,6.75,3.38,2.00,0.322,0.263,0.585,/Record/Player/PitcherDetail/Basic.aspx?playerId=69969,69969,2026,NC
11,김영규,NC,3.92,28,1,2,0,2,0.333,20 2/3,23,2,17,1,19,9,9,1.94,0,0,0,0,104,375,0.284,5,0,3,2,2,1,0,0,0,1,2,5,0,0,16,25,0.64,0.339,13.4,18.1,8.27,7.40,1.12,0.406,0.420,0.826,/Record/Player/PitcherDetail/Basic.aspx?playerId=68900,68900,2026,NC
12,구창모,NC,3.99,10,4,2,0,0,0.667,56 1/3,53,7,17,2,45,28,25,1.24,0,0,5,0,238,874,0.245,9,1,3,0,1,4,0,10,4,0,0,0,0,6,69,49,1.41,0.280,87.4,15.5,7.19,2.72,2.65,0.306,0.394,0.700,/Record/Player/PitcherDetail/Basic.aspx?playerId=65933,65933,2026,NC
13,배재환,NC,4.07,31,3,0,0,8,1.000,24 1/3,28,3,9,0,23,14,11,1.52,0,0,0,2,109,421,0.283,4,1,1,0,0,1,0,0,0,3,1,10,0,3,22,26,0.85,0.342,13.6,17.3,8.51,3.33,2.56,0.343,0.434,0.777,/Record/Player/PitcherDetail/Basic.aspx?playerId=64995,64995,2026,NC
14,토다,NC,4.34,9,2,5,0,0,0.286,45 2/3,50,4,17,1,33,24,22,1.47,0,0,3,0,199,724,0.286,8,2,3,3,0,3,0,9,2,0,0,0,0,5,44,51,0.86,0.326,80.4,15.9,6.50,3.35,1.94,0.347,0.423,0.770,/Record/Player/PitcherDetail/Basic.aspx?playerId=56911,56911,2026,NC
15,버하겐,NC,4.68,6,1,1,0,0,0.500,25,23,2,11,1,24,13,13,1.36,0,0,0,0,109,447,0.245,2,1,2,1,0,1,0,6,1,0,0,0,0,1,22,26,0.85,0.304,74.5,17.9,8.64,3.96,2.18,0.327,0.351,0.678,/Record/Player/PitcherDetail/Basic.aspx?playerId=56928,56928,2026,NC
16,신민혁,NC,4.79,8,0,3,0,0,0.000,35 2/3,32,6,13,3,17,21,19,1.26,0,0,0,0,152,596,0.244,9,0,2,3,1,1,0,8,0,0,0,0,0,3,32,53,0.60,0.234,74.5,16.7,4.29,3.28,1.31,0.320,0.450,0.770,/Record/Player/PitcherDetail/Basic.aspx?playerId=68902,68902,2026,NC
17,신영우,NC,5.00,7,1,1,0,0,0.500,9,4,1,12,1,10,6,5,1.78,0,0,0,0,43,165,0.143,1,0,1,1,0,1,0,1,0,1,2,1,0,1,8,7,1.14,0.167,23.6,18.3,10.00,12.00,0.83,0.405,0.286,0.691,/Record/Player/PitcherDetail/Basic.aspx?playerId=53919,53919,2026,NC
18,테일러,NC,5.44,10,4,4,0,0,0.500,49 2/3,48,3,25,5,36,32,30,1.47,0,0,2,0,218,902,0.257,11,1,1,0,0,2,0,10,4,0,0,0,0,6,60,43,1.40,0.304,90.2,18.2,6.52,4.53,1.44,0.359,0.374,0.733,/Record/Player/PitcherDetail/Basic.aspx?playerId=56966,56966,2026,NC
19,김진호,NC,6.38,22,1,2,0,5,0.333,18 1/3,15,2,18,0,16,14,13,1.80,0,0,0,1,88,369,0.221,4,1,1,1,0,4,0,0,0,1,1,6,0,0,16,22,0.73,0.255,16.8,20.1,7.85,8.84,0.89,0.379,0.397,0.776,/Record/Player/PitcherDetail/Basic.aspx?playerId=67954,67954,2026,NC
20,임정호,NC,6.75,15,0,0,0,1,-,9 1/3,10,1,4,0,9,7,7,1.50,0,0,0,0,42,173,0.263,3,0,0,0,0,1,0,0,0,0,2,3,0,1,8,11,0.73,0.321,11.5,18.5,8.68,3.86,2.25,0.333,0.421,0.754,/Record/Player/PitcherDetail/Basic.aspx?playerId=63959,63959,2026,NC
21,목지훈,NC,8.64,5,0,1,0,0,0.000,8 1/3,12,3,8,1,6,9,8,2.40,0,0,0,0,44,165,0.343,0,0,0,0,0,0,0,1,0,0,2,0,0,1,9,8,1.13,0.346,33.0,19.8,6.48,8.64,0.75,0.477,0.600,1.077,/Record/Player/PitcherDetail/Basic.aspx?playerId=53973,53973,2026,NC
22,류진욱,NC,8.82,19,1,4,3,0,0.200,16 1/3,21,4,7,4,19,16,16,1.71,0,0,0,2,80,341,0.309,5,1,1,0,0,0,0,0,0,1,12,5,0,1,17,11,1.55,0.378,17.9,20.9,10.47,3.86,2.71,0.405,0.588,0.993,/Record/Player/PitcherDetail/Basic.aspx?playerId=65949,65949,2026,NC
23,하준영,NC,9.82,4,0,0,0,0,-,3 2/3,4,1,3,0,5,4,4,1.91,0,0,0,0,17,76,0.286,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,4,0.25,0.375,19.0,20.7,12.27,7.36,1.67,0.412,0.500,0.912,/Record/Player/PitcherDetail/Basic.aspx?playerId=68639,68639,2026,NC
24,손주환,NC,12.91,9,0,0,0,0,-,7 2/3,14,2,8,0,10,15,11,2.87,0,0,0,0,46,203,0.378,2,0,0,1,1,1,0,0,0,0,1,0,0,0,6,8,0.75,0.462,22.6,26.5,11.74,9.39,1.25,0.478,0.595,1.073,/Record/Player/PitcherDetail/Basic.aspx?playerId=54904,54904,2026,NC
1,김정운,KT,1.80,4,0,0,0,0,-,5,5,1,3,0,3,1,1,1.60,0,0,0,0,22,101,0.263,1,0,0,0,0,0,0,0,0,0,1,0,0,1,5,6,0.83,0.267,25.3,20.2,5.40,5.40,1.00,0.364,0.474,0.838,/Record/Player/PitcherDetail/Basic.aspx?playerId=53029,53029,2026,KT
2,손동현,KT,2.59,24,3,0,0,2,1.000,24 1/3,18,2,11,2,19,7,7,1.19,0,0,0,1,100,399,0.214,2,0,1,2,1,0,0,0,0,3,5,5,0,3,16,33,0.48,0.246,16.6,16.4,7.03,4.07,1.73,0.313,0.310,0.623,/Record/Player/PitcherDetail/Basic.aspx?playerId=69041,69041,2026,KT
3,박영현,KT,2.96,21,3,0,11,0,1.000,24 1/3,20,1,11,0,24,8,8,1.27,0,0,0,2,104,438,0.225,3,0,1,3,1,2,0,0,0,3,15,13,1,0,16,32,0.50,0.284,20.9,18.0,8.88,4.07,2.18,0.301,0.292,0.593,/Record/Player/PitcherDetail/Basic.aspx?playerId=52060,52060,2026,KT
4,보쉴리,KT,3.16,11,7,3,0,0,0.700,62 2/3,68,3,15,1,56,23,22,1.32,0,0,5,0,268,1000,0.272,10,1,2,0,0,2,0,11,7,0,0,0,0,5,68,58,1.17,0.340,90.9,16.0,8.04,2.15,3.73,0.316,0.356,0.672,/Record/Player/PitcherDetail/Basic.aspx?playerId=56036,56036,2026,KT
5,주권,KT,3.52,20,1,0,0,0,1.000,23,22,1,9,2,5,11,9,1.35,0,0,0,0,94,333,0.272,1,1,2,0,1,1,0,0,0,1,11,0,0,8,43,11,3.91,0.280,16.7,14.5,1.96,3.52,0.56,0.359,0.346,0.705,/Record/Player/PitcherDetail/Basic.aspx?playerId=65060,65060,2026,KT
6,소형준,KT,3.69,7,3,0,0,0,1.000,39,43,2,9,3,37,19,16,1.33,0,0,4,0,168,652,0.283,11,0,2,2,1,0,0,7,3,0,0,0,0,6,55,19,2.89,0.357,93.1,16.7,8.54,2.08,4.11,0.331,0.395,0.726,/Record/Player/PitcherDetail/Basic.aspx?playerId=50030,50030,2026,KT
7,우규민,KT,3.71,20,0,0,0,1,-,17,22,3,2,1,7,8,7,1.41,0,0,0,0,74,262,0.319,3,0,1,1,0,0,0,0,0,0,9,1,0,2,22,19,1.16,0.317,13.1,15.4,3.71,1.06,3.50,0.342,0.493,0.835,/Record/Player/PitcherDetail/Basic.aspx?playerId=73117,73117,2026,KT
8,전용주,KT,4.43,26,2,2,0,3,0.500,20 1/3,14,0,16,2,16,10,10,1.48,0,0,0,1,91,325,0.197,3,0,1,1,2,1,0,0,0,2,3,5,0,2,24,18,1.33,0.250,12.5,16.0,7.08,7.08,1.00,0.356,0.239,0.595,/Record/Player/PitcherDetail/Basic.aspx?playerId=69047,69047,2026,KT
9,사우어,KT,4.43,11,4,2,0,0,0.667,63,59,7,27,8,50,31,31,1.37,0,0,5,0,275,1066,0.250,11,4,0,4,1,8,0,11,4,0,0,0,0,7,55,76,0.72,0.284,96.9,16.9,7.14,3.86,1.85,0.342,0.419,0.761,/Record/Player/PitcherDetail/Basic.aspx?playerId=56032,56032,2026,KT
10,오원석,KT,4.56,10,4,3,0,0,0.571,53 1/3,62,4,11,0,46,30,27,1.37,0,0,4,0,226,897,0.291,9,0,0,2,0,2,0,10,4,0,0,0,0,5,63,44,1.43,0.352,89.7,16.8,7.76,1.86,4.18,0.323,0.390,0.713,/Record/Player/PitcherDetail/Basic.aspx?playerId=50859,50859,2026,KT
11,한승혁,KT,4.62,28,1,1,0,9,0.500,25 1/3,25,2,15,0,31,15,13,1.58,0,0,0,2,115,435,0.255,3,1,2,0,1,2,0,0,0,1,3,13,0,3,26,16,1.63,0.354,15.5,17.2,11.01,5.33,2.07,0.354,0.367,0.721,/Record/Player/PitcherDetail/Basic.aspx?playerId=61666,61666,2026,KT
12,김민수,KT,4.97,23,2,2,1,2,0.500,25 1/3,23,4,7,1,21,15,14,1.18,0,0,0,1,106,364,0.242,4,0,3,0,2,1,0,0,0,2,4,6,0,1,30,21,1.43,0.271,15.8,14.4,7.46,2.49,3.00,0.301,0.411,0.712,/Record/Player/PitcherDetail/Basic.aspx?playerId=65048,65048,2026,KT
13,고영표,KT,5.07,10,2,4,0,0,0.333,55,64,7,10,5,64,32,31,1.35,0,0,4,0,240,908,0.288,10,0,3,0,0,0,0,10,2,0,0,0,0,1,51,43,1.19,0.377,90.8,16.5,10.47,1.64,6.40,0.333,0.428,0.761,/Record/Player/PitcherDetail/Basic.aspx?playerId=64001,64001,2026,KT
14,스기모토,KT,6.48,29,0,1,0,6,0.000,25,38,3,4,3,21,24,18,1.68,0,0,0,1,122,448,0.333,6,0,0,1,0,2,0,0,0,0,2,10,0,1,26,30,0.87,0.385,15.4,17.9,7.56,1.44,5.25,0.369,0.465,0.834,/Record/Player/PitcherDetail/Basic.aspx?playerId=56011,56011,2026,KT
15,배제성,KT,7.71,3,0,2,0,0,0.000,9 1/3,11,1,6,1,6,8,8,1.82,0,0,0,0,46,175,0.282,1,0,0,0,0,1,0,3,0,0,0,0,0,0,10,12,0.83,0.313,58.3,18.8,5.79,5.79,1.00,0.391,0.385,0.776,/Record/Player/PitcherDetail/Basic.aspx?playerId=65516,65516,2026,KT
16,문용익,KT,16.88,2,0,0,0,0,-,2 2/3,5,0,5,0,2,5,5,3.75,0,0,0,0,18,77,0.417,2,0,0,1,0,1,0,1,0,0,0,0,0,0,4,2,2.00,0.455,38.5,28.9,6.75,16.88,0.40,0.556,0.583,1.139,/Record/Player/PitcherDetail/Basic.aspx?playerId=67419,67419,2026,KT
17,임준형,KT,18.00,1,0,0,0,0,-,1,4,0,0,0,1,2,2,4.00,0,0,0,0,7,19,0.667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0.800,19.0,19.0,9.00,0.00,-,0.667,1.000,1.667,/Record/Player/PitcherDetail/Basic.aspx?playerId=69113,69113,2026,KT
18,박지훈,KT,81.00,1,0,0,0,0,-,2/3,2,1,2,2,2,6,6,6.00,0,0,0,0,8,37,0.500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,1.000,37.0,55.5,27.00,27.00,1.00,0.750,1.250,2.000,/Record/Player/PitcherDetail/Basic.aspx?playerId=56066,56066,2026,KT
1,이영재,롯데,0.00,1,0,0,0,0,-,2/3,0,0,0,0,1,0,0,0.00,0,0,0,0,2,11,0.000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.00,0.000,11.0,16.5,13.50,0.00,-,0.000,0.000,0.000,/Record/Player/PitcherDetail/Basic.aspx?playerId=55503,55503,2026,LT
2,현도훈,롯데,1.69,18,2,2,0,2,0.500,21 1/3,14,1,11,1,16,7,4,1.17,0,0,0,1,86,352,0.200,1,0,3,1,2,0,0,0,0,2,3,5,0,4,27,14,1.93,0.241,19.6,16.5,6.75,4.64,1.45,0.313,0.257,0.570,/Record/Player/PitcherDetail/Basic.aspx?playerId=68260,68260,2026,LT
3,정현수,롯데,2.25,8,0,0,0,0,-,4,4,0,2,0,3,1,1,1.50,0,0,0,0,18,79,0.267,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,8,0.13,0.308,9.9,19.8,6.75,4.50,1.50,0.333,0.333,0.666,/Record/Player/PitcherDetail/Basic.aspx?playerId=54537,54537,2026,LT
4,최준용,롯데,2.78,21,3,1,8,1,0.750,22 2/3,13,1,12,2,22,7,7,1.10,0,0,0,2,94,359,0.165,2,1,0,1,0,3,0,0,0,3,15,13,1,2,17,28,0.61,0.211,17.1,15.8,8.74,4.76,1.83,0.287,0.253,0.540,/Record/Player/PitcherDetail/Basic.aspx?playerId=50556,50556,2026,LT
5,김진욱,롯데,3.38,10,2,3,0,0,0.400,58 2/3,53,7,17,1,48,29,22,1.19,0,0,5,0,247,953,0.238,7,0,5,1,0,1,0,10,2,0,0,0,0,2,63,60,1.05,0.272,95.3,16.2,7.36,2.61,2.82,0.293,0.363,0.656,/Record/Player/PitcherDetail/Basic.aspx?playerId=51516,51516,2026,LT
5,이승헌,롯데,3.38,3,0,0,0,0,-,2 2/3,4,0,1,0,1,1,1,1.88,0,0,0,0,13,42,0.333,1,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,-,0.364,14.0,15.8,3.38,3.38,1.00,0.385,0.417,0.802,/Record/Player/PitcherDetail/Basic.aspx?playerId=68529,68529,2026,LT
7,나균안,롯데,3.45,10,2,5,0,0,0.286,57 1/3,59,7,18,2,48,26,22,1.34,0,0,4,0,247,947,0.268,12,0,4,3,1,2,0,10,2,0,0,0,0,3,51,65,0.78,0.310,94.7,16.5,7.53,2.83,2.67,0.325,0.418,0.743,/Record/Player/PitcherDetail/Basic.aspx?playerId=67539,67539,2026,LT
