순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO,BABIP,P/G,P/IP,K/9,BB/9,K/BB,OBP,SLG,OPS,player_link,player_id,season_year,team_code
13,송승기,LG,4.18,10,3,1,0,0,0.750,47 1/3,52,5,14,0,40,25,22,1.39,0,0,1,0,209,882,0.271,7,1,1,2,0,4,0,10,3,0,0,0,0,2,43,59,0.73,0.315,88.2,18.6,7.61,2.66,2.86,0.317,0.396,0.713,/Record/Player/PitcherDetail/Basic.aspx?playerId=51111,51111,2026,LG
14,임찬규,LG,4.31,10,4,1,0,0,0.800,54 1/3,70,5,16,1,29,27,26,1.58,0,0,3,0,240,906,0.320,13,0,2,2,0,1,0,10,4,0,0,0,0,4,56,66,0.85,0.348,90.6,16.7,4.80,2.65,1.81,0.366,0.447,0.813,/Record/Player/PitcherDetail/Basic.aspx?playerId=61101,61101,2026,LG
15,박시원,LG,4.32,8,0,1,0,0,0.000,8 1/3,9,0,3,1,1,5,4,1.44,0,0,0,0,38,137,0.273,0,0,1,0,0,3,0,0,0,0,5,0,0,0,14,9,1.56,0.281,17.1,16.4,1.08,3.24,0.33,0.351,0.273,0.624,/Record/Player/PitcherDetail/Basic.aspx?playerId=55121,55121,2026,LG
16,우강훈,LG,4.98,26,0,1,0,12,0.000,21 2/3,20,1,8,3,23,16,12,1.29,0,0,0,2,96,365,0.235,3,1,0,0,0,1,0,0,0,0,0,18,0,2,24,18,1.33,0.311,14.0,16.8,9.55,3.32,2.88,0.323,0.329,0.652,/Record/Player/PitcherDetail/Basic.aspx?playerId=51526,51526,2026,LG
17,이정용,LG,5.65,14,0,1,0,1,0.000,28 2/3,42,2,11,2,16,21,18,1.85,0,0,0,0,140,497,0.339,5,1,1,2,0,1,0,5,0,0,2,2,0,0,37,31,1.19,0.370,35.5,17.3,5.02,3.45,1.45,0.396,0.444,0.840,/Record/Player/PitcherDetail/Basic.aspx?playerId=69134,69134,2026,LG
18,장현식,LG,5.85,21,4,2,2,7,0.667,20,22,4,8,1,18,13,13,1.50,0,0,0,3,88,361,0.278,1,0,0,0,1,2,0,0,0,4,3,10,0,3,22,17,1.29,0.316,17.2,18.1,8.10,3.60,2.25,0.352,0.443,0.795,/Record/Player/PitcherDetail/Basic.aspx?playerId=63950,63950,2026,LG
19,함덕주,LG,6.32,20,2,1,1,3,0.667,15 2/3,22,3,6,0,9,11,11,1.79,0,0,0,1,74,332,0.324,1,0,0,0,0,0,0,0,0,2,2,6,0,0,13,24,0.54,0.339,16.6,21.2,5.17,3.45,1.50,0.378,0.471,0.849,/Record/Player/PitcherDetail/Basic.aspx?playerId=63248,63248,2026,LG
20,치리노스,LG,6.68,8,2,3,0,0,0.400,33 2/3,47,4,14,4,28,26,25,1.81,0,0,0,0,164,648,0.331,8,0,3,1,0,1,0,8,2,0,0,0,0,5,43,25,1.72,0.387,81.0,19.2,7.49,3.74,2.00,0.404,0.472,0.876,/Record/Player/PitcherDetail/Basic.aspx?playerId=55146,55146,2026,LG
21,조건희,LG,9.00,2,0,0,0,0,-,2,4,1,2,0,1,2,2,3.00,0,0,0,0,12,47,0.400,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,3,0.67,0.375,23.5,23.5,4.50,9.00,0.50,0.500,0.700,1.200,/Record/Player/PitcherDetail/Basic.aspx?playerId=51163,51163,2026,LG
22,배재준,LG,10.64,13,1,1,0,2,0.500,11,18,2,10,1,12,13,13,2.55,0,0,0,1,59,244,0.383,2,0,0,1,0,2,0,0,0,1,1,4,0,2,7,11,0.64,0.471,18.8,22.2,9.82,8.18,1.20,0.492,0.553,1.045,/Record/Player/PitcherDetail/Basic.aspx?playerId=63145,63145,2026,LG
23,성동현,LG,11.12,5,0,0,0,0,-,5 2/3,10,2,4,1,5,8,7,2.47,0,0,0,0,33,126,0.357,0,0,0,0,0,0,0,0,0,0,4,0,0,0,6,7,0.86,0.381,25.2,22.2,7.94,6.35,1.25,0.455,0.571,1.026,/Record/Player/PitcherDetail/Basic.aspx?playerId=68159,68159,2026,LG
24,백승현,LG,11.81,6,0,0,0,0,-,5 1/3,6,2,4,0,6,7,7,1.88,0,0,0,0,25,108,0.286,0,0,0,0,0,2,0,0,0,0,1,0,0,1,5,4,1.25,0.308,18.0,20.3,10.13,6.75,1.50,0.400,0.571,0.971,/Record/Player/PitcherDetail/Basic.aspx?playerId=65109,65109,2026,LG
25,이상영,LG,13.50,1,0,1,0,0,0.000,3 1/3,9,0,2,0,0,5,5,3.30,0,0,0,0,18,58,0.563,2,0,0,0,0,0,0,1,0,0,0,0,0,2,5,2,2.50,0.563,58.0,17.4,0.00,5.40,0.00,0.611,0.688,1.299,/Record/Player/PitcherDetail/Basic.aspx?playerId=69168,69168,2026,LG
1,이교훈,한화,0.00,1,0,0,0,0,-,1/3,1,0,1,0,1,2,0,6.00,0,0,0,0,3,11,0.500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1.000,11.0,33.0,27.00,27.00,1.00,0.667,0.500,1.167,/Record/Player/PitcherDetail/Basic.aspx?playerId=69205,69205,2026,HH
2,이민우,한화,2.25,20,0,2,4,4,0.000,24,22,1,6,3,10,6,6,1.17,0,0,0,0,101,378,0.253,2,0,1,4,0,0,0,0,0,0,6,6,1,1,32,27,1.19,0.263,18.9,15.8,3.75,2.25,1.67,0.310,0.310,0.620,/Record/Player/PitcherDetail/Basic.aspx?playerId=65616,65616,2026,HH
3,이상규,한화,2.86,18,1,0,0,4,1.000,22,19,2,8,2,17,11,7,1.23,0,0,0,0,96,344,0.229,0,0,3,0,0,1,0,0,0,1,2,5,0,1,25,22,1.14,0.266,19.1,15.6,6.95,3.27,2.13,0.312,0.301,0.613,/Record/Player/PitcherDetail/Basic.aspx?playerId=65117,65117,2026,HH
4,화이트,한화,3.05,4,2,1,0,0,0.667,20 2/3,17,1,4,1,15,7,7,1.02,0,0,2,0,83,323,0.224,5,1,1,1,0,1,0,4,2,0,0,0,0,2,25,20,1.25,0.262,80.8,15.6,6.53,1.74,3.75,0.268,0.355,0.623,/Record/Player/PitcherDetail/Basic.aspx?playerId=56724,56724,2026,HH
5,왕옌청,한화,3.24,11,5,2,0,0,0.714,58 1/3,58,4,24,4,50,29,21,1.41,0,0,4,0,253,981,0.259,8,0,1,0,0,3,0,11,5,0,0,0,0,7,76,40,1.90,0.318,89.2,16.8,7.71,3.70,2.08,0.341,0.348,0.689,/Record/Player/PitcherDetail/Basic.aspx?playerId=56719,56719,2026,HH
6,류현진,한화,3.28,10,6,2,0,0,0.750,57 2/3,52,4,9,2,49,25,21,1.06,0,0,4,0,232,890,0.243,11,1,5,2,1,1,0,10,6,0,0,0,0,4,53,62,0.85,0.294,89.0,15.4,7.65,1.40,5.44,0.278,0.360,0.638,/Record/Player/PitcherDetail/Basic.aspx?playerId=76715,76715,2026,HH
7,박준영,한화,3.55,4,1,0,0,1,1.000,12 2/3,12,3,5,1,10,5,5,1.34,0,0,0,0,54,219,0.255,4,0,0,1,0,1,0,2,1,0,0,0,0,2,12,14,0.86,0.257,54.8,17.3,7.11,3.55,2.00,0.333,0.532,0.865,/Record/Player/PitcherDetail/Basic.aspx?playerId=56709,56709,2026,HH
8,조동욱,한화,4.29,26,1,1,0,6,0.500,21,23,0,10,2,19,10,10,1.57,0,0,0,1,93,320,0.291,2,1,2,0,0,1,0,0,0,1,2,3,0,2,15,22,0.68,0.383,12.3,15.2,8.14,4.29,1.90,0.385,0.342,0.727,/Record/Player/PitcherDetail/Basic.aspx?playerId=54768,54768,2026,HH
9,박준영,한화,4.42,15,1,0,0,0,1.000,18 1/3,14,1,18,3,17,10,9,1.75,0,0,0,0,85,367,0.230,3,2,1,2,0,0,0,1,0,1,6,1,0,3,16,16,1.00,0.289,24.5,20.0,8.35,8.84,0.94,0.417,0.393,0.810,/Record/Player/PitcherDetail/Basic.aspx?playerId=52731,52731,2026,HH
10,에르난데스,한화,4.47,10,3,3,0,0,0.500,48 1/3,51,3,21,1,36,26,24,1.49,0,0,3,0,208,827,0.277,9,0,2,0,0,1,0,10,3,0,0,0,0,7,39,58,0.67,0.331,82.7,17.1,6.70,3.91,1.71,0.354,0.375,0.729,/Record/Player/PitcherDetail/Basic.aspx?playerId=56712,56712,2026,HH
11,쿠싱,한화,4.79,16,1,2,4,0,0.333,20 2/3,20,3,6,0,26,11,11,1.26,0,0,0,1,88,334,0.247,2,0,1,0,0,0,0,1,0,1,15,5,0,2,20,15,1.33,0.327,20.9,16.2,11.32,2.61,4.33,0.299,0.383,0.682,/Record/Player/PitcherDetail/Basic.aspx?playerId=56760,56760,2026,HH
12,권민규,한화,4.82,9,1,0,0,0,1.000,9 1/3,13,1,4,0,7,5,5,1.82,0,0,0,0,43,173,0.342,2,1,0,1,0,0,0,0,0,1,3,0,0,2,8,11,0.73,0.387,19.2,18.5,6.75,3.86,1.75,0.395,0.526,0.921,/Record/Player/PitcherDetail/Basic.aspx?playerId=55764,55764,2026,HH
13,김종수,한화,5.09,23,0,1,0,4,0.000,17 2/3,20,3,10,2,15,10,10,1.70,0,0,0,1,83,300,0.290,0,2,0,2,0,0,0,0,0,0,1,4,0,2,19,17,1.12,0.321,13.0,17.0,7.64,5.09,1.50,0.386,0.478,0.864,/Record/Player/PitcherDetail/Basic.aspx?playerId=63765,63765,2026,HH
14,문동주,한화,5.18,6,1,1,0,0,0.500,24 1/3,27,3,11,3,18,16,14,1.56,0,0,1,0,110,442,0.281,6,1,0,0,0,2,0,6,1,0,0,0,0,3,29,22,1.32,0.320,73.7,18.2,6.66,4.07,1.64,0.373,0.458,0.831,/Record/Player/PitcherDetail/Basic.aspx?playerId=52701,52701,2026,HH
15,황준서,한화,6.28,7,1,2,0,0,0.333,14 1/3,15,2,12,0,17,11,10,1.88,0,0,0,0,70,288,0.278,1,0,3,1,0,0,0,3,0,1,1,0,0,1,10,13,0.77,0.361,41.1,20.1,10.67,7.53,1.42,0.403,0.407,0.810,/Record/Player/PitcherDetail/Basic.aspx?playerId=54729,54729,2026,HH
16,강재민,한화,6.75,3,0,0,0,0,-,2 2/3,4,0,3,2,1,2,2,2.63,0,0,0,0,17,60,0.364,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,5,0.20,0.400,20.0,22.5,3.38,10.13,0.33,0.563,0.364,0.927,/Record/Player/PitcherDetail/Basic.aspx?playerId=50705,50705,2026,HH
17,윤산흠,한화,7.00,19,1,1,0,2,0.500,18,18,3,11,1,14,17,14,1.61,0,0,0,1,84,343,0.257,4,0,1,1,0,0,0,0,0,1,0,4,0,4,25,14,1.79,0.278,18.1,19.1,7.00,5.50,1.27,0.361,0.443,0.804,/Record/Player/PitcherDetail/Basic.aspx?playerId=69213,69213,2026,HH
18,정우주,한화,7.33,23,0,2,0,5,0.000,23 1/3,27,3,21,5,29,22,19,2.06,0,0,0,1,121,542,0.290,6,0,0,2,0,5,0,3,0,0,1,5,0,2,12,27,0.44,0.381,23.6,23.2,11.19,8.10,1.38,0.438,0.452,0.890,/Record/Player/PitcherDetail/Basic.aspx?playerId=55743,55743,2026,HH
19,강건우,한화,7.94,9,0,0,0,0,-,11 1/3,20,2,11,1,10,11,10,2.74,0,0,0,0,67,242,0.364,0,0,0,0,0,0,0,1,0,0,2,0,0,1,8,17,0.47,0.419,26.9,21.4,7.94,8.74,0.91,0.478,0.473,0.951,/Record/Player/PitcherDetail/Basic.aspx?playerId=56769,56769,2026,HH
20,박상원,한화,8.47,21,0,2,1,6,0.000,17,25,2,8,1,17,16,16,1.94,0,0,0,1,84,321,0.338,5,0,0,1,0,0,0,0,0,0,2,8,0,0,18,15,1.20,0.411,15.3,18.9,9.00,4.24,2.13,0.405,0.486,0.891,/Record/Player/PitcherDetail/Basic.aspx?playerId=67703,67703,2026,HH
21,박재규,한화,9.00,2,0,0,0,0,-,1,1,0,1,0,0,1,1,2.00,0,0,0,0,5,23,0.333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,-,0.333,11.5,23.0,0.00,9.00,0.00,0.500,0.333,0.833,/Record/Player/PitcherDetail/Basic.aspx?playerId=53706,53706,2026,HH
22,원종혁,한화,10.50,9,1,0,0,0,1.000,6,13,1,7,0,3,8,7,3.33,0,0,0,0,38,144,0.433,2,0,1,0,0,0,0,0,0,1,4,0,0,0,3,11,0.27,0.462,16.0,24.0,4.50,10.50,0.43,0.541,0.600,1.141,/Record/Player/PitcherDetail/Basic.aspx?playerId=54702,54702,2026,HH
23,김서현,한화,12.38,12,1,2,1,0,0.333,8,9,1,15,4,5,12,11,3.00,0,0,0,1,52,210,0.281,1,0,1,0,0,1,0,0,0,1,5,2,0,0,11,7,1.57,0.308,17.5,26.3,5.63,16.88,0.33,0.549,0.406,0.955,/Record/Player/PitcherDetail/Basic.aspx?playerId=53754,53754,2026,HH
24,김범준,한화,13.50,1,0,0,0,0,-,2/3,2,0,0,0,0,1,1,3.00,0,0,0,0,4,14,0.667,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-,0.667,14.0,21.0,0.00,0.00,-,0.667,1.333,2.000,/Record/Player/PitcherDetail/Basic.aspx?playerId=50710,50710,2026,HH
25,주현상,한화,15.43,3,0,0,0,0,-,2 1/3,7,1,2,0,1,9,4,3.86,0,0,0,0,17,61,0.500,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,0.40,0.462,20.3,26.1,3.86,7.71,0.50,0.529,0.786,1.315,/Record/Player/PitcherDetail/Basic.aspx?playerId=65707,65707,2026,HH
26,김도빈,한화,24.75,6,0,1,0,1,0.000,4,3,0,10,2,6,11,11,3.25,0,0,0,0,27,121,0.214,2,1,0,1,0,3,0,0,0,0,1,0,0,0,4,2,2.00,0.333,20.2,30.3,13.50,22.50,0.60,0.556,0.500,1.056,/Record/Player/PitcherDetail/Basic.aspx?playerId=54705,54705,2026,HH
27,엄상백,한화,27.00,1,0,0,0,0,-,1/3,2,0,0,1,0,1,1,6.00,0,0,0,0,4,13,0.667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00,0.667,13.0,39.0,0.00,0.00,-,0.750,1.333,2.083,/Record/Player/PitcherDetail/Basic.aspx?playerId=65056,65056,2026,HH
1,최용준,SSG,0.00,3,0,0,0,0,-,2 2/3,0,0,2,0,1,0,0,0.75,0,0,0,0,9,40,0.000,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,3,1.00,0.000,13.3,15.0,3.38,6.75,0.50,0.222,0.000,0.222,/Record/Player/PitcherDetail/Basic.aspx?playerId=50650,50650,2026,SK
2,문승원,SSG,0.96,22,2,0,0,5,1.000,28,14,0,10,3,16,7,3,0.86,0,0,0,0,111,463,0.146,2,0,1,1,1,0,0,0,0,2,2,3,0,0,35,32,1.09,0.173,21.0,16.5,5.14,3.21,1.60,0.245,0.167,0.412,/Record/Player/PitcherDetail/Basic.aspx?playerId=62869,62869,2026,SK
3,이건욱,SSG,2.84,4,0,0,0,0,-,6 1/3,4,1,2,0,6,2,2,0.95,0,0,0,0,24,86,0.182,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,5,1.40,0.200,21.5,13.6,8.53,2.84,3.00,0.250,0.364,0.614,/Record/Player/PitcherDetail/Basic.aspx?playerId=64861,64861,2026,SK
