순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,player_link,player_id,season_year,team_code
65,안익훈,LG,좌익수,3,0,6,0,0,1,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65115,65115,2022,LG
65,이재원,LG,중견수,3,0,6,0,0,4,1,1,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68106,68106,2022,LG
65,이천웅,LG,중견수,3,0,5,0,0,3,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=61186,61186,2022,LG
65,이형종,LG,1루수,3,1,12,0,0,11,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=78135,78135,2022,LG
65,채원후,LG,투수,3,0,3,0,0,0,2,1,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65241,65241,2022,LG
65,최민창,LG,좌익수,3,0,8,0,0,2,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65157,65157,2022,LG
65,한석현,LG,중견수,3,0,10,0,0,2,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=64101,64101,2022,LG
75,가르시아,LG,유격수,2,1,6,0,0,0,3,2,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=52125,52125,2022,LG
75,김영준,LG,투수,2,2,9 2/3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68130,68130,2022,LG
75,손호영,LG,1루수,2,0,4,0,0,5,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50150,50150,2022,LG
75,조원태,LG,투수,2,0,4,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=52149,52149,2022,LG
75,한석현,LG,우익수,2,1,12,0,0,3,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=64101,64101,2022,LG
80,강효종,LG,투수,1,1,5,0,0,0,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51143,51143,2022,LG
80,김주완,LG,투수,1,0,1,0,0,0,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=52140,52140,2022,LG
80,김호은,LG,1루수,1,0,3,0,0,2,0,1,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=66113,66113,2022,LG
80,문성주,LG,중견수,1,0,1,0,0,1,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68119,68119,2022,LG
80,박재욱,LG,포수,1,0,1,0,0,1,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=64100,64100,2022,LG
80,박해민,LG,1루수,1,0,1,0,0,1,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=62415,62415,2022,LG
80,신민재,LG,2루수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2022,LG
80,이영빈,LG,우익수,1,0,1,0,0,2,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2022,LG
80,최민창,LG,중견수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65157,65157,2022,LG
80,최민창,LG,우익수,1,0,4,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65157,65157,2022,LG
80,한석현,LG,좌익수,1,0,5,0,0,2,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=64101,64101,2022,LG
1,박해민,LG,중견수,142,136,1187 2/3,3,0,338,2,1,0.991,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=62415,62415,2023,LG
2,문보경,LG,3루수,128,126,1090 2/3,20,0,104,183,24,0.935,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69102,69102,2023,LG
2,박동원,LG,포수,128,112,982,8,4,751,72,9,0.990,8,83,19,18.6,/Record/Player/HitterDetail/Basic.aspx?playerId=79365,79365,2023,LG
4,오지환,LG,유격수,125,115,1010 2/3,14,0,176,275,64,0.970,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=79109,79109,2023,LG
5,오스틴,LG,1루수,114,113,930 1/3,14,0,832,72,88,0.985,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=53123,53123,2023,LG
6,홍창기,LG,우익수,104,97,841 2/3,2,0,198,7,3,0.990,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66108,66108,2023,LG
7,신민재,LG,2루수,89,76,689 1/3,9,0,162,231,57,0.978,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2023,LG
8,문성주,LG,좌익수,85,63,602 2/3,1,0,162,1,0,0.994,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68119,68119,2023,LG
9,김진성,LG,투수,80,0,70 1/3,0,0,1,6,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=75867,75867,2023,LG
10,유영찬,LG,투수,67,0,68,1,0,7,11,2,0.947,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50106,50106,2023,LG
11,정우영,LG,투수,60,0,51 2/3,0,0,3,7,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69159,69159,2023,LG
12,박명근,LG,투수,57,1,51 1/3,0,0,2,4,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=53139,53139,2023,LG
12,함덕주,LG,투수,57,0,55 2/3,0,0,1,8,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=63248,63248,2023,LG
14,문성주,LG,우익수,56,43,386 2/3,2,0,97,4,0,0.981,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68119,68119,2023,LG
15,정주현,LG,1루수,47,1,100,1,0,86,10,12,0.990,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=79150,79150,2023,LG
16,김민성,LG,2루수,45,37,280,1,0,68,79,17,0.993,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=77564,77564,2023,LG
16,최동환,LG,투수,45,0,42 1/3,0,0,1,5,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=79140,79140,2023,LG
16,허도환,LG,포수,45,21,212,0,0,168,8,2,1.000,0,20,3,13.0,/Record/Retire/Hitter.aspx?playerId=77243,77243,2023,LG
19,고우석,LG,투수,44,0,44,1,0,3,5,1,0.889,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=67119,67119,2023,LG
20,백승현,LG,투수,42,0,40,0,0,1,3,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65109,65109,2023,LG
21,이우찬,LG,투수,38,0,38 1/3,0,1,2,13,1,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=61145,61145,2023,LG
22,이정용,LG,투수,37,13,86 2/3,1,0,3,8,0,0.917,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69134,69134,2023,LG
23,이재원,LG,좌익수,36,25,180 1/3,1,0,50,2,0,0.981,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68106,68106,2023,LG
24,서건창,LG,2루수,35,25,237,9,0,53,61,14,0.927,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=78168,78168,2023,LG
25,임찬규,LG,투수,30,26,144 2/3,2,1,7,18,2,0.926,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=61101,61101,2023,LG
25,켈리,LG,투수,30,30,178 2/3,2,1,10,23,2,0.943,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=69103,69103,2023,LG
27,김기연,LG,포수,27,11,96 1/3,4,0,85,7,1,0.958,2,11,3,21.4,/Record/Player/HitterDetail/Basic.aspx?playerId=66112,66112,2023,LG
27,김민성,LG,3루수,27,14,135,1,0,14,27,4,0.976,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=77564,77564,2023,LG
27,김민성,LG,1루수,27,10,105 2/3,2,0,85,10,9,0.979,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=77564,77564,2023,LG
27,김현수,LG,좌익수,27,26,204 2/3,0,0,45,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=76290,76290,2023,LG
27,홍창기,LG,좌익수,27,27,228,0,0,64,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66108,66108,2023,LG
32,최원태,LG,투수,26,26,146 2/3,2,0,10,23,1,0.943,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65320,65320,2023,LG
33,이지강,LG,투수,22,12,68,1,0,3,11,0,0.933,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69108,69108,2023,LG
34,김민성,LG,유격수,21,18,145,4,0,34,40,9,0.949,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=77564,77564,2023,LG
34,플럿코,LG,투수,21,21,123 1/3,0,0,9,10,1,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=52145,52145,2023,LG
36,진해수,LG,투수,19,0,14 2/3,0,0,2,4,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=76650,76650,2023,LG
37,정주현,LG,2루수,18,4,57,4,0,12,16,6,0.875,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=79150,79150,2023,LG
38,김윤식,LG,투수,17,16,74 2/3,0,0,4,7,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50157,50157,2023,LG
39,정주현,LG,3루수,16,3,58 2/3,4,0,5,12,2,0.810,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=79150,79150,2023,LG
40,손호영,LG,유격수,13,7,66 2/3,4,0,19,18,8,0.902,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50150,50150,2023,LG
41,최승민,LG,중견수,12,1,35,0,0,13,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65905,65905,2023,LG
41,홍창기,LG,중견수,12,6,53 2/3,0,0,14,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66108,66108,2023,LG
43,정주현,LG,유격수,11,4,47,1,0,10,9,1,0.950,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=79150,79150,2023,LG
44,김현수,LG,1루수,10,10,68 1/3,2,0,53,11,5,0.970,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=76290,76290,2023,LG
44,신민재,LG,좌익수,10,0,19 2/3,0,0,4,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2023,LG
46,오석주,LG,투수,9,0,10,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=67116,67116,2023,LG
47,안익훈,LG,우익수,8,2,30 1/3,0,0,7,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65115,65115,2023,LG
47,이상규,LG,투수,8,0,7 2/3,0,0,0,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65117,65117,2023,LG
47,최승민,LG,좌익수,8,0,16 1/3,0,0,2,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65905,65905,2023,LG
50,강효종,LG,투수,7,7,21 2/3,0,0,0,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51143,51143,2023,LG
50,김주성,LG,유격수,7,0,18,2,0,2,3,0,0.714,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66162,66162,2023,LG
50,손호영,LG,2루수,7,2,29,0,0,5,10,1,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50150,50150,2023,LG
50,신민재,LG,중견수,7,0,10,0,0,3,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2023,LG
54,신민재,LG,우익수,6,0,11,0,0,2,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2023,LG
54,이상영,LG,투수,6,2,11,0,1,0,3,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69168,69168,2023,LG
56,김대현,LG,투수,5,0,3 1/3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66145,66145,2023,LG
56,김범석,LG,1루수,5,5,43,2,0,38,5,6,0.956,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=53144,53144,2023,LG
56,손호영,LG,1루수,5,0,6,0,0,4,0,1,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50150,50150,2023,LG
56,송찬의,LG,1루수,5,3,20,0,0,16,1,1,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68110,68110,2023,LG
56,안익훈,LG,좌익수,5,1,19 2/3,0,0,5,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65115,65115,2023,LG
56,이민호,LG,투수,5,5,19 2/3,1,0,0,6,0,0.857,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50126,50126,2023,LG
56,최성훈,LG,투수,5,0,3,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=62146,62146,2023,LG
63,송은범,LG,투수,4,0,3 2/3,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=73801,73801,2023,LG
63,윤호솔,LG,투수,4,0,3 2/3,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=63961,63961,2023,LG
63,이재원,LG,1루수,4,2,20,1,0,14,2,1,0.941,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68106,68106,2023,LG
66,손주영,LG,투수,3,2,8 2/3,0,0,1,3,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=67143,67143,2023,LG
66,송대현,LG,유격수,3,0,6,1,0,1,1,0,0.667,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=53105,53105,2023,LG
68,손호영,LG,3루수,2,1,5,1,0,1,2,0,0.750,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50150,50150,2023,LG
68,오스틴,LG,우익수,2,1,9,0,0,2,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=53123,53123,2023,LG
68,이재원,LG,우익수,2,1,4 2/3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68106,68106,2023,LG
68,이천웅,LG,좌익수,2,0,2,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=61186,61186,2023,LG
68,전준호,LG,포수,2,0,3,0,0,4,0,0,1.000,0,1,0,0.0,/Record/Retire/Hitter.aspx?playerId=67123,67123,2023,LG
73,김영준,LG,투수,1,0,1/3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68130,68130,2023,LG
73,김주성,LG,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66162,66162,2023,LG
73,문성주,LG,중견수,1,0,1,0,0,1,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68119,68119,2023,LG
73,배재준,LG,투수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=63145,63145,2023,LG
73,성동현,LG,투수,1,0,1,0,0,1,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68159,68159,2023,LG
73,송승기,LG,투수,1,0,1,0,0,0,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51111,51111,2023,LG
73,송찬의,LG,2루수,1,0,1,1,0,0,0,0,0.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68110,68110,2023,LG
73,신민재,LG,3루수,1,0,2,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2023,LG
73,안익훈,LG,중견수,1,1,6,0,0,1,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65115,65115,2023,LG
73,최승민,LG,우익수,1,0,1,0,0,1,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65905,65905,2023,LG
1,박해민,LG,중견수,143,128,1127,1,0,283,2,0,0.997,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=62415,62415,2024,LG
2,문보경,LG,3루수,129,120,975,10,0,89,186,21,0.965,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69102,69102,2024,LG
3,홍창기,LG,우익수,127,120,1037,10,0,257,7,3,0.964,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66108,66108,2024,LG
4,박동원,LG,포수,124,109,944 2/3,4,3,809,77,10,0.996,6,87,29,25.0,/Record/Player/HitterDetail/Basic.aspx?playerId=79365,79365,2024,LG
4,신민재,LG,2루수,124,113,984,11,0,257,299,77,0.981,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2024,LG
6,오지환,LG,유격수,107,97,858,12,0,150,238,52,0.970,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=79109,79109,2024,LG
7,오스틴,LG,1루수,106,105,863,8,0,728,74,81,0.990,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=53123,53123,2024,LG
8,김현수,LG,좌익수,84,80,606,0,0,115,4,1,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=76290,76290,2024,LG
9,김진성,LG,투수,71,0,70 2/3,1,0,4,5,1,0.900,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=75867,75867,2024,LG
10,문성주,LG,좌익수,62,51,445,0,0,114,4,2,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68119,68119,2024,LG
10,유영찬,LG,투수,62,0,63 2/3,0,0,4,4,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50106,50106,2024,LG
12,허도환,LG,포수,58,27,250,2,1,219,8,1,0.991,2,33,0,0.0,/Record/Retire/Hitter.aspx?playerId=77243,77243,2024,LG
13,구본혁,LG,3루수,57,21,247,3,0,21,55,8,0.962,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69100,69100,2024,LG
14,구본혁,LG,유격수,54,43,368,5,0,59,97,20,0.969,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69100,69100,2024,LG
15,김유영,LG,투수,53,2,47 2/3,3,0,0,6,1,0.667,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=64596,64596,2024,LG
16,문보경,LG,1루수,52,12,180,3,0,146,16,14,0.982,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69102,69102,2024,LG
17,이지강,LG,투수,46,2,53 2/3,0,0,4,6,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69108,69108,2024,LG
18,구본혁,LG,2루수,43,29,268,2,0,65,93,23,0.988,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69100,69100,2024,LG
19,이우찬,LG,투수,42,1,33 2/3,2,0,1,6,0,0.778,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=61145,61145,2024,LG
20,김대현,LG,투수,37,0,35,0,0,0,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66145,66145,2024,LG
21,백승현,LG,투수,35,0,26 2/3,1,0,0,5,0,0.833,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65109,65109,2024,LG
22,박명근,LG,투수,33,0,25 1/3,0,0,0,2,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=53139,53139,2024,LG
23,엔스,LG,투수,30,30,167 2/3,4,0,8,18,2,0.867,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=54134,54134,2024,LG
24,손주영,LG,투수,28,27,144 2/3,3,0,8,19,0,0.900,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=67143,67143,2024,LG
25,이종준,LG,투수,27,0,26,0,0,1,2,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50904,50904,2024,LG
25,정우영,LG,투수,27,0,22 2/3,0,0,0,7,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69159,69159,2024,LG
27,김범석,LG,1루수,26,16,131 1/3,3,0,117,9,10,0.977,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=53144,53144,2024,LG
27,최동환,LG,투수,26,0,22,0,0,4,3,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=79140,79140,2024,LG
29,문성주,LG,우익수,25,17,137,1,0,31,1,0,0.970,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68119,68119,2024,LG
29,임찬규,LG,투수,25,24,134,0,0,8,11,1,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=61101,61101,2024,LG
31,안익훈,LG,좌익수,24,6,92,0,0,20,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65115,65115,2024,LG
31,최원태,LG,투수,24,23,126 2/3,2,0,13,10,2,0.920,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65320,65320,2024,LG
33,최승민,LG,좌익수,21,0,37,0,0,13,1,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65905,65905,2024,LG
34,최원영,LG,좌익수,19,1,46,1,0,7,0,0,0.875,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=52103,52103,2024,LG
34,켈리,LG,투수,19,19,113 2/3,2,1,7,10,1,0.895,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=69103,69103,2024,LG
36,임준형,LG,투수,18,1,13 2/3,0,0,1,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69113,69113,2024,LG
37,정지헌,LG,투수,17,0,12 1/3,0,0,1,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=54149,54149,2024,LG
37,최원영,LG,우익수,17,2,41,0,0,12,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=52103,52103,2024,LG
39,함덕주,LG,투수,15,0,11 2/3,0,0,0,3,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=63248,63248,2024,LG
40,김영준,LG,투수,14,0,15 1/3,0,0,1,2,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68130,68130,2024,LG
40,우강훈,LG,투수,14,0,11 2/3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51526,51526,2024,LG
40,최원영,LG,중견수,14,5,45,1,0,9,0,0,0.900,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=52103,52103,2024,LG
43,김범석,LG,포수,13,5,47 1/3,0,0,45,5,2,1.000,1,3,1,25.0,/Record/Retire/Hitter.aspx?playerId=53144,53144,2024,LG
44,이영빈,LG,1루수,12,7,62,1,0,56,5,8,0.984,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2024,LG
44,홍창기,LG,중견수,12,9,61,0,0,14,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66108,66108,2024,LG
46,에르난데스,LG,투수,11,9,47,1,0,2,2,0,0.800,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=54119,54119,2024,LG
47,김정율,LG,3루수,9,2,29,0,0,2,6,2,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=67504,67504,2024,LG
48,김성진,LG,1루수,8,2,14 2/3,0,0,9,0,2,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69105,69105,2024,LG
48,이상영,LG,투수,8,3,16 1/3,0,0,0,3,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69168,69168,2024,LG
48,최승민,LG,우익수,8,1,17,0,0,5,1,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65905,65905,2024,LG
51,김진수,LG,투수,7,0,13 1/3,0,0,1,2,2,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51154,51154,2024,LG
51,김현수,LG,1루수,7,0,11,0,0,8,0,2,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=76290,76290,2024,LG
51,윤호솔,LG,투수,7,0,4,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=63961,63961,2024,LG
54,김정율,LG,1루수,6,2,15,1,0,12,0,1,0.923,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=67504,67504,2024,LG
54,김현종,LG,중견수,6,0,17,0,0,5,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=54166,54166,2024,LG
54,이영빈,LG,유격수,6,2,25,0,0,5,4,2,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2024,LG
54,진우영,LG,투수,6,0,7 2/3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=54148,54148,2024,LG
58,김주성,LG,유격수,5,2,14,1,0,2,1,0,0.750,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66162,66162,2024,LG
58,김주성,LG,3루수,5,1,14,0,0,0,6,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66162,66162,2024,LG
58,안익훈,LG,중견수,5,2,24,0,0,10,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65115,65115,2024,LG
58,이영빈,LG,2루수,5,2,19,0,0,5,8,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2024,LG
62,김성우,LG,포수,4,2,16,0,0,7,1,0,1.000,0,1,0,0.0,/Record/Player/HitterDetail/Basic.aspx?playerId=52105,52105,2024,LG
62,김정율,LG,유격수,4,0,12,1,0,7,6,5,0.929,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=67504,67504,2024,LG
62,김현종,LG,좌익수,4,0,5,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=54166,54166,2024,LG
62,안익훈,LG,우익수,4,1,14,0,0,5,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65115,65115,2024,LG
62,이영빈,LG,우익수,4,3,26,0,0,4,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2024,LG
62,함창건,LG,좌익수,4,3,21,0,0,5,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50108,50108,2024,LG
68,송찬의,LG,좌익수,3,2,17,0,0,4,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68110,68110,2024,LG
68,이주헌,LG,포수,3,1,14,0,0,20,0,0,1.000,1,2,0,0.0,/Record/Player/HitterDetail/Basic.aspx?playerId=52154,52154,2024,LG
68,전준호,LG,포수,3,0,5,0,0,4,1,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=67123,67123,2024,LG
