순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,player_link,player_id,season_year,team_code
40,안익훈,LG,우익수,20,0,33,0,0,2,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65115,65115,2021,LG
40,이영빈,LG,2루수,20,7,69,3,0,13,23,6,0.923,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2021,LG
40,이재원,LG,좌익수,20,18,140,0,0,30,2,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68106,68106,2021,LG
43,이형종,LG,우익수,19,14,126 1/3,1,0,22,1,0,0.958,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=78135,78135,2021,LG
44,이영빈,LG,유격수,18,7,62 2/3,2,0,5,22,6,0.931,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2021,LG
45,임찬규,LG,투수,17,17,90 2/3,1,1,6,10,0,0.941,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=61101,61101,2021,LG
46,백승현,LG,투수,16,0,16 2/3,0,0,0,3,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65109,65109,2021,LG
46,함덕주,LG,투수,16,3,21,0,0,1,3,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=63248,63248,2021,LG
48,배재준,LG,투수,15,6,32 2/3,1,0,3,3,1,0.857,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=63145,63145,2021,LG
48,이우찬,LG,투수,15,5,34,0,0,1,4,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=61145,61145,2021,LG
50,채원후,LG,투수,14,0,17 1/3,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65241,65241,2021,LG
51,이상호,LG,3루수,12,3,50,0,0,3,11,1,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=60566,60566,2021,LG
52,신민재,LG,2루수,11,4,39,1,0,8,14,2,0.957,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2021,LG
53,오석주,LG,투수,9,0,8 1/3,1,0,1,0,0,0.500,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=67116,67116,2021,LG
54,신민재,LG,중견수,8,0,17,0,0,4,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2021,LG
54,안익훈,LG,좌익수,8,0,11,0,0,2,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65115,65115,2021,LG
54,최동환,LG,투수,8,0,5 2/3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=79140,79140,2021,LG
54,한석현,LG,좌익수,8,5,41,0,0,5,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=64101,64101,2021,LG
54,홍창기,LG,좌익수,8,1,20,0,0,7,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66108,66108,2021,LG
59,손주영,LG,투수,7,6,26 2/3,0,0,1,3,1,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=67143,67143,2021,LG
59,이상규,LG,투수,7,0,6,0,0,0,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65117,65117,2021,LG
61,김용의,LG,3루수,6,0,7,0,0,1,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=78217,78217,2021,LG
61,류원석,LG,투수,6,0,6,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=63103,63103,2021,LG
61,문성주,LG,우익수,6,5,30,0,0,8,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68119,68119,2021,LG
61,손호영,LG,유격수,6,1,22 2/3,1,0,4,8,0,0.923,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50150,50150,2021,LG
61,임준형,LG,투수,6,4,23,0,0,1,3,1,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69113,69113,2021,LG
66,김용의,LG,우익수,5,0,5,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=78217,78217,2021,LG
66,김현수,LG,1루수,5,2,15 2/3,0,0,19,1,1,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=76290,76290,2021,LG
66,문성주,LG,중견수,5,4,34,0,0,14,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68119,68119,2021,LG
66,차우찬,LG,투수,5,5,22 1/3,0,0,0,2,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=76455,76455,2021,LG
70,김대현,LG,투수,4,0,3 2/3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66145,66145,2021,LG
70,이상호,LG,1루수,4,3,26,2,0,23,1,3,0.923,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=60566,60566,2021,LG
70,이주형,LG,1루수,4,3,22,0,0,24,1,2,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50167,50167,2021,LG
73,고효준,LG,투수,3,0,2 1/3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=72523,72523,2021,LG
73,김민성,LG,2루수,3,0,5 2/3,0,0,2,3,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=77564,77564,2021,LG
73,김지용,LG,투수,3,0,4,0,0,0,1,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=60181,60181,2021,LG
73,김진수,LG,투수,3,0,2 1/3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51154,51154,2021,LG
77,김민성,LG,유격수,2,0,2,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=77564,77564,2021,LG
77,김주성,LG,3루수,2,1,12,2,0,1,0,0,0.333,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66162,66162,2021,LG
77,김태형,LG,투수,2,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=67122,67122,2021,LG
77,김호은,LG,1루수,2,1,9,0,0,9,2,1,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=66113,66113,2021,LG
77,손호영,LG,3루수,2,1,9,1,0,0,0,0,0.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50150,50150,2021,LG
77,신민재,LG,좌익수,2,0,6,0,0,1,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2021,LG
77,이영빈,LG,3루수,2,0,2,0,0,1,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2021,LG
77,이재원,LG,중견수,2,1,9,0,0,5,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68106,68106,2021,LG
77,장준원,LG,유격수,2,0,2,0,0,1,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=64115,64115,2021,LG
77,장준원,LG,3루수,2,0,5,1,0,0,1,0,0.500,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=64115,64115,2021,LG
77,최민창,LG,중견수,2,0,3,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65157,65157,2021,LG
77,한석현,LG,중견수,2,1,8,1,0,1,0,0,0.500,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=64101,64101,2021,LG
77,한석현,LG,우익수,2,1,9,0,0,1,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=64101,64101,2021,LG
90,김용의,LG,좌익수,1,0,2,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=78217,78217,2021,LG
90,김용의,LG,중견수,1,0,2,0,0,1,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=78217,78217,2021,LG
90,김용의,LG,2루수,1,0,1,0,0,0,1,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=78217,78217,2021,LG
90,김주성,LG,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66162,66162,2021,LG
90,문보경,LG,2루수,1,0,3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69102,69102,2021,LG
90,신민재,LG,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2021,LG
90,신민재,LG,유격수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2021,LG
90,이상호,LG,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=60566,60566,2021,LG
90,이상호,LG,유격수,1,1,7,0,0,1,2,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=60566,60566,2021,LG
90,이주형,LG,우익수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50167,50167,2021,LG
90,이주형,LG,중견수,1,0,3,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50167,50167,2021,LG
90,이찬혁,LG,투수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=67164,67164,2021,LG
90,이형종,LG,1루수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=78135,78135,2021,LG
90,이형종,LG,중견수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=78135,78135,2021,LG
90,장준원,LG,1루수,1,0,2,0,0,2,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=64115,64115,2021,LG
90,채은성,LG,1루수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=79192,79192,2021,LG
90,최민창,LG,우익수,1,0,2,0,0,1,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65157,65157,2021,LG
90,최민창,LG,좌익수,1,0,1,0,0,0,0,0,-,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65157,65157,2021,LG
1,박해민,LG,중견수,144,142,1205,2,0,355,3,0,0.994,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=62415,62415,2022,LG
2,오지환,LG,유격수,142,137,1167,16,0,210,359,83,0.973,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=79109,79109,2022,LG
3,유강남,LG,포수,134,115,1008 1/3,7,1,821,71,8,0.992,4,91,19,17.3,/Record/Player/HitterDetail/Basic.aspx?playerId=61102,61102,2022,LG
4,채은성,LG,1루수,121,120,935,10,0,896,53,90,0.990,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=79192,79192,2022,LG
5,홍창기,LG,우익수,104,97,828 2/3,1,0,165,6,3,0.994,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66108,66108,2022,LG
6,문보경,LG,3루수,97,94,749,4,0,40,135,20,0.978,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69102,69102,2022,LG
7,김현수,LG,좌익수,96,94,802 1/3,2,0,172,4,1,0.989,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=76290,76290,2022,LG
8,김민성,LG,3루수,79,25,313 1/3,3,0,19,46,3,0.956,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=77564,77564,2022,LG
9,문보경,LG,1루수,68,19,257 2/3,2,0,238,20,26,0.992,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69102,69102,2022,LG
10,김진성,LG,투수,67,0,58,0,0,0,10,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=75867,75867,2022,LG
10,정우영,LG,투수,67,0,58,0,0,0,17,3,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69159,69159,2022,LG
12,이정용,LG,투수,65,0,59 1/3,1,0,1,7,0,0.889,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69134,69134,2022,LG
13,진해수,LG,투수,64,0,45,0,0,3,6,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=76650,76650,2022,LG
14,서건창,LG,2루수,63,54,474,4,0,98,154,41,0.984,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=78168,78168,2022,LG
14,허도환,LG,포수,63,27,254 2/3,0,0,211,13,0,1.000,3,22,2,8.3,/Record/Retire/Hitter.aspx?playerId=77243,77243,2022,LG
16,고우석,LG,투수,61,0,60 2/3,2,0,4,8,2,0.857,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=67119,67119,2022,LG
17,김대유,LG,투수,59,0,39 2/3,0,0,3,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=60337,60337,2022,LG
18,최동환,LG,투수,47,0,50,1,0,1,3,0,0.800,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=79140,79140,2022,LG
19,최성훈,LG,투수,45,0,33 1/3,1,0,4,3,0,0.875,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=62146,62146,2022,LG
20,이우찬,LG,투수,36,0,44 2/3,0,0,2,7,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=61145,61145,2022,LG
21,가르시아,LG,2루수,35,34,297,5,0,58,87,14,0.967,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=52125,52125,2022,LG
22,문성주,LG,우익수,32,26,242 1/3,0,0,53,2,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68119,68119,2022,LG
22,이상호,LG,2루수,32,8,123,2,0,27,43,8,0.972,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=60566,60566,2022,LG
22,이재원,LG,좌익수,32,22,204 2/3,0,0,36,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68106,68106,2022,LG
25,문성주,LG,좌익수,28,23,213,0,0,71,2,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68119,68119,2022,LG
25,플럿코,LG,투수,28,28,162,0,0,1,11,1,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=52145,52145,2022,LG
27,켈리,LG,투수,27,27,166 1/3,0,2,10,23,2,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=69103,69103,2022,LG
28,이민호,LG,투수,26,26,119 1/3,2,0,5,11,2,0.889,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50126,50126,2022,LG
29,송은범,LG,투수,25,0,26 2/3,0,0,1,3,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=73801,73801,2022,LG
30,김윤식,LG,투수,23,23,114 1/3,2,1,4,24,1,0.933,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50157,50157,2022,LG
30,이영빈,LG,유격수,23,3,62,1,0,11,24,4,0.972,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2022,LG
30,임찬규,LG,투수,23,23,103 2/3,2,1,2,16,1,0.900,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=61101,61101,2022,LG
33,루이즈,LG,3루수,22,20,174,2,0,19,31,3,0.962,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=52112,52112,2022,LG
34,손호영,LG,2루수,20,19,146,5,0,35,41,14,0.938,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50150,50150,2022,LG
35,이재원,LG,우익수,18,13,99 1/3,1,0,24,0,0,0.960,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68106,68106,2022,LG
36,배재준,LG,투수,17,5,31 1/3,0,1,1,4,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=63145,63145,2022,LG
37,송찬의,LG,2루수,16,13,105,4,0,34,38,10,0.947,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68110,68110,2022,LG
37,이상호,LG,1루수,16,1,31 1/3,0,0,23,1,4,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=60566,60566,2022,LG
37,홍창기,LG,중견수,16,2,44,0,0,14,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66108,66108,2022,LG
40,이영빈,LG,2루수,15,6,62,1,0,17,22,5,0.975,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2022,LG
41,손호영,LG,유격수,13,3,37,0,0,6,15,2,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=50150,50150,2022,LG
41,함덕주,LG,투수,13,0,12 2/3,0,0,0,1,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=63248,63248,2022,LG
43,김기연,LG,포수,12,1,24,0,0,12,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=66112,66112,2022,LG
43,백승현,LG,투수,12,0,10,0,0,2,3,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=65109,65109,2022,LG
45,임준형,LG,투수,10,5,30,2,0,0,6,1,0.750,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=69113,69113,2022,LG
46,이상호,LG,유격수,9,0,16,1,0,4,8,3,0.923,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=60566,60566,2022,LG
47,송찬의,LG,1루수,8,1,24,0,0,22,2,6,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=68110,68110,2022,LG
47,채은성,LG,우익수,8,1,33,0,0,6,0,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=79192,79192,2022,LG
49,송승기,LG,투수,7,0,8 1/3,0,0,0,3,0,1.000,0,0,0,-,/Record/Player/HitterDetail/Basic.aspx?playerId=51111,51111,2022,LG
49,안익훈,LG,우익수,7,0,11,0,0,3,0,0,1.000,0,0,0,-,/Record/Retire/Hitter.aspx?playerId=65115,65115,2022,LG
