순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA,player_link,player_id,season_year,team_code
23,오석주,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=67116,67116,2023,LG
23,이정용,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=69134,69134,2023,LG
23,전준호,LG,0.000,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0,1,0,-,0,-,5.00,0.000,-0.1,0.000,/Record/Retire/Hitter.aspx?playerId=67123,67123,2023,LG
23,최동환,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=79140,79140,2023,LG
1,이주헌,LG,0.667,3,6,6,0,4,2,0,0,6,3,0,0,0,0,0,2,0,1.000,0.667,1.667,1,1.000,0.000,2,0,0,-,0,0.00,3.33,0.333,2.2,0.550,/Record/Player/HitterDetail/Basic.aspx?playerId=52154,52154,2024,LG
2,김대원,LG,0.500,19,4,4,5,2,0,0,0,2,0,0,0,0,0,0,1,0,0.500,0.500,1.000,0,0.000,0.667,0,1,0,-,0,0.00,1.75,0.000,0.9,0.350,/Record/Retire/Hitter.aspx?playerId=54164,54164,2024,LG
3,홍창기,LG,0.336,139,637,524,96,176,18,3,5,215,73,1,4,96,3,12,93,8,0.410,0.447,0.857,51,0.389,1.000,26,159,100,1.59,6,1.03,4.14,0.074,99.5,0.304,/Record/Player/HitterDetail/Basic.aspx?playerId=66108,66108,2024,LG
4,최명경,LG,0.333,1,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.333,0.333,0.666,0,0.000,0.000,0,1,0,-,0,0.00,3.67,0.000,0.3,0.233,/Record/Player/HitterDetail/Basic.aspx?playerId=54112,54112,2024,LG
5,오스틴,LG,0.319,140,604,527,99,168,32,3,32,302,132,0,13,61,6,3,82,9,0.573,0.384,0.957,49,0.329,0.000,67,100,190,0.53,14,0.74,3.78,0.254,112.1,0.316,/Record/Player/HitterDetail/Basic.aspx?playerId=53123,53123,2024,LG
6,문성주,LG,0.315,96,361,305,47,96,16,2,0,116,48,1,3,49,0,3,38,4,0.380,0.411,0.791,24,0.378,0.400,18,99,75,1.32,6,1.29,3.91,0.066,50.9,0.280,/Record/Player/HitterDetail/Basic.aspx?playerId=68119,68119,2024,LG
7,문보경,LG,0.301,144,602,519,80,156,35,3,22,263,101,3,13,65,3,2,112,14,0.507,0.372,0.879,40,0.292,0.000,60,125,139,0.90,7,0.58,4.04,0.206,96.0,0.294,/Record/Player/HitterDetail/Basic.aspx?playerId=69102,69102,2024,LG
8,신민재,LG,0.297,128,474,387,78,115,11,6,0,138,40,15,3,64,1,5,47,7,0.357,0.401,0.758,32,0.306,0.333,17,145,83,1.75,3,1.36,3.73,0.059,63.0,0.270,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2024,LG
9,김현수,LG,0.294,137,583,517,61,152,36,2,8,216,69,1,9,47,1,9,76,10,0.418,0.357,0.775,44,0.257,0.250,46,125,173,0.72,10,0.62,3.73,0.124,78.4,0.265,/Record/Player/HitterDetail/Basic.aspx?playerId=76290,76290,2024,LG
10,박동원,LG,0.272,130,498,434,58,118,22,0,20,200,80,2,7,55,2,0,112,14,0.461,0.349,0.810,25,0.270,0.500,42,107,104,1.03,4,0.49,4.04,0.189,69.5,0.272,/Record/Player/HitterDetail/Basic.aspx?playerId=79365,79365,2024,LG
11,최원영,LG,0.270,57,41,37,18,10,2,0,1,15,5,0,0,1,0,3,7,0,0.405,0.341,0.746,0,0.214,0.333,3,7,13,0.54,0,0.14,3.90,0.135,5.1,0.255,/Record/Player/HitterDetail/Basic.aspx?playerId=52103,52103,2024,LG
12,김성진,LG,0.267,14,16,15,1,4,0,0,1,7,2,0,0,1,0,0,4,1,0.467,0.313,0.780,1,0.000,0.333,1,1,6,0.17,0,0.25,3.94,0.200,1.9,0.258,/Record/Player/HitterDetail/Basic.aspx?playerId=69105,69105,2024,LG
13,박해민,LG,0.263,144,553,482,72,127,16,6,6,173,56,5,9,46,0,11,101,3,0.359,0.336,0.695,35,0.233,0.250,28,102,161,0.63,4,0.46,4.08,0.095,68.5,0.241,/Record/Player/HitterDetail/Basic.aspx?playerId=62415,62415,2024,LG
14,구본혁,LG,0.257,133,389,339,48,87,14,2,2,111,43,4,4,38,0,4,51,7,0.327,0.335,0.662,15,0.272,0.500,18,85,120,0.71,8,0.75,3.81,0.071,39.9,0.233,/Record/Player/HitterDetail/Basic.aspx?playerId=69100,69100,2024,LG
15,오지환,LG,0.254,108,428,370,67,94,24,2,10,152,59,2,1,51,0,4,106,8,0.411,0.350,0.761,24,0.243,0.000,36,75,96,0.78,2,0.48,4.10,0.157,55.0,0.260,/Record/Player/HitterDetail/Basic.aspx?playerId=79109,79109,2024,LG
16,김범석,LG,0.241,70,180,162,14,39,4,0,6,61,24,0,2,14,2,2,49,4,0.377,0.306,0.683,7,0.194,0.125,10,32,44,0.73,2,0.29,3.89,0.136,19.1,0.232,/Record/Retire/Hitter.aspx?playerId=53144,53144,2024,LG
17,이영빈,LG,0.222,31,71,63,11,14,2,0,2,22,12,2,2,4,0,0,20,0,0.349,0.261,0.610,3,0.235,0.286,4,11,20,0.55,0,0.20,3.99,0.127,6.6,0.205,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2024,LG
18,김현종,LG,0.200,17,16,15,8,3,1,0,0,4,2,0,0,0,0,1,4,0,0.267,0.250,0.517,0,0.400,0.333,1,2,6,0.33,0,0.00,2.69,0.067,0.9,0.179,/Record/Player/HitterDetail/Basic.aspx?playerId=54166,54166,2024,LG
19,안익훈,LG,0.184,37,56,49,8,9,1,0,0,10,3,2,1,4,0,0,13,2,0.204,0.241,0.445,0,0.071,0.111,1,15,13,1.15,1,0.31,3.95,0.020,2.4,0.159,/Record/Retire/Hitter.aspx?playerId=65115,65115,2024,LG
20,김주성,LG,0.167,12,9,6,1,1,0,0,0,1,0,0,0,3,0,0,0,0,0.167,0.444,0.611,0,0.000,0.000,0,2,3,0.67,0,-,3.78,0.000,1.1,0.242,/Record/Player/HitterDetail/Basic.aspx?playerId=66162,66162,2024,LG
21,김정율,LG,0.150,19,22,20,1,3,0,0,0,3,0,0,0,1,0,1,4,1,0.150,0.227,0.377,0,0.000,0.000,0,5,8,0.63,0,0.25,3.00,0.000,0.2,0.140,/Record/Player/HitterDetail/Basic.aspx?playerId=67504,67504,2024,LG
22,함창건,LG,0.143,15,17,14,3,2,0,0,0,2,0,1,0,2,0,0,3,1,0.143,0.250,0.393,0,0.000,0.333,0,3,6,0.50,0,0.67,3.88,0.000,0.2,0.148,/Record/Player/HitterDetail/Basic.aspx?playerId=50108,50108,2024,LG
23,허도환,LG,0.138,59,105,80,10,11,2,0,0,13,11,5,1,9,0,10,26,4,0.163,0.300,0.463,2,0.269,0.000,2,24,20,1.20,1,0.35,4.09,0.025,4.8,0.176,/Record/Retire/Hitter.aspx?playerId=77243,77243,2024,LG
24,최승민,LG,0.077,57,16,13,20,1,0,0,0,1,1,1,0,2,0,0,3,0,0.077,0.200,0.277,0,0.000,0.000,0,4,5,0.80,0,0.67,3.44,0.000,-0.1,0.109,/Record/Retire/Hitter.aspx?playerId=65905,65905,2024,LG
25,송찬의,LG,0.067,10,21,15,2,1,0,0,0,1,1,1,1,3,0,1,6,0,0.067,0.250,0.317,0,0.000,0.000,0,2,7,0.29,0,0.50,3.24,0.000,1.1,0.129,/Record/Player/HitterDetail/Basic.aspx?playerId=68110,68110,2024,LG
26,김대현,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=66145,66145,2024,LG
26,김성우,LG,0.000,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.000,0.000,0.000,0,0.000,0.000,0,0,1,0.00,0,0.00,4.40,0.000,-0.5,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=52105,52105,2024,LG
26,김수인,LG,0.000,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.000,0,0,1,0.00,0,0.00,5.00,0.000,-0.3,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=50115,50115,2024,LG
26,김영준,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=68130,68130,2024,LG
26,김유영,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=64596,64596,2024,LG
26,김진성,LG,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=75867,75867,2024,LG
26,박명근,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=53139,53139,2024,LG
26,백승현,LG,0.000,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0,1,0,-,0,-,3.00,0.000,-0.1,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=65109,65109,2024,LG
26,유영찬,LG,-,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=50106,50106,2024,LG
26,이종준,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=50904,50904,2024,LG
26,이지강,LG,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=69108,69108,2024,LG
26,임준형,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=69113,69113,2024,LG
26,전준호,LG,0.000,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,0,0,-,0,0.00,5.00,0.000,-0.1,0.000,/Record/Retire/Hitter.aspx?playerId=67123,67123,2024,LG
26,정우영,LG,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0,0,0,-,0,0.00,3.00,0.000,-0.1,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=69159,69159,2024,LG
26,진우영,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=54148,54148,2024,LG
26,최동환,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=79140,79140,2024,LG
26,함덕주,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=63248,63248,2024,LG
1,김준태,LG,1.000,2,2,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1.000,1.000,2.000,0,0.000,1.000,0,0,0,-,0,-,3.00,0.000,0.8,0.700,/Record/Player/HitterDetail/Basic.aspx?playerId=62558,62558,2025,LG
2,김현종,LG,0.400,10,6,5,3,2,1,0,0,3,0,0,0,1,0,0,1,1,0.600,0.500,1.100,0,0.000,0.500,1,2,0,-,0,1.00,2.83,0.200,0.9,0.375,/Record/Player/HitterDetail/Basic.aspx?playerId=54166,54166,2025,LG
3,신민재,LG,0.313,135,538,463,87,145,15,7,1,177,61,6,4,62,0,3,57,7,0.382,0.395,0.777,37,0.407,0.500,23,191,74,2.58,4,1.09,3.89,0.069,72.5,0.273,/Record/Player/HitterDetail/Basic.aspx?playerId=65207,65207,2025,LG
4,오스틴,LG,0.313,116,499,425,82,133,25,1,31,253,95,0,11,61,7,2,62,11,0.595,0.393,0.988,38,0.292,0.000,57,74,167,0.44,11,0.98,3.79,0.282,96.2,0.326,/Record/Player/HitterDetail/Basic.aspx?playerId=53123,53123,2025,LG
5,문성주,LG,0.305,135,542,475,57,145,20,2,3,178,70,0,9,54,0,4,59,10,0.375,0.375,0.750,43,0.321,0.167,25,166,114,1.46,10,0.92,3.77,0.069,69.7,0.263,/Record/Player/HitterDetail/Basic.aspx?playerId=68119,68119,2025,LG
6,김현수,LG,0.298,140,552,483,66,144,24,0,12,204,90,0,1,64,1,4,73,10,0.422,0.384,0.806,36,0.362,0.400,36,147,120,1.23,15,0.88,3.89,0.124,77.9,0.278,/Record/Player/HitterDetail/Basic.aspx?playerId=76290,76290,2025,LG
7,홍창기,LG,0.287,51,215,174,32,50,4,0,1,57,16,2,4,29,0,6,40,4,0.328,0.399,0.727,11,0.146,0.667,5,59,29,2.03,1,0.73,4.32,0.040,27.9,0.262,/Record/Player/HitterDetail/Basic.aspx?playerId=66108,66108,2025,LG
8,구본혁,LG,0.286,131,397,343,41,98,16,2,1,121,38,12,0,36,1,6,44,4,0.353,0.364,0.717,26,0.299,0.333,19,100,101,0.99,2,0.82,3.80,0.067,45.5,0.252,/Record/Player/HitterDetail/Basic.aspx?playerId=69100,69100,2025,LG
9,최원영,LG,0.282,119,115,103,37,29,5,0,0,34,2,3,1,4,0,4,20,4,0.330,0.330,0.660,2,0.174,0.667,5,30,25,1.20,0,0.20,3.55,0.049,10.7,0.231,/Record/Player/HitterDetail/Basic.aspx?playerId=52103,52103,2025,LG
10,박해민,LG,0.276,144,544,442,80,122,18,2,3,153,43,22,4,68,0,8,94,7,0.346,0.379,0.725,29,0.231,0.000,23,100,130,0.77,3,0.72,3.96,0.070,69.3,0.257,/Record/Player/HitterDetail/Basic.aspx?playerId=62415,62415,2025,LG
11,문보경,LG,0.276,141,607,515,91,142,21,1,24,237,108,0,9,79,3,4,108,15,0.460,0.371,0.831,38,0.274,0.333,46,162,112,1.45,13,0.73,4.13,0.184,90.2,0.282,/Record/Player/HitterDetail/Basic.aspx?playerId=69102,69102,2025,LG
12,박관우,LG,0.264,39,58,53,12,14,2,0,2,22,13,0,1,3,0,1,11,1,0.415,0.310,0.725,0,0.294,0.368,4,13,16,0.81,0,0.27,3.50,0.151,7.1,0.243,/Record/Player/HitterDetail/Basic.aspx?playerId=55164,55164,2025,LG
13,오지환,LG,0.253,127,472,419,57,106,24,1,16,180,62,7,6,37,0,3,115,4,0.430,0.314,0.744,27,0.283,0.333,41,90,114,0.79,6,0.32,4.19,0.177,58.8,0.249,/Record/Player/HitterDetail/Basic.aspx?playerId=79109,79109,2025,LG
14,박동원,LG,0.253,139,523,451,57,114,25,0,22,205,76,3,5,62,4,2,124,10,0.455,0.342,0.797,27,0.235,0.143,47,110,108,1.02,8,0.50,3.89,0.202,72.2,0.268,/Record/Player/HitterDetail/Basic.aspx?playerId=79365,79365,2025,LG
15,천성호,LG,0.237,83,199,173,24,41,9,2,1,57,17,4,0,17,0,5,29,2,0.329,0.323,0.652,8,0.250,0.154,12,58,45,1.29,3,0.59,3.67,0.092,19.5,0.228,/Record/Player/HitterDetail/Basic.aspx?playerId=50054,50054,2025,LG
16,이주헌,LG,0.219,76,156,128,22,28,3,0,4,43,9,2,0,18,0,8,30,2,0.336,0.351,0.687,5,0.111,0.250,7,31,39,0.79,1,0.60,3.78,0.117,17.4,0.242,/Record/Player/HitterDetail/Basic.aspx?playerId=52154,52154,2025,LG
17,송찬의,LG,0.211,66,166,147,18,31,9,1,3,51,20,1,1,9,0,8,49,4,0.347,0.291,0.638,7,0.237,0.273,13,29,39,0.74,3,0.18,3.90,0.136,14.4,0.218,/Record/Player/HitterDetail/Basic.aspx?playerId=68110,68110,2025,LG
18,이영빈,LG,0.208,44,75,72,12,15,1,1,3,27,9,1,1,1,0,0,35,1,0.375,0.216,0.591,1,0.238,0.000,5,9,14,0.64,0,0.03,4.45,0.167,6.2,0.191,/Record/Player/HitterDetail/Basic.aspx?playerId=51100,51100,2025,LG
19,김성우,LG,0.200,7,5,5,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0.200,0.200,0.400,0,0.333,0.000,0,2,1,2.00,0,0.00,2.80,0.000,0.1,0.140,/Record/Player/HitterDetail/Basic.aspx?playerId=52105,52105,2025,LG
19,김주성,LG,0.200,16,17,15,3,3,0,0,1,6,1,0,0,1,0,1,2,0,0.400,0.294,0.694,0,0.000,0.250,1,4,6,0.67,0,0.50,3.94,0.200,1.4,0.232,/Record/Player/HitterDetail/Basic.aspx?playerId=66162,66162,2025,LG
19,손용준,LG,0.200,9,16,15,3,3,0,0,0,3,1,0,0,0,0,1,5,2,0.200,0.250,0.450,0,0.250,0.000,0,7,0,-,1,0.00,3.19,0.000,0.2,0.163,/Record/Player/HitterDetail/Basic.aspx?playerId=54156,54156,2025,LG
22,함창건,LG,0.188,15,36,32,2,6,2,0,0,8,2,0,1,3,0,0,9,1,0.250,0.250,0.500,1,0.100,0.200,2,6,12,0.50,0,0.33,3.75,0.063,2.0,0.175,/Record/Player/HitterDetail/Basic.aspx?playerId=50108,50108,2025,LG
23,김정율,LG,0.182,13,13,11,0,2,0,0,0,2,1,0,1,1,0,0,6,0,0.182,0.231,0.413,0,0.000,0.000,0,1,3,0.33,0,0.17,4.46,0.000,1.0,0.149,/Record/Player/HitterDetail/Basic.aspx?playerId=67504,67504,2025,LG
24,문정빈,LG,0.167,21,33,30,5,5,0,0,2,11,4,0,0,1,0,2,11,0,0.367,0.242,0.609,1,0.100,0.333,2,7,7,1.00,0,0.09,3.88,0.200,3.1,0.201,/Record/Player/HitterDetail/Basic.aspx?playerId=52121,52121,2025,LG
25,김영우,LG,-,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=55167,55167,2025,LG
25,김진성,LG,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=75867,75867,2025,LG
25,김진수,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=51154,51154,2025,LG
25,박명근,LG,-,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=53139,53139,2025,LG
25,백승현,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=65109,65109,2025,LG
25,우강훈,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=51526,51526,2025,LG
25,유영찬,LG,0.000,11,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000,0.500,0.500,0,0.000,0.000,0,0,1,0.00,0,-,4.00,0.000,0.3,0.225,/Record/Player/HitterDetail/Basic.aspx?playerId=50106,50106,2025,LG
25,이우찬,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=61145,61145,2025,LG
25,이정용,LG,-,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=69134,69134,2025,LG
25,이지강,LG,-,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=69108,69108,2025,LG
25,장현식,LG,-,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=63950,63950,2025,LG
25,최승민,LG,0.000,19,6,5,6,0,0,0,0,0,0,0,0,1,0,0,2,0,0.000,0.167,0.167,0,0.000,0.000,0,3,0,-,0,0.50,3.17,0.000,-0.6,0.075,/Record/Retire/Hitter.aspx?playerId=65905,65905,2025,LG
25,함덕주,LG,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.000,0.000,0,0,0,-,0,-,-,-,0.0,0.000,/Record/Player/HitterDetail/Basic.aspx?playerId=63248,63248,2025,LG
