season_year,player_id,player_name,team_name,team_code,rank_no,avg,g,pa,ab,r,h,double_hit,triple_hit,hr,tb,rbi,sac,sf,bb,ibb,hbp,so,gdp,slg,obp,ops,mh,risp,ph_ba,xbh,go_count,ao_count,go_ao,gw_rbi,bb_k,p_pa,isop,xr,gpa
2026,53764,문현빈,한화,HH,5,0.314,40,190,159,33,50,11,3,8,91,31,0,0,29,0,2,19,6,0.572,0.426,0.998,12,0.333,0.0,22,49,41,1.2,1,1.53,3.73,0.258,35.0,0.335
2026,68700,이원석,한화,HH,6,0.299,33,97,87,13,26,2,2,1,35,10,2,0,7,0,1,15,1,0.402,0.358,0.76,7,0.421,0.5,5,26,20,1.3,0,0.47,3.75,0.103,11.5,0.262
2026,66704,김태연,한화,HH,7,0.28,34,95,75,13,21,2,0,2,29,7,7,1,11,0,1,12,2,0.387,0.375,0.762,3,0.19,0.0,4,20,23,0.87,2,0.92,3.65,0.107,11.7,0.266
2026,65703,이도윤,한화,HH,8,0.27,34,99,89,12,24,4,2,0,32,11,3,0,6,0,1,14,0,0.36,0.323,0.683,6,0.318,0.0,6,28,23,1.22,0,0.43,3.6,0.09,10.5,0.235
2026,64006,심우준,한화,HH,9,0.26,34,124,104,23,27,4,0,2,37,15,1,0,17,0,2,23,1,0.356,0.374,0.73,8,0.281,0.0,6,31,23,1.35,2,0.74,4.1,0.096,16.2,0.257
2026,62700,하주석,한화,HH,10,0.256,27,85,78,5,20,2,0,0,22,6,1,0,5,0,1,21,1,0.282,0.31,0.592,5,0.304,0.333,2,26,11,2.36,1,0.24,3.58,0.026,6.8,0.21
2026,54795,황영묵,한화,HH,11,0.255,25,67,55,10,14,2,1,0,18,12,1,0,9,0,2,10,1,0.327,0.379,0.706,3,0.364,0.0,3,19,12,1.58,1,0.9,4.1,0.073,7.7,0.252
2026,50709,박정현,한화,HH,12,0.25,6,4,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0.25,0.25,0.5,0,0.0,0.0,0,0,1,0.0,0,0.0,3.75,0.0,0.2,0.175
2026,50707,최인호,한화,HH,12,0.25,12,9,8,1,2,0,0,0,2,1,0,0,1,0,0,1,0,0.25,0.333,0.583,0,0.5,0.2,0,1,4,0.25,0,1.0,4.22,0.0,0.8,0.212
2026,69737,노시환,한화,HH,14,0.247,35,165,146,27,36,6,0,7,63,25,1,2,13,0,3,48,3,0.432,0.317,0.749,11,0.182,0.0,13,25,39,0.64,2,0.27,4.14,0.185,20.4,0.251
2026,79192,채은성,한화,HH,15,0.245,28,115,102,10,25,3,0,2,34,12,0,2,8,0,3,21,5,0.333,0.313,0.646,8,0.227,1.0,5,30,28,1.07,0,0.38,3.82,0.088,10.8,0.224
