season_year,player_id,player_name,team_name,team_code,rank_no,g,sba,sb,cs,sb_rate,oob,pko
2026,62234,류지혁,삼성,SS,1,42,11,10,1,90.9,1,1
2026,67449,김성윤,삼성,SS,2,27,7,6,1,85.7,2,0
2026,50458,김지찬,삼성,SS,3,43,6,5,1,83.3,1,0
2026,69418,박승규,삼성,SS,4,30,4,4,0,100.0,0,1
2026,65586,전병우,삼성,SS,5,37,2,2,0,100.0,0,0
2026,74540,강민호,삼성,SS,6,34,2,0,2,0.0,1,0
2026,62404,구자욱,삼성,SS,6,27,1,0,1,0.0,0,0
2026,69442,김도환,삼성,SS,6,12,0,0,0,,0,0
2026,55425,김상준,삼성,SS,6,12,0,0,0,,0,0
2026,52430,김영웅,삼성,SS,6,10,0,0,0,,1,0
2026,53400,김재상,삼성,SS,6,6,0,0,0,,0,0
2026,65062,김재윤,삼성,SS,6,1,0,0,0,,0,0
2026,52424,김재혁,삼성,SS,6,10,0,0,0,,0,0
2026,65040,김태훈,삼성,SS,6,2,0,0,0,,0,0
2026,61404,김헌곤,삼성,SS,6,35,2,0,2,0.0,0,1
2026,54400,디아즈,삼성,SS,6,44,0,0,0,,1,0
2026,64468,박계범,삼성,SS,6,9,0,0,0,,0,0
2026,62244,박세혁,삼성,SS,6,23,0,0,0,,0,0
2026,55438,심재훈,삼성,SS,6,9,0,0,0,,0,0
2026,69403,양우현,삼성,SS,6,26,0,0,0,,1,0
2026,68463,윤정빈,삼성,SS,6,1,0,0,0,,0,0
2026,66409,이성규,삼성,SS,6,12,0,0,0,,0,0
2026,60146,이승현,삼성,SS,6,1,0,0,0,,0,0
2026,52415,이재현,삼성,SS,6,25,0,0,0,,0,0
2026,69416,이해승,삼성,SS,6,19,0,0,0,,0,0
2026,63202,장승현,삼성,SS,6,14,0,0,0,,0,0
2026,55435,차승준,삼성,SS,6,1,0,0,0,,0,0
2026,72443,최형우,삼성,SS,6,43,0,0,0,,2,0
2026,55440,함수호,삼성,SS,6,11,0,0,0,,0,0
2026,67005,홍현빈,삼성,SS,6,9,0,0,0,,0,0
2026,62907,박민우,NC,NC,1,42,21,18,3,85.7,2,0
2026,51907,김주원,NC,NC,2,44,13,12,1,92.3,3,1
2026,69992,최정원,NC,NC,3,40,14,11,3,78.6,1,0
2026,79215,박건우,NC,NC,4,43,7,5,2,71.4,0,0
2026,56904,허윤,NC,NC,5,16,4,4,0,100.0,0,0
2026,56949,고준휘,NC,NC,6,13,2,1,1,50.0,0,0
2026,63963,권희동,NC,NC,6,12,2,1,1,50.0,1,0
2026,51344,김휘집,NC,NC,6,16,3,1,2,33.3,2,0
2026,54944,데이비슨,NC,NC,6,34,1,1,0,100.0,1,0
2026,69995,서호철,NC,NC,6,27,1,1,0,100.0,1,0
2026,63260,이우성,NC,NC,6,41,2,1,1,50.0,2,0
2026,64101,한석현,NC,NC,6,37,2,1,1,50.0,0,0
2026,51903,김정호,NC,NC,13,9,0,0,0,,0,0
2026,50902,김한별,NC,NC,13,22,0,0,0,,0,0
2026,68912,김형준,NC,NC,13,39,0,0,0,,1,0
2026,66965,도태훈,NC,NC,13,25,0,0,0,,0,0
2026,50996,박시원,NC,NC,13,10,0,0,0,,1,0
2026,53989,신성호,NC,NC,13,1,0,0,0,,0,0
2026,56909,신재인,NC,NC,13,27,0,0,0,,1,0
2026,64022,안중열,NC,NC,13,21,0,0,0,,1,0
2026,68904,오영수,NC,NC,13,21,0,0,0,,0,0
2026,51991,오장한,NC,NC,13,1,0,0,0,,0,0
2026,51996,오태양,NC,NC,13,7,0,0,0,,1,0
2026,50092,윤준혁,NC,NC,13,3,0,0,0,,0,0
2026,67905,천재환,NC,NC,13,29,2,0,2,0.0,1,0
2026,50903,한재환,NC,NC,13,3,0,0,0,,0,0
2026,66606,최원준,KT,KT,1,43,17,11,6,64.7,2,0
2026,56034,힐리어드,KT,KT,2,44,6,4,2,66.7,1,0
2026,51013,유준규,KT,KT,3,23,3,2,1,66.7,2,0
2026,64004,김민혁,KT,KT,4,25,2,1,1,50.0,1,0
2026,64166,배정대,KT,KT,4,32,2,1,1,50.0,0,0
2026,52001,안현민,KT,KT,4,14,1,1,0,100.0,1,0
2026,78548,장성우,KT,KT,4,44,1,1,0,100.0,1,0
2026,79240,허경민,KT,KT,4,15,1,1,0,100.0,0,0
2026,69064,강민성,KT,KT,9,9,0,0,0,,0,0
2026,50066,강현우,KT,KT,9,12,0,0,0,,0,0
2026,51003,권동진,KT,KT,9,31,0,0,0,,0,0
2026,54097,김민석,KT,KT,9,1,0,0,0,,0,0
2026,65048,김민수,KT,KT,9,1,0,0,0,,0,0
2026,79402,김상수,KT,KT,9,41,3,0,3,0.0,0,0
2026,53029,김정운,KT,KT,9,1,0,0,0,,0,0
2026,76290,김현수,KT,KT,9,44,2,0,2,0.0,0,0
2026,53036,류현인,KT,KT,9,15,0,0,0,,0,0
2026,52060,박영현,KT,KT,9,4,0,0,0,,0,0
2026,67006,안치영,KT,KT,9,4,0,0,0,,0,0
2026,55005,오서진,KT,KT,9,3,0,0,0,,0,0
2026,64504,오윤석,KT,KT,9,30,1,0,1,0.0,1,0
2026,73117,우규민,KT,KT,9,2,0,0,0,,0,0
2026,56006,이강민,KT,KT,9,42,0,0,0,,0,0
2026,67644,이정훈,KT,KT,9,29,0,0,0,,0,0
2026,64115,장준원,KT,KT,9,25,0,0,0,,1,0
2026,66706,장진혁,KT,KT,9,5,1,0,1,0.0,0,0
2026,68089,조대현,KT,KT,9,2,0,0,0,,0,0
2026,63722,한승택,KT,KT,9,32,0,0,0,,0,0
2026,50500,황성빈,롯데,LT,1,26,11,10,1,90.9,0,0
2026,68507,장두성,롯데,LT,2,40,9,9,0,100.0,2,0
2026,52568,한태양,롯데,LT,3,29,6,6,0,100.0,1,0
2026,68205,전민재,롯데,LT,4,42,6,4,2,66.7,2,0
2026,56595,김한홀,롯데,LT,5,4,1,1,0,100.0,0,0
2026,54529,레이예스,롯데,LT,5,43,1,1,0,100.0,2,0
