season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2026,67703,박상원,한화,HH,17,투수,16,0,12,0,0,1,1,0,1.0,0,0,0,
2026,69213,윤산흠,한화,HH,17,투수,16,0,17,0,0,3,3,0,1.0,0,0,0,
2026,56760,쿠싱,한화,HH,17,투수,16,1,20 2/3,1,0,1,0,0,0.5,0,0,0,
2026,65616,이민우,한화,HH,20,투수,15,0,18 1/3,0,0,1,0,0,1.0,0,0,0,
2026,66657,이진영,한화,HH,22,중견수,13,9,73,0,0,22,1,0,1.0,0,0,0,
2026,53754,김서현,한화,HH,23,투수,12,0,8,0,0,0,2,0,1.0,0,0,0,
2026,52731,박준영,한화,HH,23,투수,12,1,15 1/3,0,0,0,1,0,1.0,0,0,0,
2026,65117,이상규,한화,HH,25,투수,11,0,13 1/3,0,0,0,3,0,1.0,0,0,0,
2026,56769,강건우,한화,HH,26,투수,9,1,11 1/3,0,0,0,0,0,,0,0,0,
2026,56719,왕옌청,한화,HH,26,투수,9,9,49 1/3,0,0,5,4,0,1.0,0,0,0,
2026,54702,원종혁,한화,HH,26,투수,9,0,6,0,1,3,2,0,1.0,0,0,0,
2026,55764,권민규,한화,HH,30,투수,8,0,8,0,0,0,0,0,,0,0,0,
2026,76715,류현진,한화,HH,30,투수,8,8,46,0,0,2,7,0,1.0,0,0,0,
2026,56712,에르난데스,한화,HH,30,투수,8,8,37,1,0,1,3,0,0.8,0,0,0,
2026,54705,김도빈,한화,HH,33,투수,6,0,4,0,0,0,0,0,,0,0,0,
2026,52701,문동주,한화,HH,33,투수,6,6,24 1/3,0,0,0,1,0,1.0,0,0,0,
2026,54729,황준서,한화,HH,33,투수,6,3,12 1/3,0,0,0,4,0,1.0,0,0,0,
2026,50707,최인호,한화,HH,38,우익수,4,0,7,0,0,2,0,0,1.0,0,0,0,
2026,50705,강재민,한화,HH,41,투수,3,0,2 2/3,0,0,0,1,0,1.0,0,0,0,
2026,50709,박정현,한화,HH,41,3루수,3,0,6,0,0,0,0,0,,0,0,0,
2026,65707,주현상,한화,HH,41,투수,3,0,2 1/3,0,0,0,0,0,,0,0,0,
2026,53706,박재규,한화,HH,44,투수,2,0,1,0,0,0,2,0,1.0,0,0,0,
2026,56709,박준영,한화,HH,44,투수,2,1,5 2/3,0,0,0,0,0,,0,0,0,
2026,56724,화이트,한화,HH,44,투수,2,2,8 2/3,1,0,0,2,0,0.667,0,0,0,
2026,50710,김범준,한화,HH,52,투수,1,0,2/3,0,0,0,1,0,1.0,0,0,0,
2026,65056,엄상백,한화,HH,52,투수,1,0,1/3,0,0,0,0,0,,0,0,0,
2026,69205,이교훈,한화,HH,52,투수,1,0,1/3,0,0,0,0,0,,0,0,0,
2026,56793,최유빈,한화,HH,52,유격수,1,0,1,0,0,0,1,0,1.0,0,0,0,
2026,67893,박성한,SSG,SK,1,유격수,42,40,345,6,0,59,95,24,0.963,0,0,0,
2026,50854,최지훈,SSG,SK,1,중견수,42,41,365 1/3,1,0,113,2,0,0.991,0,0,0,
2026,53827,에레디아,SSG,SK,3,좌익수,40,39,334 1/3,1,0,76,1,1,0.987,0,0,0,
2026,54812,정준재,SSG,SK,4,2루수,39,32,292 1/3,1,0,76,103,25,0.994,0,0,0,
2026,75847,최정,SSG,SK,4,3루수,39,39,328,2,0,16,64,11,0.976,0,0,0,
2026,60558,오태곤,SSG,SK,6,1루수,33,25,239 2/3,3,0,218,15,22,0.987,0,0,0,
2026,51865,조형우,SSG,SK,7,포수,30,30,242,3,0,195,19,2,0.986,2,19,4,17.4
2026,62934,김성욱,SSG,SK,8,우익수,23,10,100 1/3,0,0,20,1,0,1.0,0,0,0,
2026,79456,이지영,SSG,SK,8,포수,23,11,118 1/3,0,0,108,8,1,1.0,1,7,3,30.0
2026,68043,김민,SSG,SK,10,투수,22,0,22,0,0,1,3,0,1.0,0,0,0,
2026,73211,노경은,SSG,SK,11,투수,21,0,21 1/3,2,0,2,4,0,0.75,0,0,0,
2026,53892,이로운,SSG,SK,11,투수,21,0,20 2/3,0,0,0,2,1,1.0,0,0,0,
2026,62895,한유섬,SSG,SK,13,우익수,19,17,120,0,0,19,1,0,1.0,0,0,0,
2026,51868,고명준,SSG,SK,14,1루수,17,17,132,1,0,123,6,15,0.992,0,0,0,
2026,62869,문승원,SSG,SK,14,투수,17,0,23 1/3,1,0,2,9,0,0.917,0,0,0,
2026,68092,한두솔,SSG,SK,14,투수,17,0,18 1/3,0,0,2,3,0,1.0,0,0,0,
2026,51897,조병현,SSG,SK,17,투수,15,0,16 1/3,0,0,0,2,0,1.0,0,0,0,
2026,66864,안상현,SSG,SK,18,2루수,14,9,77,2,0,17,22,9,0.951,0,0,0,
2026,50812,박시후,SSG,SK,19,투수,13,0,13 1/3,0,1,1,1,0,1.0,0,0,0,
2026,51895,장지훈,SSG,SK,20,투수,12,0,17 1/3,0,0,1,1,0,1.0,0,0,0,
2026,52809,전영준,SSG,SK,20,투수,12,0,11,0,0,0,0,0,,0,0,0,
2026,69804,채현우,SSG,SK,20,우익수,12,5,40 1/3,0,0,9,0,0,1.0,0,0,0,
