season_year,player_id,player_name,team_name,team_code,rank_no,position,g,gs,ip,e,pko,po,a,dp,fpct,pb,sb,cs,cs_rate
2025,67703,박상원,한화,HH,9,투수,74,0,66 2/3,1,0,7,9,1,0.941,0,0,0,
2025,65769,김범수,한화,HH,10,투수,73,0,48,1,0,4,6,2,0.909,0,0,0,
2025,61666,한승혁,한화,HH,11,투수,71,0,64,0,2,1,10,1,1.0,0,0,0,
2025,53754,김서현,한화,HH,12,투수,69,0,66,0,0,0,9,0,1.0,0,0,0,
2025,54768,조동욱,한화,HH,13,투수,68,2,60,0,0,0,10,2,1.0,0,0,0,
2025,65703,이도윤,한화,HH,14,2루수,64,45,380 2/3,2,0,73,120,21,0.99,0,0,0,
2025,63765,김종수,한화,HH,15,투수,63,0,63 2/3,0,0,4,5,1,1.0,0,0,0,
2025,55734,플로리얼,한화,HH,15,중견수,63,62,537 1/3,5,0,133,4,0,0.965,0,0,0,
2025,68700,이원석,한화,HH,17,우익수,61,24,279 1/3,0,0,50,4,1,1.0,0,0,0,
2025,62700,하주석,한화,HH,17,유격수,61,48,407 2/3,1,0,59,103,21,0.994,0,0,0,
2025,55703,리베라토,한화,HH,19,중견수,58,58,479,3,0,125,7,1,0.978,0,0,0,
2025,66704,김태연,한화,HH,20,1루수,56,26,294,3,0,249,27,21,0.989,0,0,0,
2025,55743,정우주,한화,HH,21,투수,51,2,53 2/3,0,0,0,1,0,1.0,0,0,0,
2025,65707,주현상,한화,HH,22,투수,48,0,41 2/3,1,0,2,6,0,0.889,0,0,0,
2025,77532,손아섭,한화,HH,23,우익수,46,42,314,0,0,68,0,0,1.0,0,0,0,
2025,54755,와이스,한화,HH,27,투수,30,30,178 2/3,1,0,3,20,0,0.958,0,0,0,
2025,55730,폰세,한화,HH,29,투수,29,29,180 2/3,0,0,4,19,1,1.0,0,0,0,
2025,65056,엄상백,한화,HH,30,투수,28,16,80 2/3,1,1,3,7,0,0.909,0,0,0,
2025,76715,류현진,한화,HH,32,투수,26,26,139 1/3,3,0,1,18,1,0.864,0,0,0,
2025,52701,문동주,한화,HH,33,투수,24,23,121,1,0,5,11,0,0.941,0,0,0,
2025,54729,황준서,한화,HH,34,투수,23,12,56,0,0,1,8,1,1.0,0,0,0,
2025,50707,최인호,한화,HH,35,좌익수,20,9,95 1/3,0,0,13,0,0,1.0,0,0,0,
2025,52764,허인서,한화,HH,37,포수,19,2,65,1,0,78,8,1,0.989,1,3,5,62.5
2025,60768,이태양,한화,HH,38,투수,14,0,11 1/3,0,0,0,3,0,1.0,0,0,0,
2025,50704,임종찬,한화,HH,39,우익수,13,10,86 1/3,1,0,16,0,0,0.941,0,0,0,
2025,79608,안치홍,한화,HH,40,2루수,12,11,81,1,0,15,28,5,0.977,0,0,0,
2025,69213,윤산흠,한화,HH,40,투수,12,1,16 2/3,0,0,0,2,0,1.0,0,0,0,
2025,52704,이상혁,한화,HH,43,중견수,9,0,14,0,0,4,0,0,1.0,0,0,0,
2025,52769,권광민,한화,HH,48,1루수,6,1,20 1/3,0,0,17,1,1,1.0,0,0,0,
2025,66715,김인환,한화,HH,48,1루수,6,4,34 1/3,2,0,30,6,5,0.947,0,0,0,
2025,55764,권민규,한화,HH,51,투수,5,0,5 1/3,0,0,0,1,0,1.0,0,0,0,
2025,51715,김기중,한화,HH,51,투수,5,2,14 2/3,0,0,0,1,0,1.0,0,0,0,
2025,50711,김승일,한화,HH,51,투수,5,0,2 2/3,0,0,0,0,0,,0,0,0,
2025,65117,이상규,한화,HH,51,투수,5,0,9,0,0,1,2,0,1.0,0,0,0,
2025,50705,강재민,한화,HH,55,투수,4,0,4,0,0,0,1,0,1.0,0,0,0,
2025,69766,유로결,한화,HH,55,중견수,4,0,13,0,0,2,1,0,1.0,0,0,0,
2025,54702,원종혁,한화,HH,60,투수,2,0,1 2/3,0,0,0,0,0,,0,0,0,
